pair,direction,early,global_KL_window,pair_KL_window,late,pairKL_minus_early,pairKL_minus_late
WT_03__SCA3_01,forward,0.0041488302382879,0.0165864718156166,0.0135537872573781,0.021562583459011,0.0094049570190902,-0.0080087962016329
WT_03__SCA3_04,forward,0.01866670767166,0.0144400557643303,0.017491972304177,0.0064427202204185,-0.0011747353674829986,0.0110492520837585
WT_03__SCA3_06,forward,0.0230063158864047,0.0230440751074499,0.0215799932323329,0.1236766156246434,-0.0014263226540717974,-0.10209662239231049
WT_03__SCA3_09,forward,0.0132027883801981,0.0319018545534045,0.0299758978844016,0.2577280106577198,0.0167731095042035,-0.22775211277331817
WT_04__SCA3_01,forward,0.0252160154460383,0.0092653409886255,0.0091487184415885,0.0342785242799499,-0.016067297004449803,-0.0251298058383614
WT_04__SCA3_04,forward,0.0239334546351787,0.0524428797750121,0.0810955895448826,0.0063145103490785,0.05716213490970389,0.0747810791958041
WT_04__SCA3_06,forward,0.053815892741969,0.0409105931105104,0.0704107858634922,0.1137733998278527,0.0165948931215232,-0.0433626139643605
WT_04__SCA3_09,forward,0.024882460117678,0.0680893395605728,0.0729720785190829,0.4150563580807223,0.048089618401404896,-0.3420842795616394
WT_08__SCA3_01,forward,0.0463745860070053,0.0281311184893829,0.0228262544349401,0.0393540729515545,-0.023548331572065203,-0.0165278185166144
WT_08__SCA3_04,forward,0.0360005430816467,0.055485599906965,0.0764469170217651,0.0180381843211424,0.04044637394011841,0.058408732700622704
WT_08__SCA3_06,forward,0.1453256997999908,0.068009817490798,0.1699739123241127,0.5785954869517183,0.024648212524121915,-0.4086215746276055
WT_08__SCA3_09,forward,0.0667524902714334,0.5225595010209765,0.0781482240273492,0.2583173444788491,0.011395733755915793,-0.18016912045149988
WT_09__SCA3_01,forward,0.042821002195849,0.0185254472485536,0.0536101999439064,0.026684472365465,0.010789197748057401,0.026925727578441402
WT_09__SCA3_04,forward,0.0330758923844717,0.0393941808189546,0.0397214224479995,0.0152903090721667,0.006645530063527798,0.0244311133758328
WT_09__SCA3_06,forward,0.0644042572374231,0.0464700338212069,0.0308210961693837,0.49836522765321,-0.0335831610680394,-0.4675441314838263
WT_09__SCA3_09,forward,0.0602649340802277,0.2358652353747325,0.1922864644151644,0.319318352878968,0.1320215303349367,-0.1270318884638036
WT_10__SCA3_01,forward,0.0311004894702942,0.0375612614560933,0.0544318934113602,0.0282461275222078,0.023331403941065997,0.026185765889152397
WT_10__SCA3_04,forward,0.0301040086054622,0.0022117446869442,0.0317855765600027,0.0147848422065596,0.0016815679545405006,0.017000734353443098
WT_10__SCA3_06,forward,0.0524946720259163,0.0730424838044399,0.0643943586592614,0.3065054368767194,0.011899686633345091,-0.24211107821745798
WT_10__SCA3_09,forward,0.0163350259092951,0.0205031019011776,0.013920529788183,0.1206978784377565,-0.0024144961211121,-0.1067773486495735
