group,cell_id,b,r,s,kappa_I,rheobase_J,J_max_observed,q75_firing_rate_hz,q75_mean_isi_ms,animal_id,J_q75
SCA3,SCA3_01,2.87957486763608,0.0367840866590933,0.666593864674466,0.072414473059144,7.364185581249652,8.83702269749959,38.46565240305796,22.95967975502382,SCA3_AN01,8.468813418437104
SCA3,SCA3_04,3.1841739616986,0.0685272827706698,1.64104809448976,0.226797255112739,2.998635531603484,7.18549793532442,46.69813086308048,21.144482766787423,SCA3_AN01,6.138782334394186
SCA3,SCA3_06,3.32112664756946,0.000172535267681,1.80693033257445,0.113660442709963,5.238728290213989,7.36876067194935,29.749076354679765,31.86810380047486,SCA3_AN02,6.83625257651551
SCA3,SCA3_09,3.56794792056019,0.0001570401851009,1.28766365576524,0.15770178132879,2.2595007918063086,4.87442867445855,30.280172413793142,27.98144502491703,SCA3_AN02,4.22069670379549
WT,WT_03,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,1.6558117865631434,3.3079316850849,95.35732644394558,10.231883977551352,NA_NOT_RECOVERABLE,2.8949017104544605
WT,WT_04,3.07526787577599,0.0366751221750693,0.519708187871091,0.61900642338991,0.3807969954705221,1.23517777868021,63.51434927075274,15.301092657440917,NA_NOT_RECOVERABLE,1.021582582877788
WT,WT_08,2.96491156494738,0.0051280442452668,0.108035818424331,0.583625883723969,0.4738492234861163,0.953908790661435,71.81561471722117,8.890497594066147,WT_AN01,0.8338938988676052
WT,WT_09,3.00499404393986,0.0044079110035059,0.31659710626319,0.377275581008005,0.674460655746496,1.52573132139414,80.21640808908398,11.947495223109131,WT_AN01,1.312913654982229
WT,WT_10,2.87849103010525,0.0756322387263896,1.19184381052622,1.14094020461274,0.6489912667881883,1.43431738962109,73.19122834019936,13.319891588999186,WT_AN01,1.2379858589128645
WT,WT_13,2.93333766919004,0.0030284877134034,0.215780361615529,0.587583929838755,0.6139190612350652,0.915514250540836,75.56991407982252,9.743956204579296,WT_AN02,0.8401154532143933
WT,WT_14,2.98381256769243,0.0373873647475754,0.470608952474538,0.385782970373697,0.8923298902068751,1.94138627671071,78.53125822801451,12.60286829241946,WT_AN02,1.6791221800847513
WT,WT_16,3.47905267435836,0.0002546263624652,1.1691377136168,1.04407499341255,0.3414059790542729,1.36207684111003,74.82488881844208,13.115508254224276,WT_AN02,1.1069091255960906
