group,cell_id,analysis_support,source,animal_id,animal_id_status,experiment_day_code
SCA3,SCA3_01,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20
SCA3,SCA3_02,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20
SCA3,SCA3_04,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20
SCA3,SCA3_05,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20
SCA3,SCA3_06,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,SCA3_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,24
SCA3,SCA3_07,SINGLE_SWEEP_ONLY,final_v3_1_review_frozen_in_v3_5,SCA3_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,24
SCA3,SCA3_09,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,SCA3_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,24
WT,WT_02,SINGLE_SWEEP_ONLY,final_v3_1_review_frozen_in_v3_5,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,
WT,WT_03,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,
WT,WT_04,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,
WT,WT_06,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,
WT,WT_07,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,
WT,WT_08,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,09
WT,WT_09,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,09
WT,WT_10,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,09
WT,WT_11,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,09
WT,WT_13,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,10
WT,WT_14,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,10
WT,WT_15,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,10
WT,WT_16,MULTI_SWEEP,final_v3_1_review_frozen_in_v3_5,WT_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,10
