cell_id,genotype,animal_id,provenance_status
WT_01,WT,WT_150127,recovered_raw_not_fitted
WT_02,WT,WT_150130,recovered
WT_03,WT,WT_150130,recovered
WT_04,WT,WT_150305,recovered
WT_05,WT,WT_150311,recovered_raw_rejected
WT_06,WT,WT_150311,recovered
WT_07,WT,WT_150312,recovered
WT_08,WT,WT_DD09,recovered
WT_09,WT,WT_DD09,recovered
WT_10,WT,WT_DD09,recovered
WT_11,WT,WT_DD09,recovered
WT_12,WT,WT_DD10,recovered_raw_rejected
WT_13,WT,WT_DD10,recovered
WT_14,WT,WT_DD10,recovered
WT_15,WT,WT_DD10,recovered
WT_16,WT,WT_DD10,recovered
SCA3_01,SCA3,SCA3_DD20,recovered
SCA3_02,SCA3,SCA3_DD20,recovered
SCA3_03,SCA3,SCA3_DD20,recovered_raw_rejected
SCA3_04,SCA3,SCA3_DD20,recovered
SCA3_05,SCA3,SCA3_DD20,recovered
SCA3_06,SCA3,SCA3_DD24,recovered
SCA3_07,SCA3,SCA3_DD24,recovered
SCA3_08,SCA3,SCA3_DD24,recovered_raw_rejected
SCA3_09,SCA3,SCA3_DD24,recovered
