group,cell_id,abf_path,sweep_index,current_pA,prominence_mV,height_mV,spike_count,rate_hz,steady_start_ms,steady_stop_ms,analysis_duration_s
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,8.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,8.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,8.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,10.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,10.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,10.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,12.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,12.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,12.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,15.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,15.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,15.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,8.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,8.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,8.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,10.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,10.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,10.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,12.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,12.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,12.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,15.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,15.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,15.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,8.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,8.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,8.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,10.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,10.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,10.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,12.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,12.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,12.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,15.0,-30.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,15.0,-20.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,15.0,-10.0,0,0.0,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,8.0,-30.0,9,17.10376282782212,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,8.0,-20.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,8.0,-10.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,10.0,-30.0,9,17.10376282782212,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,10.0,-20.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,10.0,-10.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,12.0,-30.0,5,9.502090459901178,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,12.0,-20.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,12.0,-10.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,15.0,-30.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,15.0,-20.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,15.0,-10.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,8.0,-30.0,7,13.30292664386165,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,8.0,-20.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,8.0,-10.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,10.0,-30.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,10.0,-20.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,10.0,-10.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,12.0,-30.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,12.0,-20.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,12.0,-10.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,15.0,-30.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,15.0,-20.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,15.0,-10.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,8.0,-30.0,7,13.30292664386165,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,8.0,-20.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,8.0,-10.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,10.0,-30.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,10.0,-20.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,10.0,-10.0,6,11.402508551881414,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,12.0,-30.0,4,7.601672367920942,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,12.0,-20.0,4,7.601672367920942,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,12.0,-10.0,4,7.601672367920942,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,15.0,-30.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,15.0,-20.0,3,5.701254275940707,600.0,1126.2,0.5262
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,15.0,-10.0,3,5.701254275940707,600.0,1126.2,0.5262
