peak_index,time_ms,peak_voltage_mV,prominence_mV,pass_p8_h-30,pass_p8_h-20,pass_p8_h-10,pass_p10_h-30,pass_p10_h-20,pass_p10_h-10,pass_p12_h-30,pass_p12_h-20,pass_p12_h-10,pass_p15_h-30,pass_p15_h-20,pass_p15_h-10,pass_primary,pass_strict_height,event_class,group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,inside_stimulus_window,inside_steady_window
4595,459.5,-2.838134765625,10.467529296875,1,1,1,1,1,1,0,0,0,0,0,0,1,1,primary_and_strict,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,0
4662,466.2,5.767822265625,80.50537109375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,primary_and_strict,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,0
4725,472.50000000000006,-22.613525390625,11.260986328125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,relaxed_only,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,0
5640,564.0,-3.23486328125,11.199951171875,1,1,1,1,1,1,0,0,0,0,0,0,1,1,primary_and_strict,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,0
5715,571.5,3.5400390625,56.82373046875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,primary_and_strict,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,0
5779,577.9000000000001,-21.331787109375,15.9912109375,1,0,0,1,0,0,1,0,0,1,0,0,0,0,relaxed_only,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,0
6618,661.8000000000001,-2.960205078125,11.077880859375,1,1,1,1,1,1,0,0,0,0,0,0,1,1,primary_and_strict,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,1
6689,668.9000000000001,3.11279296875,55.48095703125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,primary_and_strict,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,1
6753,675.3,-23.8037109375,14.09912109375,1,0,0,1,0,0,1,0,0,0,0,0,0,0,relaxed_only,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,1
7905,790.5000000000001,-3.021240234375,10.589599609375,1,1,1,1,1,1,0,0,0,0,0,0,1,1,primary_and_strict,WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,1,1
