group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,6,300.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,7,350.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,8,400.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,9,450.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,10,500.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,11,550.0,131.20000000000002,1131.2
WT,WT_01,/root/neurothermo/WT/cc_01.abf,12,600.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,0,0.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,1,50.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,2,100.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,3,150.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,4,200.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,5,250.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,6,300.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,7,350.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,8,400.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,9,450.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,10,500.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,11,550.0,131.20000000000002,1131.2
WT,WT_02,/root/neurothermo/WT/cc_02.abf,12,600.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,0,0.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,1,50.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,2,100.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,3,150.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,4,200.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,5,250.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,6,300.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,7,350.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,8,400.0,131.20000000000002,1131.2
WT,WT_03,/root/neurothermo/WT/cc_03.abf,9,450.0,131.20000000000002,1131.2
