peak_index,time_ms,peak_voltage_mV,prominence_mV,pass_p8_h-30,pass_p8_h-20,pass_p8_h-10,pass_p10_h-30,pass_p10_h-20,pass_p10_h-10,pass_p12_h-30,pass_p12_h-20,pass_p12_h-10,pass_p15_h-30,pass_p15_h-20,pass_p15_h-10,pass_primary,pass_strict_height,event_class,group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,inside_stimulus_window,inside_steady_window,stratum
10485,1048.5,-19.04296875,59.661865234375,1,1,0,1,1,0,1,1,0,1,1,0,1,0,primary_lost_at_minus10,SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,8,400.0,131.20000000000002,1131.2,1,1,SCA3|SCA3_01|primary_lost_at_minus10
10505,1050.5,-19.04296875,59.661865234375,1,1,0,1,1,0,1,1,0,1,1,0,1,0,primary_lost_at_minus10,SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,8,400.0,131.20000000000002,1131.2,1,1,SCA3|SCA3_01|primary_lost_at_minus10
10030,1003.0000000000001,-11.1083984375,68.572998046875,1,1,0,1,1,0,1,1,0,1,1,0,1,0,primary_lost_at_minus10,SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,9,450.0,131.20000000000002,1131.2,1,1,SCA3|SCA3_01|primary_lost_at_minus10
4273,427.3,-28.961181640625,50.140380859375,1,0,0,1,0,0,1,0,0,1,0,0,0,0,relaxed_only,SCA3,SCA3_01,/root/neurothermo/SCA3/cc_01.abf,7,350.0,131.20000000000002,1131.2,1,0,SCA3|SCA3_01|relaxed_only
3222,322.20000000000005,-17.39501953125,57.647705078125,1,1,0,1,1,0,1,1,0,1,1,0,1,0,primary_lost_at_minus10,SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,8,400.0,131.20000000000002,1131.2,1,0,SCA3|SCA3_03|primary_lost_at_minus10
3226,322.6,-29.754638671875,44.158935546875,1,0,0,1,0,0,1,0,0,1,0,0,0,0,relaxed_only,SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,6,300.0,131.20000000000002,1131.2,1,0,SCA3|SCA3_03|relaxed_only
2820,282.0,-24.383544921875,50.262451171875,1,0,0,1,0,0,1,0,0,1,0,0,0,0,relaxed_only,SCA3,SCA3_03,/root/neurothermo/SCA3/cc_03.abf,7,350.0,131.20000000000002,1131.2,1,0,SCA3|SCA3_03|relaxed_only
1460,146.00000000000003,-17.76123046875,34.423828125,1,1,0,1,1,0,1,1,0,1,1,0,1,0,primary_lost_at_minus10,SCA3,SCA3_04,/root/neurothermo/SCA3/cc_04.abf,6,300.0,131.20000000000002,1131.2,1,0,SCA3|SCA3_04|primary_lost_at_minus10
6907,690.6999999999999,-12.115478515625,36.102294921875,1,1,0,1,1,0,1,1,0,1,1,0,1,0,primary_lost_at_minus10,SCA3,SCA3_04,/root/neurothermo/SCA3/cc_04.abf,7,350.0,131.20000000000002,1131.2,1,1,SCA3|SCA3_04|primary_lost_at_minus10
2407,240.70000000000002,-14.312744140625,34.3017578125,1,1,0,1,1,0,1,1,0,1,1,0,1,0,primary_lost_at_minus10,SCA3,SCA3_04,/root/neurothermo/SCA3/cc_04.abf,8,400.0,131.20000000000002,1131.2,1,0,SCA3|SCA3_04|primary_lost_at_minus10
