type,cell,sweep,conclusion
sca3,1,0,ok
sca3,1,50,ok
sca3,1,100,все rejected
sca3,1,150,все rejected
sca3,1,200,ok
sca3,1,250,ok
sca3,1,300,все rejected
sca3,1,350,ok
sca3,1,400,ok
sca3,1,450,ok
sca3,1,500,detected около 500 мс – rejected
sca3,1,550,ok
sca3,1,600,ok
sca3,2,0,ok
sca3,2,50,ok
sca3,2,100,ok
sca3,2,150,ok
sca3,2,200,ok
sca3,2,250,последний detected – rejected 
sca3,2,300,ok
sca3,2,350,последний detected – rejected 
sca3,2,400,ok
sca3,2,450,ok
sca3,2,500,последний detected – rejected 
sca3,2,550,ok
sca3,2,600,последний detected – rejected 
sca3,3,0,ok
sca3,3,50,ok
sca3,3,100,все rejected
sca3,3,150,ok
sca3,3,200,ok
sca3,3,250,ok
sca3,3,300,ok
sca3,3,350,ok
sca3,3,400,ok
sca3,3,450,ok
sca3,3,500,ok
sca3,3,550,ok
sca3,3,600,ok
sca3,4,0,ok
sca3,4,50,ok
sca3,4,100,ok
sca3,4,150,все rejected
sca3,4,200,ok
sca3,4,250,все rejected
sca3,4,300,ok
sca3,4,350,ok
sca3,4,400,ok
sca3,4,450,ok
sca3,4,500,ok
sca3,4,550,последний detected – rejected 
sca3,4,600,ok
sca3,5,0,ok
sca3,5,50,все rejected
sca3,5,100,ok
sca3,5,150,ok
sca3,5,200,ok
sca3,5,250,все rejected
sca3,5,300,ok
sca3,5,350,ok
sca3,5,400,2 последних detected – rejected 
sca3,5,450,ok
sca3,5,500,ok
sca3,5,550,последний detected – rejected 
sca3,5,600,ok
sca3,6,0,ok
sca3,6,50,ok
sca3,6,100,ok
sca3,6,150,ok
sca3,6,200,ok
sca3,6,250,ok
sca3,6,300,ok
sca3,6,350,ok
sca3,6,400,ok
sca3,6,450,ok
sca3,6,500,последний rejected – detected
sca3,6,550,ok
sca3,6,600,ok
sca3,7,0,ok
sca3,7,50,ok
sca3,7,100,ok
sca3,7,150,ok
sca3,7,200,все rejected
sca3,7,250,все rejected
sca3,7,300,ok
sca3,7,350,ok
sca3,7,400,ok
sca3,7,450,ok
sca3,7,500,ok
sca3,7,550,ok
sca3,7,600,ok
sca3,8,0,ok
sca3,8,50,ok
sca3,8,100,все rejected
sca3,8,150,ok
sca3,8,200,все rejected
sca3,8,250,ok
sca3,8,300,ok
sca3,8,350,ok
sca3,8,400,ok
sca3,8,450,ok
sca3,8,500,ok
sca3,8,550,ok
sca3,8,600,ok
sca3,9,0,ok
sca3,9,50,все rejected
sca3,9,100,ok
sca3,9,150,все rejected
sca3,9,200,ok
sca3,9,250,ok
sca3,9,300,ok
sca3,9,350,ok
sca3,9,400,ok
sca3,9,450,ok
sca3,9,500,ok
sca3,9,550,ok
sca3,9,600,ok
wt,1,0,ok
wt,1,50,ok
wt,1,100,все rejected
wt,1,150,ok
wt,1,200,ok
wt,1,250,ok
wt,1,300,ok
wt,1,350,ok
wt,1,400,ok
wt,1,450,ok
wt,1,500,ok
wt,1,550,ok
wt,1,600,ok
wt,2,0,ok
wt,2,50,ok
wt,2,100,все rejected
wt,2,150,все rejected
wt,2,200,ok
wt,2,250,ok
wt,2,300,ok
