group,cell_id,candidate_events,algorithm_spikes,fixed_qc_spikes,changed_events,manual_additions,manual_removals
SCA3,SCA3_01,117,95,91,4,0,4
SCA3,SCA3_02,216,195,191,4,0,4
SCA3,SCA3_03,95,84,83,1,0,1
SCA3,SCA3_04,133,109,105,4,0,4
SCA3,SCA3_05,149,118,112,6,0,6
SCA3,SCA3_06,108,94,95,1,1,0
SCA3,SCA3_07,52,31,29,2,0,2
SCA3,SCA3_08,103,75,73,2,0,2
SCA3,SCA3_09,181,165,163,2,0,2
WT,WT_01,217,212,211,1,0,1
WT,WT_02,411,174,168,6,0,6
WT,WT_03,532,517,512,5,0,5
WT,WT_04,498,498,494,4,0,4
WT,WT_05,63,49,48,7,3,4
WT,WT_06,975,969,968,1,0,1
WT,WT_07,41,32,13,19,0,19
WT,WT_08,302,255,196,59,0,59
WT,WT_09,387,385,377,8,0,8
WT,WT_10,376,373,370,3,0,3
WT,WT_11,190,178,176,2,0,2
WT,WT_12,121,117,113,4,0,4
WT,WT_13,240,227,198,29,0,29
WT,WT_14,158,134,126,8,0,8
WT,WT_15,641,639,637,2,0,2
WT,WT_16,494,492,490,2,0,2
