group,cell_id,mean_sustained_rate_hz,maximum_sustained_rate_hz,mean_total_rate_hz,block_fraction,recruitment_current_pA,cohort
SCA3,SCA3_01,6.915306915306915,47.474747474747474,7.226107226107226,0.0,500.0,main
SCA3,SCA3_02,14.60761460761461,38.38383838383839,14.918414918414921,0.46153846153846156,200.0,main
SCA3,SCA3_03,6.371406371406371,39.39393939393939,6.4491064491064485,0.0,500.0,main
SCA3,SCA3_04,8.003108003108004,35.35353535353536,8.391608391608393,0.23076923076923078,350.0,main
SCA3,SCA3_05,8.78010878010878,31.313131313131315,9.090909090909092,0.38461538461538464,350.0,main
SCA3,SCA3_06,7.226107226107226,39.39393939393939,7.226107226107226,0.0,450.0,main
SCA3,SCA3_07,2.097902097902098,18.181818181818183,2.3310023310023316,0.07692307692307693,550.0,main
SCA3,SCA3_08,5.516705516705516,22.22222222222222,5.594405594405594,0.0,400.0,main
SCA3,SCA3_09,12.043512043512045,41.41414141414141,12.276612276612276,0.0,300.0,main
WT,WT_03,25.563325563325563,94.94949494949495,25.874125874125873,0.0,400.0,main
WT,WT_04,26.806526806526808,74.74747474747475,26.961926961926963,0.07692307692307693,150.0,main
WT,WT_06,35.742035742035746,92.92929292929293,35.81973581973582,0.15384615384615385,250.0,main
WT,WT_08,14.949494949494952,69.6969696969697,14.949494949494952,0.2,350.0,main
WT,WT_09,29.13752913752914,88.88888888888889,29.526029526029525,0.15384615384615385,300.0,main
WT,WT_10,28.360528360528363,94.94949494949495,28.593628593628594,0.07692307692307693,350.0,main
WT,WT_11,13.752913752913754,57.57575757575758,13.83061383061383,0.15384615384615385,400.0,main
WT,WT_12,7.614607614607615,38.38383838383839,7.614607614607615,0.0,500.0,main
WT,WT_13,17.016317016317018,63.63636363636364,17.016317016317018,0.0,450.0,main
WT,WT_14,8.631772268135904,30.303030303030305,8.81542699724518,0.2727272727272727,350.0,main
WT,WT_15,48.873348873348874,116.16161616161617,49.02874902874903,0.0,200.0,main
WT,WT_16,37.45143745143745,92.92929292929293,37.60683760683761,0.0,200.0,main
SCA3,SCA3_01,6.915306915306915,47.474747474747474,7.226107226107226,0.0,500.0,all_reviewed
