group,cell_id,abf_path,sweep_index,current_pA,onset_ms,offset_ms,main_cell_include,phenotype,forced_valid_zero,excluded_above_valid_range,primary_current_range,total_spike_count,sustained_spike_count,total_rate_hz,sustained_rate_hz,first_spike_latency_ms,early_spike_count,late_spike_count,depolarization_block_candidate
WT,WT_01,/root/neurothermo/WT/cc_01.abf,0,0.0,131.20000000000002,1131.2,0,bursting,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,1,50.0,131.20000000000002,1131.2,0,bursting,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,2,100.0,131.20000000000002,1131.2,0,bursting,0,0,1,1,0,1.0101010101010102,0.0,808.1,0,1,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,3,150.0,131.20000000000002,1131.2,0,bursting,0,0,1,15,15,15.151515151515152,15.151515151515152,328.29999999999995,2,5,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,4,200.0,131.20000000000002,1131.2,0,bursting,0,0,1,18,18,18.181818181818183,18.181818181818183,221.4,6,6,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,5,250.0,131.20000000000002,1131.2,0,bursting,0,0,1,21,21,21.21212121212121,21.21212121212121,148.6,9,6,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,6,300.0,131.20000000000002,1131.2,0,bursting,0,0,1,24,24,24.242424242424242,24.242424242424242,166.4,9,6,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,7,350.0,131.20000000000002,1131.2,0,bursting,0,0,1,25,25,25.252525252525253,25.252525252525253,118.19999999999999,12,7,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,8,400.0,131.20000000000002,1131.2,0,bursting,0,0,1,23,23,23.232323232323232,23.232323232323232,103.6,10,4,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,9,450.0,131.20000000000002,1131.2,0,bursting,0,0,1,22,22,22.22222222222222,22.22222222222222,102.5,9,6,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,10,500.0,131.20000000000002,1131.2,0,bursting,0,0,1,20,20,20.2020202020202,20.2020202020202,88.9,10,4,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,11,550.0,131.20000000000002,1131.2,0,bursting,0,0,1,22,22,22.22222222222222,22.22222222222222,80.1,10,6,0
WT,WT_01,/root/neurothermo/WT/cc_01.abf,12,600.0,131.20000000000002,1131.2,0,bursting,0,0,1,20,20,20.2020202020202,20.2020202020202,93.6,10,4,0
WT,WT_02,/root/neurothermo/WT/cc_02.abf,0,0.0,131.20000000000002,1131.2,0,artifact_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_02,/root/neurothermo/WT/cc_02.abf,1,50.0,131.20000000000002,1131.2,0,artifact_prone,0,0,1,0,0,0.0,0.0,,0,0,0
WT,WT_02,/root/neurothermo/WT/cc_02.abf,2,100.0,131.20000000000002,1131.2,0,artifact_prone,0,0,1,3,3,3.0303030303030303,3.0303030303030303,186.00000000000003,3,0,1
WT,WT_02,/root/neurothermo/WT/cc_02.abf,3,150.0,131.20000000000002,1131.2,0,artifact_prone,0,0,1,1,0,1.0101010101010102,0.0,304.29999999999995,1,0,0
