cell_id,genotype,animal_id,in_raw_archive,in_fitted_cohort,in_primary_multisweep_cohort,in_core_secure_cohort,provenance_status
WT_01,WT,WT_150127,True,False,False,False,recovered_from_archive_folder_or_day_code
WT_02,WT,WT_150130,True,True,False,False,recovered_from_archive_folder_or_day_code
WT_03,WT,WT_150130,True,True,True,True,recovered_from_archive_folder_or_day_code
WT_04,WT,WT_150305,True,True,True,True,recovered_from_archive_folder_or_day_code
WT_05,WT,WT_150311,True,False,False,False,recovered_from_archive_folder_or_day_code
WT_06,WT,WT_150311,True,True,True,False,recovered_from_archive_folder_or_day_code
WT_07,WT,WT_150312,True,True,True,False,recovered_from_archive_folder_or_day_code
WT_08,WT,WT_DD09,True,True,True,True,recovered_from_archive_folder_or_day_code
WT_09,WT,WT_DD09,True,True,True,True,recovered_from_archive_folder_or_day_code
WT_10,WT,WT_DD09,True,True,True,True,recovered_from_archive_folder_or_day_code
WT_11,WT,WT_DD09,True,True,True,False,recovered_from_archive_folder_or_day_code
WT_12,WT,WT_DD10,True,False,False,False,recovered_from_archive_folder_or_day_code
WT_13,WT,WT_DD10,True,True,True,True,recovered_from_archive_folder_or_day_code
WT_14,WT,WT_DD10,True,True,True,True,recovered_from_archive_folder_or_day_code
WT_15,WT,WT_DD10,True,True,True,False,recovered_from_archive_folder_or_day_code
WT_16,WT,WT_DD10,True,True,True,True,recovered_from_archive_folder_or_day_code
SCA3_01,SCA3,SCA3_DD20,True,True,True,True,recovered_from_archive_folder_or_day_code
SCA3_02,SCA3,SCA3_DD20,True,True,True,False,recovered_from_archive_folder_or_day_code
SCA3_03,SCA3,SCA3_DD20,True,False,False,False,recovered_from_archive_folder_or_day_code
SCA3_04,SCA3,SCA3_DD20,True,True,True,True,recovered_from_archive_folder_or_day_code
SCA3_05,SCA3,SCA3_DD20,True,True,True,False,recovered_from_archive_folder_or_day_code
SCA3_06,SCA3,SCA3_DD24,True,True,True,True,recovered_from_archive_folder_or_day_code
SCA3_07,SCA3,SCA3_DD24,True,True,False,False,recovered_from_archive_folder_or_day_code
SCA3_08,SCA3,SCA3_DD24,True,False,False,False,recovered_from_archive_folder_or_day_code
SCA3_09,SCA3,SCA3_DD24,True,True,True,True,recovered_from_archive_folder_or_day_code
