group,cell_id,q,supported_by_observed_current_range,spike_count,firing_rate_hz,active_rate_hz,train_duration_ms,mean_isi_ms,median_isi_ms,cv_isi,early_isi_ms,late_isi_ms,adaptation_index
SCA3,SCA3_01,0.25,True,20.999999999999915,20.68965517241371,30.542850900992878,628.3499999999989,34.826785714285805,34.800000000000146,0.11271988819623012,35.433333333333465,32.80000000000011,-0.031195684528456127
SCA3,SCA3_01,0.5,True,29.0,28.571428571428573,38.01765105227427,736.5,26.303571428571427,26.400000000000034,0.09930688961115545,24.433333333333337,24.166666666666668,-0.005486968449931465
SCA3,SCA3_01,0.75,True,38.0,37.47955558062151,42.661643296601966,854.45,23.721350931677016,23.650000000000063,0.09210973925604794,22.53333333333334,22.70000000000001,0.004422120870575809
SCA3,SCA3_02,0.25,True,1.7910156250000064,42.16439586523102,,,,,,,,
SCA3,SCA3_02,0.5,True,31.328125000000092,37.78606695065589,38.167503438176595,790.3933593750019,26.227001953124983,26.705273437499944,0.1685435097181992,17.621614583333304,31.22200520833333,0.2785832681854549
SCA3,SCA3_02,0.75,True,31.671874999999694,49.25576996326034,50.49547628293364,619.7060546874934,19.857618811720343,20.17265624999995,0.15425428598999597,13.393684895833346,23.73587239583323,0.27528712680656947
SCA3,SCA3_04,0.25,False,,,,,,,,,,
SCA3,SCA3_04,0.5,True,32.519531249999964,32.22985227593881,32.441031741109924,971.5085937499999,31.01500618027387,30.960742187500035,0.17125413203292586,21.24453125000004,38.62408854166671,0.2925489574529409
SCA3,SCA3_04,0.75,True,7.496093749999989,51.34150066444606,54.05645278919022,121.42753906249976,18.557606026785706,18.52050781249998,0.24668323808849976,14.44830729166666,22.67591145833332,0.22032695325404683
SCA3,SCA3_05,0.25,True,10.140624999999723,31.031329516539415,,,,,,,,
SCA3,SCA3_05,0.5,True,16.218749999999993,28.85285735817866,29.07136724619017,524.7656249999998,34.42278180803571,33.175000000000004,0.2715474572165007,22.740624999999998,47.76302083333332,0.35051784024809013
SCA3,SCA3_05,0.75,True,18.3046875,30.954476047137284,31.343644050591788,552.584375,32.057164171006946,31.2232421875,0.25371259388915685,21.461979166666662,45.13580729166668,0.35268429427012954
SCA3,SCA3_06,0.25,False,,,,,,,,,,
SCA3,SCA3_06,0.5,False,,,,,,,,,,
SCA3,SCA3_06,0.75,True,31.19531249999996,30.734298029556612,32.63410282217745,924.7515625,30.869691470054477,30.42382812499998,0.1729313778394762,25.441666666666695,29.26119791666669,0.07236425690725072
SCA3,SCA3_09,0.25,False,,,,,,,,,,
SCA3,SCA3_09,0.5,True,20.906250000000036,20.597290640394128,26.97010056699027,738.1812500000001,37.56001674107135,37.82499999999996,0.04265789973992645,37.83749999999993,35.82812499999992,-0.02669864779677226
SCA3,SCA3_09,0.75,True,30.343750000000036,29.895320197044374,35.7043875538767,820.1796875000003,28.140861742424214,28.198437500000104,0.04737984721819501,29.31354166666664,26.2427083333333,-0.05713064489837441
WT,WT_03,0.25,False,,,,,,,,,,
WT,WT_03,0.5,True,84.51953124999989,83.71942284916018,84.97564779742378,983.0996093750003,11.783769772376562,11.746484374999993,0.07448296332312242,10.56197916666669,12.261458333333387,0.07452940051006877
WT,WT_03,0.75,True,97.01562499999991,96.09752719102654,97.64917473885521,983.296875,10.254144340581988,10.198437500000104,0.06904638871825541,9.813411458333341,10.206835937500008,0.020808865382396187
WT,WT_04,0.25,True,22.814453124999886,22.96472216207058,24.424710419075787,891.6681640624998,42.46874828673263,39.73076171875016,0.26486729661381847,26.608919270833425,60.819531250000296,0.3820664173748225
WT,WT_04,0.5,True,45.53515624999991,44.88396388718965,46.79708796955,950.7308593749998,21.544656608737284,21.36113281250008,0.125054198191442,16.006380208333365,23.695442708333402,0.19207283779848613
WT,WT_04,0.75,True,63.76757812499953,63.02042877095175,65.0607836609911,964.311914062499,15.41826681619173,15.445703125000197,0.09256995911257455,11.495833333333447,17.186263020833476,0.1987448907032703
WT,WT_06,0.25,True,63.90625000000021,63.38461194559315,65.94351561747952,953.9226562500002,15.171416698328201,15.12636718749992,0.0835784525938935,13.253255208333293,17.319205729166534,0.1327777992451264
WT,WT_06,0.5,True,85.97656250000004,85.52998307894,87.62267175548811,969.8011718749999,11.41281151107594,11.403124999999857,0.06298873220793898,9.202994791666647,12.038281249999997,0.1334763831006293
WT,WT_06,0.75,True,107.99023437500003,106.84802103425562,108.20388629568062,988.7830078125,9.241839663362422,9.300781249999952,0.05686679396033431,7.267773437499992,9.733528645833347,0.14503575309841044
WT,WT_07,0.25,True,1.0,18.737181345122984,,,,,,,,
WT,WT_07,0.5,True,1.0039062499999665,20.8068652912798,,,,,,,,
WT,WT_07,0.75,True,2.0,2.174798473115336,64.53268483635522,15.49648437499997,15.49648437499997,15.49648437499997,0.0,15.49648437499997,15.49648437499997,0.0
WT,WT_08,0.25,True,53.93750000000009,74.55539889301896,85.96251363455055,649.4744140625016,11.821544692095598,11.693847656249984,0.18654337074072844,8.368359375000011,11.63489583333336,0.16260132058616436
WT,WT_08,0.5,True,24.25390624999996,85.26875236857884,109.95906351163418,211.83085937499953,9.096883491847823,9.12636718750002,0.15842714501102906,6.447005208333326,9.277083333333344,0.18001813081983503
WT,WT_08,0.75,True,11.548828125000028,78.93373624400914,126.41316385488025,84.50996093750028,7.926688326322122,8.13037109375001,0.23216183287098605,5.862760416666658,8.742447916666682,0.19640033501929455
WT,WT_09,0.25,False,,,,,,,,,,
WT,WT_09,0.5,True,59.785156250000256,58.901631773399274,62.09553960843235,945.9371093750003,16.338401451889276,16.525390624999957,0.13856527338542415,10.285156249999968,17.195833333333212,0.24349990620416634
WT,WT_09,0.75,True,73.08593750000004,79.15236101761882,83.01436841673429,884.4409179687509,12.145059760089834,12.20151367187499,0.08736427636336745,8.443782552083336,13.203157552083333,0.21957203176003576
WT,WT_10,0.25,True,27.27050781249993,29.566042473023636,,,,,,,,
WT,WT_10,0.5,True,54.2890624999999,53.486761083743744,56.40184479118924,944.6054687499998,17.769886073747713,18.027343749999947,0.1440617678531733,13.255208333333389,15.351302083333366,0.07568960459635145
WT,WT_10,0.75,True,74.93164062499986,74.10398877729645,77.00654626148032,960.0289062499999,13.048469328703726,13.220898437499892,0.10125054571368448,8.41634114583335,12.41419270833327,0.1928326330830045
WT,WT_11,0.25,True,20.687499999999712,29.581490933409576,35.373398605601025,405.2378906249951,32.07488511029425,33.69531250000013,0.2763768092397391,30.087109375000164,33.45937500000011,0.09553160410764705
WT,WT_11,0.5,True,47.12500000000016,48.118079993514016,51.1021957274865,860.4585937500028,20.628354779411694,20.696874999999878,0.1856655547503041,15.491406249999915,24.206249999999944,0.24687942634560991
WT,WT_11,0.75,True,54.69531249999996,54.78198438807571,64.48454189279258,834.7007812500016,15.561905126634027,15.110546875000017,0.2364604238396704,10.733593750000022,24.8958333333333,0.3973590436445936
WT,WT_13,0.25,True,48.84179687500003,49.04840443137228,85.99260658739888,556.2624999999999,11.629967009715537,11.287695312500068,0.21375913430967766,13.019921874999955,10.721028645833314,-0.09141160473407366
WT,WT_13,0.5,True,44.39453125000003,54.1181922491829,83.01147607143221,521.4750000000001,12.062419245793265,10.941796874999989,0.3579428611650422,22.013281249999938,10.375130208333347,-0.3018393914256474
WT,WT_13,0.75,True,40.05859374999997,59.22086657761133,80.05098766747369,487.93437499999965,12.492074364437647,10.59648437499991,0.5015233320961926,30.969921874999944,10.043098958333374,-0.510181214515129
WT,WT_14,0.25,True,29.453125000000068,36.56991027607934,40.332098492797044,716.8785156250046,25.079603987069078,22.089062500000043,0.5793481398373344,22.62018229166679,28.540494791666664,0.11869886246678252
WT,WT_14,0.5,True,20.695312499999932,56.36850922389146,63.44496232322643,319.174999999998,15.935666666666625,15.667578124999965,0.17494481577174603,13.47786458333329,19.904687499999916,0.18576167761772364
WT,WT_14,0.75,True,16.863281250000078,74.08298775671386,78.51358157636817,203.4613281250015,12.768315060399193,13.02636718750005,0.17056892992848136,10.955208333333417,14.919661458333334,0.1568971898255955
WT,WT_15,0.25,True,34.53124999999983,34.02093596059097,34.912712136119424,958.0609374999999,31.58379464285727,28.794531249999974,0.26003695958162665,23.51796875000008,29.78020833333346,0.10093482426537936
WT,WT_15,0.5,True,73.41406249999977,72.44043748174407,73.95194632482392,978.9945312499999,13.626752804487223,13.65976562500006,0.06251100098683977,11.18411458333338,13.950520833333405,0.11178306799194992
WT,WT_15,0.75,True,96.85156249999977,95.94316953527931,97.24098206584942,985.5886718749998,10.301093152104615,10.336328125000017,0.04702850655129118,8.774609375000033,10.022265625000042,0.06654100450019587
WT,WT_16,0.25,False,,,,,,,,,,
