group,cell_id,solution,source,rheobase_J,rheobase_pA,lo_J,hi_J,iterations,status,alt_loss
SCA3,SCA3_01,best,best,7.364185581249652,500.0,7.3584323112643,7.364185581249652,7,BRACKET_OK,
SCA3,SCA3_01,alternative,r_HIGH,7.018989382128574,476.56249999999994,7.013236112143223,7.018989382128574,7,BRACKET_OK,0.8162435645311663
SCA3,SCA3_02,best,best,0.9278531747632068,52.73437500000001,0.9209801882834794,0.9278531747632068,7,BRACKET_OK,
SCA3,SCA3_02,alternative,b_LOW,1.3608513229860368,77.34375000000001,1.3539783365063094,1.3608513229860368,7,BRACKET_OK,0.7362883476087133
SCA3,SCA3_02,alternative,b_HIGH,1.5739139038575878,89.453125,1.5670409173778603,1.5739139038575878,7,BRACKET_OK,0.6559585050527506
SCA3,SCA3_02,alternative,r_LOW,1.3264863905873994,75.390625,1.319613404107672,1.3264863905873994,7,BRACKET_OK,0.6629104962264583
SCA3,SCA3_02,alternative,r_HIGH,1.5807868903373152,89.84375,1.5739139038575878,1.5807868903373152,7,BRACKET_OK,0.7032005999160474
SCA3,SCA3_02,alternative,kappa_I_LOW,1.2440105528306697,70.703125,1.2371375663509423,1.2440105528306697,7,BRACKET_OK,0.7029053524658972
SCA3,SCA3_02,alternative,kappa_I_HIGH,1.278375485229307,72.65625,1.2715024987495795,1.278375485229307,7,BRACKET_OK,0.6961611184391442
SCA3,SCA3_04,best,best,2.998635531603484,250.39062499999991,2.993957473051841,2.998635531603484,7,BRACKET_OK,
SCA3,SCA3_04,alternative,b_LOW,3.4477291525612612,287.890625,3.4430510940096175,3.4477291525612612,7,BRACKET_OK,0.7680737345988164
SCA3,SCA3_04,alternative,b_HIGH,3.162367580911007,264.06249999999994,3.1576895223593633,3.162367580911007,7,BRACKET_OK,0.7146643199169594
SCA3,SCA3_04,alternative,r_LOW,3.5927489676622097,300.0,3.5880709091105665,3.5927489676622097,7,BRACKET_OK,0.7642801403843821
SCA3,SCA3_04,alternative,s_HIGH,2.998635531603484,250.39062499999991,2.993957473051841,2.998635531603484,7,BRACKET_OK,0.7034159324050357
SCA3,SCA3_04,alternative,kappa_I_LOW,3.3775582742866086,282.03125,3.3728802157349653,3.3775582742866086,7,BRACKET_OK,0.7642727245617333
SCA3,SCA3_05,best,best,2.302301394566596,260.9375,2.298854835592694,2.302301394566596,7,BRACKET_OK,
SCA3,SCA3_05,alternative,b_LOW,2.4884155791573086,282.03124999999994,2.4849690201834065,2.4884155791573086,7,BRACKET_OK,0.9085060105692097
SCA3,SCA3_05,alternative,r_LOW,2.471182784287799,280.078125,2.467736225313897,2.471182784287799,7,BRACKET_OK,0.8233085485171204
SCA3,SCA3_05,alternative,r_HIGH,2.2781754817492814,258.20312499999994,2.2747289227753793,2.2781754817492814,7,BRACKET_OK,0.8401626688842017
SCA3,SCA3_05,alternative,s_HIGH,2.443610312496582,276.953125,2.44016375352268,2.443610312496582,7,BRACKET_OK,0.8173871116499091
