cell_id,identifiability,identifiability_base_loss,identifiability_spike_train_loss,identifiability_threshold_loss,identifiability_median_abs_latency_shift_ms,identifiability_max_abs_latency_shift_ms,latency_realigned_for_every_alternative,id_b,id_alt_loss_b,id_r,id_alt_loss_r,id_s,id_alt_loss_s,id_kappa_I,id_alt_loss_kappa_I
SCA3_01,NONIDENTIFIABLE,0.7379345848982481,0.7379345848982481,0.0,210.71896732551787,336.30456830195527,True,IDENTIFIABLE,1.127658676817443,NONIDENTIFIABLE,0.8162435645311663,IDENTIFIABLE,1.144713851305568,IDENTIFIABLE,1.1227511714733065
SCA3_02,NONIDENTIFIABLE,0.6189832827822657,0.6189832827822657,0.0,4.76568535218852,9.152372537365487,True,NONIDENTIFIABLE,0.6559585050527506,NONIDENTIFIABLE,0.6629104962264583,IDENTIFIABLE,0.8300339783125935,NONIDENTIFIABLE,0.6961611184391442
SCA3_04,NONIDENTIFIABLE,0.6754869052170108,0.6754869052170108,0.0,2.569258335734066,3.310420666693366,True,NONIDENTIFIABLE,0.7146643199169594,NONIDENTIFIABLE,0.7642801403843821,NONIDENTIFIABLE,0.7034159324050357,NONIDENTIFIABLE,0.7642727245617333
SCA3_06,IDENTIFIABLE,0.7159515126056417,0.7159515126056417,0.0,19.450911687565444,25.75210288101532,True,IDENTIFIABLE,1.0672149496951606,IDENTIFIABLE,1.0532076064124107,IDENTIFIABLE,1.0820108650321183,IDENTIFIABLE,1.1452168822041564
SCA3_05,NONIDENTIFIABLE,0.7638181270429483,0.7638181270429483,0.0,3.5729797364978064,6.3644048630085805,True,NONIDENTIFIABLE,0.9085060105692095,NONIDENTIFIABLE,0.8233085485171204,NONIDENTIFIABLE,0.8173871116499091,NONIDENTIFIABLE,0.8565665889061481
SCA3_09,NONIDENTIFIABLE,0.8591968856334808,0.8591968856334808,0.0,168.84205305476274,224.97090572082897,True,NONIDENTIFIABLE,1.0614275506941326,IDENTIFIABLE,1.174464267833638,IDENTIFIABLE,1.1255872468824983,NONIDENTIFIABLE,0.8928539522984064
WT_03,NONIDENTIFIABLE,0.49132051655659487,0.49132051655659487,0.0,2.6021891615112924,14.400127588938073,True,IDENTIFIABLE,0.7049763043704712,NONIDENTIFIABLE,0.557574847805127,NONIDENTIFIABLE,0.5487699022729832,NONIDENTIFIABLE,0.5723101341372341
WT_04,NONIDENTIFIABLE,0.6957507776958705,0.6957507776958705,0.0,16.650484661729003,38.7888622842546,True,NONIDENTIFIABLE,0.816606929072162,NONIDENTIFIABLE,0.8012677425885472,NONIDENTIFIABLE,0.8395482413124595,NONIDENTIFIABLE,0.8581729322794552
WT_06,NONIDENTIFIABLE,0.5276260661621756,0.5276260661621756,0.0,3.582281707373564,11.756818545520659,True,NONIDENTIFIABLE,0.5383339512917603,NONIDENTIFIABLE,0.5598395918970259,NONIDENTIFIABLE,0.605509109669865,IDENTIFIABLE,0.672647545624048
WT_07,NONIDENTIFIABLE,0.008853340293571321,0.008853340293571321,0.0,5.0700144990902025,12.173211677378404,True,IDENTIFIABLE,0.3125,NONIDENTIFIABLE,0.052857815972023124,NONIDENTIFIABLE,0.012258704132135367,IDENTIFIABLE,0.10488367110019806
WT_08,IDENTIFIABLE,0.45345875570400196,0.45345875570400196,0.0,4.943391783091041,59.506877188633865,True,IDENTIFIABLE,0.8504686576108011,IDENTIFIABLE,0.5695139888833903,IDENTIFIABLE,0.6364200447156468,IDENTIFIABLE,0.6010916305095666
WT_09,NONIDENTIFIABLE,0.6519832553609037,0.6519832553609037,0.0,2.7990649471291817,3.937026538699598,True,NONIDENTIFIABLE,0.7505611562329568,NONIDENTIFIABLE,0.7234904474880186,NONIDENTIFIABLE,0.6800141050445945,NONIDENTIFIABLE,0.6687878520431879
WT_10,IDENTIFIABLE,0.4110856590482808,0.4110856590482808,0.0,31.408419151526992,99.05158015193177,True,IDENTIFIABLE,0.5511571460859903,IDENTIFIABLE,0.5616775786161775,IDENTIFIABLE,0.8516897103196,IDENTIFIABLE,1.2366381725311217
WT_11,NONIDENTIFIABLE,0.5915567463795572,0.5915567463795572,0.0,1.8802567145314342,62.42421494898781,True,IDENTIFIABLE,0.8767079148911675,NONIDENTIFIABLE,0.6474190619098951,NONIDENTIFIABLE,0.7024079327313575,IDENTIFIABLE,0.8827171047784279
WT_13,IDENTIFIABLE,0.538903350970432,0.538903350970432,0.0,12.23539851544919,47.15651744141573,True,IDENTIFIABLE,0.9303210849290441,IDENTIFIABLE,0.7348388622506162,IDENTIFIABLE,1.0169628592915323,IDENTIFIABLE,1.074868102861286
WT_14,NONIDENTIFIABLE,0.5437758887471968,0.5437758887471968,0.0,12.024686050193136,13.273714709023,True,IDENTIFIABLE,0.739820203876311,NONIDENTIFIABLE,0.6302212219966578,IDENTIFIABLE,0.7303335489219253,IDENTIFIABLE,0.7308052588991246
WT_15,NONIDENTIFIABLE,0.5105219024956218,0.5105219024956218,0.0,2.3775808601518422,18.14224682193889,True,IDENTIFIABLE,0.725391746489984,NONIDENTIFIABLE,0.5312170242503426,NONIDENTIFIABLE,0.6209955116323642,NONIDENTIFIABLE,0.5140033817872869
WT_16,IDENTIFIABLE,0.5089756659828126,0.5089756659828126,0.0,22.839534837328202,43.99571200640969,True,IDENTIFIABLE,0.6787413675316217,IDENTIFIABLE,0.6637909957509672,IDENTIFIABLE,0.6792448315743277,IDENTIFIABLE,0.7540232598088734
