group,metric,between_cell_best_log10_iqr,median_within_cell_solution_log10_span,within_to_between_ratio,n_cells_with_multiple_solutions
WT,rheobase_J,0.307847650797657,0.041279114835558905,0.13408942614504782,8
SCA3,rheobase_J,0.3026004087203224,0.038993262027770315,0.12886057290097624,5
WT,q75_firing_rate_hz,0.12662171600996497,0.04593020359611999,0.3627355957844177,8
SCA3,q75_firing_rate_hz,0.1743931043296143,0.060733479993532846,0.3482562009948663,5
WT,q75_mean_isi_ms,0.12129122356746347,0.04535626108990165,0.37394511948899595,8
SCA3,q75_mean_isi_ms,0.1622533329091158,0.07200307790720761,0.4437694845229419,5
WT,q50_firing_rate_hz,0.16962729278558086,0.03683224700239862,0.21713632516057899,8
SCA3,q50_firing_rate_hz,0.05232635929817797,0.1740548224471692,3.3263316000131096,5
WT,q50_mean_isi_ms,0.1804644347052773,0.04629629247525413,0.256539702966195,7
SCA3,q50_mean_isi_ms,0.11683124421037672,0.17658585971434504,1.5114609187621837,4
