group,cell_id,animal_id,capacitance_pF,b,r,s,kappa_I,identifiability,cell_loss,rheobase_J_best,rheobase_pA_best,rheobase_secure,exp_q75_firing_rate_hz,exp_q75_mean_isi_ms,model_q75_firing_rate_hz,model_q75_mean_isi_ms,firing_rate_hz_secure_q75,mean_isi_ms_secure_q75,core_q75_secure,model_exp_srd_q75_firing_rate_hz,model_exp_srd_q75_mean_isi_ms
SCA3,SCA3_01,SCA3_DD20,135.7923410493828,2.87957486763608,0.0367840866590933,0.666593864674466,0.144828946118288,NONIDENTIFIABLE,0.74060225127201,3.682092790624826,500.0,True,37.47955558062151,23.721350931677016,38.46565240305796,22.95967975502382,True,True,True,0.0259686384070042,0.0326330059747455
SCA3,SCA3_02,SCA3_DD20,113.6696547133292,3.39580213794053,0.011865463263355,1.06199021527079,0.269834693307222,NONIDENTIFIABLE,0.619018284176733,0.4639265873816034,52.73437500000001,False,49.25576996326034,19.857618811720343,67.31850798908881,14.937216242447343,False,False,False,0.3098923423435106,0.2828237329829583
SCA3,SCA3_04,SCA3_DD20,167.0030401234568,3.1841739616986,0.0685272827706698,1.64104809448976,0.453594510225478,NONIDENTIFIABLE,0.675603056335111,1.499317765801742,250.39062499999991,True,51.34150066444606,18.557606026785702,46.69813086308048,21.144482766787423,True,True,True,0.0947243421669095,0.1303143899280421
SCA3,SCA3_05,SCA3_DD20,226.675361111112,4.57048885142292,0.0267222541757113,1.35804074575354,0.370970712347174,NONIDENTIFIABLE,0.770805777668297,1.151150697283298,260.9375,True,30.954476047137284,32.057164171006946,55.68202762634273,18.194461714537585,False,False,False,0.570834475786324,0.5517314997148035
SCA3,SCA3_06,SCA3_DD24,162.849636923077,3.32112664756946,0.000172535267681,1.80693033257445,0.227320885419926,IDENTIFIABLE,0.717729344197976,2.6193641451069944,426.5625,True,30.73429802955661,30.86969147005448,29.749076354679765,31.86810380047486,True,True,True,0.032578264189361,0.0318280974368054
SCA3,SCA3_09,SCA3_DD24,246.182697530864,3.56794792056019,0.0001570401851009,1.28766365576524,0.31540356265758,NONIDENTIFIABLE,0.859791933091499,1.1297503959031543,278.1250000000001,True,29.895320197044374,28.14086174242421,30.280172413793142,27.98144502491703,True,True,True,0.0127909951394218,0.0056810465103672
WT,WT_03,WT_150130,423.225185185186,2.86810838929218,0.0855030713389898,0.760137165765994,0.773932426993212,NONIDENTIFIABLE,0.492359654723775,0.8279058932815717,350.390625,True,96.09752719102654,10.254144340581988,95.35732644394558,10.231883977551352,True,True,True,0.0077323790233307,0.0021732238855622
WT,WT_04,WT_150305,1052.480074074074,3.07526787577599,0.0366751221750693,0.519708187871091,1.23801284677982,NONIDENTIFIABLE,0.695298965417483,0.19039849773526105,200.390625,True,63.02042877095175,15.41826681619173,63.51434927075274,15.301092657440917,True,True,True,0.0078068734532129,0.0076286850219899
WT,WT_06,WT_150311,786.80267037037,3.00268700778274,0.0397070714073017,0.320997650843926,0.87381027819022,NONIDENTIFIABLE,0.528053725941598,0.31724520569115744,249.609375,False,106.84802103425562,9.241839663362422,103.87975063958572,9.404592503205745,True,True,False,0.0281716108996217,0.0174567272054466
WT,WT_07,WT_150312,707.544513580248,3.20511381810753,0.0011459239565885,3.67550749934334,0.63380153122048,NONIDENTIFIABLE,0.0089541269301869,0.6365544730478894,450.390625,True,2.174798473115336,15.49648437499997,6.367832293092159,21.04568239656965,False,False,False,0.9816727269925828,0.3037147773014403
