biological_pair_key,n_support_scenarios,fisher_interior_peak_p_median,fisher_interior_peak_p_q25,fisher_interior_peak_p_q75,fisher_interior_peak_p_support_weight,entropy_peak_p_median,entropy_peak_p_q25,entropy_peak_p_q75,entropy_peak_p_support_weight,epr_peak_p_median,epr_peak_p_q25,epr_peak_p_q75,epr_peak_p_support_weight,kl_balance_p_median,kl_balance_p_q25,kl_balance_p_q75,kl_balance_p_support_weight,epr_onset_p_median,epr_onset_p_q25,epr_onset_p_q75,epr_onset_p_support_weight,median_split_js,min_epr_retained_mass,wt_exit_p_isi_weighted_median,balance_p_isi_weighted_median,sca3_entry_p_isi_weighted_median
WT_03__TO__SCA3_01,8,0.2,0.0666666666666666,0.3833333333333333,0.75,0.1,0.0,0.3333333333333333,1.0,0.0666666666666666,0.0,0.3,1.0,0.5151812147416958,0.1870808140193065,0.5582877888055495,1.0,0.2333333333333333,0.2333333333333333,0.4333333333333333,0.25,0.0013056596169751,0.9992957258356284,0.0056609300606963,0.4187767512737397,0.7586837301873209
WT_03__TO__SCA3_04,24,0.2666666666666666,0.1333333333333333,0.6,0.7916666666666665,0.0999999999999996,0.0,0.6666666666666661,1.0,0.0333333333333333,0.0,0.3333333333333328,1.0,0.3850392992063482,0.0945719391095936,0.4859475213564453,1.0,0.1666666666666666,0.1333333333333333,0.2333333333333333,0.4166666666666667,0.0010741133944745,0.9992451432761508,0.0014727631360095,0.6501014070438412,0.95
WT_03__TO__SCA3_06,4,0.5666666666666667,0.4333333333333333,0.7333333333333333,0.75,0.2666666666666666,0.0,0.7666666666666666,1.0,0.5,0.0,0.6666666666666666,1.0,0.2073857617232267,0.1313739719437551,0.2420307664507068,1.0,0.2666666666666666,0.2,0.45,0.75,0.0010108144731418,0.999376039000034,0.0006805501641989,0.3934040442084981,0.7535806909536319
WT_03__TO__SCA3_09,12,0.1666666666666667,0.1,0.5833333333333336,0.8333333333333333,0.7666666666666666,0.7,0.9333333333333332,1.0,0.0666666666666666,0.0,0.6666666666666666,1.0,0.1079040717509641,0.0661109277906696,0.5240951542762632,1.0,0.1166666666666666,0.1,0.2333333333333334,0.4166666666666666,0.0007890956028594,0.9993670136050106,0.0007687585961517,0.4331096114441799,0.8280560882994781
WT_04__TO__SCA3_01,12,0.7333333333333333,0.2,0.8333333333333334,0.3333333333333333,0.2,0.0666666666666667,0.9666666666666668,1.0,0.2666666666666666,0.0666666666666667,0.9333333333333332,1.0,0.4871596548958403,0.2685332268482008,0.59149690762708,1.0,0.1666666666666666,0.15,0.5500000000000003,0.5,0.0014626995409003,0.9993167926109066,0.4890637168357433,0.7015683614961412,0.8764991345644095
WT_04__TO__SCA3_04,36,0.5,0.1833333333333333,0.7666666666666666,0.8333333333333334,0.3333333333333333,0.1333333333333333,0.9666666666666668,1.0,0.4333333333333333,0.0666666666666666,0.9333333333333332,1.0,0.3872828291806574,0.1804268880710629,0.5254129729477208,1.0,0.1666666666666666,0.1333333333333333,0.2583333333333333,0.5833333333333334,0.0012228376996818,0.999044885132056,0.1645217650964595,0.5531056006839034,0.6000000000000001
WT_04__TO__SCA3_06,6,0.7166666666666667,0.5666666666666667,0.8166666666666667,0.8333333333333333,0.3000000000000002,0.2666666666666666,0.7666666666666667,1.0,0.7333333333333334,0.0166666666666666,0.9166666666666669,1.0,0.2467891076244377,0.1719745396002368,0.5263980527018584,1.0,0.2833333333333333,0.1666666666666666,0.4,0.4999999999999999,0.0014266903123044,0.999225382233013,0.4417226955689047,0.6786463925580624,0.8354598278102602
WT_04__TO__SCA3_09,18,0.3666666666666668,0.1333333333333333,0.8333333333333334,0.7777777777777779,0.9666666666666668,0.6333333333333337,1.0,1.0,0.2333333333333333,0.0333333333333333,0.95,1.0,0.32422768033769,0.2395067920154091,0.5257205621632223,1.0,0.1666666666666666,0.1333333333333333,0.2083333333333333,0.3888888888888889,0.0009924385229556,0.999223736749038,0.1295532672657693,0.6872428658139085,0.7781092762481925
WT_08__TO__SCA3_01,2,0.8,0.8,0.8,0.5,0.0,0.0,0.1166666666666666,1.0,0.9,0.9,0.95,1.0,0.2452261116588225,0.2452261116588225,0.3877105924137057,1.0,0.1333333333333333,0.1333333333333333,0.1666666666666666,1.0,0.0016864341125626,0.9988932026239292,0.6180309063423852,0.7795542992069673,0.9040503574487152
WT_08__TO__SCA3_04,6,0.2166666666666666,0.125,0.6083333333333336,0.8333333333333333,0.1333333333333334,0.0,0.4000000000000001,1.0,0.9333333333333332,0.5,0.9833333333333334,1.0,0.3524067323420706,0.1635053314179192,0.4593397878753291,1.0,0.1666666666666666,0.1333333333333333,0.7000000000000001,0.6666666666666666,0.0013854741883133,0.9992393442952708,0.5644534488732375,0.8481475013224421,0.7441052363141821
WT_08__TO__SCA3_06,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.1919940221215923,0.1919940221215923,0.1919940221215923,1.0,0.4333333333333333,0.4333333333333333,0.4333333333333333,1.0,0.0019815091304737,0.9993872501585522,0.4962425850351614,0.681034327812895,0.8194646116529762
WT_08__TO__SCA3_09,3,0.7,0.7,0.7166666666666666,0.6666666666666666,0.9666666666666668,0.9333333333333332,1.0,1.0,0.4166666666666667,0.0666666666666666,0.825,1.0,0.1657363958093349,0.0693259836668124,0.3177269563737362,1.0,0.5,0.5,0.5,0.3333333333333333,0.0008512722062623,0.9993945057469724,0.223863644401402,0.2742650106394408,0.4692212062840153
