endpoint_role,cell_id,n_pair_combinations,median_kl_balance_p,median_dynamical_balance_p,kl_at_lower_p_than_dynamical_balance
WT,WT_03,4,0.29621253046478746,0.4259431813589598,True
WT,WT_04,4,0.3557552547591737,0.6829446291859854,True
WT,WT_08,4,0.2186100668902074,0.7302943135099311,True
WT,WT_09,4,0.32537601311067255,0.6676746285807846,True
WT,WT_10,4,0.42867409916483246,0.49590277504081753,True
WT,WT_13,4,0.2734660474806019,0.7103735501046384,True
WT,WT_14,4,0.38979110725328525,0.6585083376082169,True
WT,WT_16,4,0.46289621508781276,0.7416089040698239,True
SCA3,SCA3_01,8,0.501170434818768,0.6922601442970884,True
SCA3,SCA3_04,8,0.35529234026646317,0.6872016097667162,True
SCA3,SCA3_06,8,0.26968159282746357,0.6798403601854787,True
SCA3,SCA3_09,8,0.2489547447663752,0.5178050435550694,True
