variable,n_sca3_cells,n_wt_cells,median_sca3_cells,median_wt_cells,median_difference_sca3_minus_wt,median_ratio_sca3_over_wt,cliffs_delta_cell_level_descriptive,n_sca3_animals,n_wt_animals,median_sca3_animal_medians,median_wt_animal_medians,animal_median_ratio_sca3_over_wt,animal_median_directional_separation,inference_note
b,6,12,3.358464392754995,3.0038405258613,0.3546238668936947,1.1180568222049712,0.6111111111111112,2,6,3.367262666942195,2.998773402915848,1.1228799960904177,SCA3_GT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
r,6,12,0.0192938587195331,0.020901583210168,-0.0016077244906348,0.9230812099509867,-0.1944444444444444,2,6,0.0159589790718966,0.0124879519274378,1.277950072568136,ANIMAL_MEDIANS_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
s,6,12,1.32285220075939,0.5457399487748325,0.7771122519845575,2.4239607229215085,0.5277777777777778,2,6,1.378656237341005,0.6377053947356305,2.1619014810319204,SCA3_GT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
kappa_I,6,12,0.292619127982401,1.020531022819079,-0.727911894836678,0.2867322221857403,-1.0,2,6,0.2958824634329754,1.1343288293225644,0.2608436423234347,SCA3_LT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
kappa_over_Cm,6,12,0.001516233526956,0.0012122688901613,0.0003039646367947,1.2507402765687616,0.3055555555555556,2,6,0.0016718734291647,0.0015728839418749,1.062935023147209,ANIMAL_MEDIANS_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
capacitance_pF,6,12,164.9263385232669,786.655371191833,-621.7290326685661,0.2096551356070867,-1.0,2,6,177.95692890669514,788.899370189459,0.225576208615755,SCA3_LT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
cell_loss,6,12,0.729165797734993,0.519922129083432,0.2092436686515609,1.4024519383709162,0.9166666666666666,2,6,0.7484316462241489,0.5245844500003289,1.4267133656433766,SCA3_GT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
median_circle_f1,6,12,0.8851770719240599,0.982234840606908,-0.0970577686828481,0.901186799052172,-0.6666666666666666,2,6,0.905062731487073,0.9723831851114888,0.9307675670916736,SCA3_LT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
median_count_error_fraction,6,12,0.1828298887122414,0.0268308080808081,0.1559990806314334,6.814177499298595,0.7222222222222222,2,6,0.1677522564692948,0.0324401293151292,5.1711340247666415,SCA3_GT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
rheobase_pA,6,12,300.0,300.0,0.0,1.0,0.1111111111111111,2,6,337.5,275.0,1.2272727272727273,ANIMAL_MEDIANS_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
rheobase_J,6,12,1.559926564904754,0.3509485956790428,1.208977969225711,4.444886185928414,0.9444444444444444,2,6,1.7754363876012875,0.34758472780567584,5.107924041455241,SCA3_GT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
max_exp_spikes,6,12,38.5,78.5,-40.0,0.4904458598726114,-0.6666666666666666,2,6,38.5,72.0,0.5347222222222222,SCA3_LT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
depol_block_index,6,12,0.0,0.1718842876956607,-0.1718842876956607,0.0,-0.1111111111111111,2,6,0.1907894736842105,0.1846938775510204,1.0330037801686538,ANIMAL_MEDIANS_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
median_exp_latency_ms,6,12,37.17499999999999,37.22499999999999,-0.0499999999999971,0.9986568166554736,-0.0277777777777777,2,6,69.9875,37.26249999999998,1.878228782287824,ANIMAL_MEDIANS_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
median_exp_train_duration_ms,6,12,641.9000000000001,946.275,-304.3749999999999,0.678344033182743,-0.3888888888888889,2,6,670.7249999999999,772.8875,0.8678171143924567,ANIMAL_MEDIANS_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
median_abs_last_spike_error_ms,6,12,12.3029660743627,5.8005942283388165,6.502371846023884,2.120983745812892,0.3611111111111111,2,6,45.48052839259617,7.036051717434464,6.463927529114241,SCA3_GT_WT_NO_OVERLAP,"DESCRIPTIVE_ONLY: mapping is complete, but two SCA3 animals are insufficient for genotype-population inference"
