marker,n_pairs,median,q25,q75,noise_condition,noise_factor
fisher_interior_peak_p_median,31,0.4333333333333333,0.3083333333333333,0.7333333333333333,D/2,0.5
entropy_peak_p_median,32,0.2833333333333333,0.0999999999999999,0.8083333333333333,D/2,0.5
epr_peak_p_median,32,0.6000000000000002,0.1833333333333333,0.9,D/2,0.5
kl_balance_p_median,32,0.3316857653249291,0.2302316469106713,0.5414901119187543,D/2,0.5
epr_onset_p_median,31,0.2,0.1666666666666666,0.275,D/2,0.5
wt_exit_p_isi_weighted_median,32,0.3982858972674092,0.1051972091464735,0.4895885895252052,D/2,0.5
balance_p_isi_weighted_median,32,0.6763803430395323,0.5901517569204451,0.7070063506652713,D/2,0.5
sca3_entry_p_isi_weighted_median,32,0.8370168031158931,0.7732528897329746,0.8690466332889684,D/2,0.5
fisher_interior_peak_p_median,32,0.5166666666666666,0.2666666666666666,0.7041666666666666,D,1.0
entropy_peak_p_median,32,0.3,0.0999999999999999,0.7666666666666666,D,1.0
epr_peak_p_median,32,0.5333333333333334,0.2583333333333333,0.9,D,1.0
kl_balance_p_median,32,0.3075579261417727,0.2337770818813451,0.4768480782132692,D,1.0
epr_onset_p_median,32,0.2416666666666666,0.1666666666666666,0.3333333333333333,D,1.0
wt_exit_p_isi_weighted_median,32,0.3982858972674092,0.1051972091464735,0.4895885895252052,D,1.0
balance_p_isi_weighted_median,32,0.6763803430395323,0.5901517569204451,0.7070063506652713,D,1.0
sca3_entry_p_isi_weighted_median,32,0.8370168031158931,0.7732528897329746,0.8690466332889684,D,1.0
fisher_interior_peak_p_median,32,0.35,0.2333333333333333,0.5791666666666666,2D,2.0
entropy_peak_p_median,32,0.3000000000000001,0.1249999999999999,0.8083333333333333,2D,2.0
epr_peak_p_median,32,0.425,0.125,0.8333333333333334,2D,2.0
kl_balance_p_median,32,0.3213455725543978,0.2465709324420458,0.4259703479655077,2D,2.0
epr_onset_p_median,30,0.2666666666666666,0.1875,0.4333333333333333,2D,2.0
wt_exit_p_isi_weighted_median,32,0.3982858972674092,0.1051972091464735,0.4895885895252052,2D,2.0
balance_p_isi_weighted_median,32,0.6763803430395323,0.5901517569204451,0.7070063506652713,2D,2.0
sca3_entry_p_isi_weighted_median,32,0.8370168031158931,0.7732528897329746,0.8690466332889684,2D,2.0
