marker,noise_condition,n_pairs,median_shift_p,median_abs_shift_p,q90_abs_shift_p
fisher_interior_peak_p_median,half,31,0.0,0.0666666666666666,0.3666666666666667
fisher_interior_peak_p_median,double,32,0.0,0.0416666666666667,0.3600000000000001
entropy_peak_p_median,half,32,0.0,0.0,0.1299999999999999
entropy_peak_p_median,double,32,0.0,0.0,0.0666666666666666
kl_balance_p_median,half,32,0.0097044677342285,0.0267060184524078,0.1402424389779467
kl_balance_p_median,double,32,0.0027307205216006,0.0247315620506989,0.210565225311801
epr_onset_p_median,half,31,0.0,0.0333333333333334,0.1333333333333334
epr_onset_p_median,double,30,0.0166666666666666,0.0416666666666667,0.3066666666666667
epr_peak_p_median,half,32,0.0,0.0333333333333332,0.2233333333333336
epr_peak_p_median,double,32,0.0,0.0,0.2566666666666666
