biological_pair_key,path_family,both_core_secure,wt_exit_p_isi_weighted_median,balance_p_isi_weighted_median,sca3_entry_p_isi_weighted_median
WT_03__TO__SCA3_01,coupled,True,0.0056609300606963,0.4187767512737397,0.7586837301873209
WT_03__TO__SCA3_04,coupled,True,0.0014727631360095,0.6501014070438412,0.95
WT_03__TO__SCA3_06,coupled,True,0.0006805501641989,0.3934040442084981,0.7535806909536319
WT_03__TO__SCA3_09,coupled,True,0.0007687585961517,0.4331096114441799,0.8280560882994781
WT_04__TO__SCA3_01,coupled,True,0.4890637168357433,0.7015683614961412,0.8764991345644095
WT_04__TO__SCA3_04,coupled,True,0.1645217650964595,0.5531056006839034,0.6000000000000001
WT_04__TO__SCA3_06,coupled,True,0.4417226955689047,0.6786463925580624,0.8354598278102602
WT_04__TO__SCA3_09,coupled,True,0.1295532672657693,0.6872428658139085,0.7781092762481925
WT_08__TO__SCA3_01,coupled,True,0.6180309063423852,0.7795542992069673,0.9040503574487152
WT_08__TO__SCA3_04,coupled,True,0.5644534488732375,0.8481475013224421,0.7441052363141821
WT_08__TO__SCA3_06,coupled,True,0.4962425850351614,0.681034327812895,0.8194646116529762
WT_08__TO__SCA3_09,coupled,True,0.223863644401402,0.2742650106394408,0.4692212062840153
WT_09__TO__SCA3_01,coupled,True,0.3639537854806952,0.6402271073882175,0.8385737784215259
WT_09__TO__SCA3_04,coupled,True,0.3565827783661807,0.6951221497733518,0.8500000000000001
WT_09__TO__SCA3_06,coupled,True,0.4561251878743326,0.6958984619902797,0.8445368931453494
WT_09__TO__SCA3_09,coupled,True,0.19509343454612,0.602500475665959,0.8643617209479445
WT_10__TO__SCA3_01,coupled,True,0.4197493366135402,0.6741142935210022,0.8641745676300951
WT_10__TO__SCA3_04,coupled,True,0.0419461842932082,0.3176912565606329,0.3377152111136632
WT_10__TO__SCA3_06,coupled,True,0.5283251816592784,0.7598531309478366,0.8782437450738682
WT_10__TO__SCA3_09,coupled,True,0.0123093539030183,0.1283608672243519,0.3675772583115222
WT_13__TO__SCA3_01,coupled,True,0.5998888530645605,0.7739477232750757,0.9010372490136722
WT_13__TO__SCA3_04,coupled,True,0.4290515400284371,0.7826117528334974,0.8151255615288733
WT_13__TO__SCA3_06,coupled,True,0.4266001227775445,0.6467993769342012,0.8032198498453157
WT_13__TO__SCA3_09,coupled,True,0.126280884097562,0.2860452529623352,0.6435260045944206
WT_14__TO__SCA3_01,coupled,True,0.4161459336870183,0.6829519270980355,0.8665624661971546
WT_14__TO__SCA3_04,coupled,True,0.4911632075935909,0.6792810697600805,0.9532059009754626
WT_14__TO__SCA3_06,coupled,True,1.5049219915424344e-16,0.6377356054563533,0.7951889256870989
WT_14__TO__SCA3_09,coupled,True,2.1222902195043603e-16,0.6057930916504184,0.8429453379335815
WT_16__TO__SCA3_01,coupled,True,0.6011908733425031,0.7598974899669864,0.8944354250686014
WT_16__TO__SCA3_04,coupled,True,0.6481950717203495,0.8661037291468696,0.9741219773199284
WT_16__TO__SCA3_06,coupled,True,0.4859344111630038,0.7233203181726614,0.8652044255121847
WT_16__TO__SCA3_09,coupled,True,0.3804258608478003,0.6348309182300086,0.8287758943628104
