dt_ms,view,marker_variant,aggregation_order,endpoint_genotype,endpoint_cell,n_partner_pairs,kl_minus_firing_p
0.0125,xy,median_seed_isotonic,curve_first,SCA3,SCA3_01,8,0.10939364359241455
0.0125,xy,median_seed_isotonic,curve_first,SCA3,SCA3_04,8,-0.41924677280990186
0.0125,xy,median_seed_isotonic,curve_first,SCA3,SCA3_06,8,-0.2347503979762437
0.0125,xy,median_seed_isotonic,curve_first,SCA3,SCA3_09,8,-0.17547261807436737
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_03,4,-0.13182040826009234
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_04,4,-0.29974965012481697
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_08,4,-0.17099979697741996
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_09,4,0.021242135445068144
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_10,4,-0.15753386775096828
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_13,4,0.1354681009999845
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_14,4,-0.43551550212906387
0.0125,xy,median_seed_isotonic,curve_first,WT,WT_16,4,-0.3112798309614624
0.0125,xy,median_seed_isotonic,marker_first,SCA3,SCA3_01,8,0.11411689872281211
0.0125,xy,median_seed_isotonic,marker_first,SCA3,SCA3_04,8,-0.20451593917479724
0.0125,xy,median_seed_isotonic,marker_first,SCA3,SCA3_06,8,-0.21458705477792167
0.0125,xy,median_seed_isotonic,marker_first,SCA3,SCA3_09,8,-0.09468927213661552
0.0125,xy,median_seed_isotonic,marker_first,WT,WT_03,4,-0.07313463298615117
0.0125,xy,median_seed_isotonic,marker_first,WT,WT_04,4,-0.11820286654013987
0.0125,xy,median_seed_isotonic,marker_first,WT,WT_08,4,-0.09465243666452489
0.0125,xy,median_seed_isotonic,marker_first,WT,WT_09,4,-0.08822477786728933
0.0125,xy,median_seed_isotonic,marker_first,WT,WT_10,4,-0.017669089565105267
0.0125,xy,median_seed_isotonic,marker_first,WT,WT_13,4,0.17133556782416642
0.0125,xy,median_seed_isotonic,marker_first,WT,WT_14,4,-0.19602098728568187
