dt_ms,view,marker_variant,aggregation_order,n_pairs,median_pair_delta,q25_pair_delta,q75_pair_delta,fraction_pairs_negative,n_cells,median_cell_delta,q25_cell_delta,q75_cell_delta,fraction_cells_negative,n_animal_pairs,median_animal_pair_delta,fraction_animal_pairs_negative,leave_one_animal_out_all_negative
0.0125,xy,median_seed_isotonic,curve_first,32,-0.16105646288615522,-0.36810585304720594,0.04107347562900828,0.71875,12,-0.17323620752589367,-0.30263219533397834,-0.09355477233380222,0.75,8,-0.18379354181979907,1.0,True
0.0125,xy,median_seed_isotonic,marker_first,32,-0.08822477786728933,-0.22334640647877824,0.06275533186035454,0.65625,12,-0.0946708544005702,-0.19814472525796073,-0.05926824713088969,0.8333333333333334,8,-0.06750275442045757,1.0,True
0.0125,xy,q25_seed_isotonic,curve_first,32,-0.18615717598239445,-0.4178307352328512,-0.057922360134695455,0.75,12,-0.21646860929329678,-0.3138727822567168,-0.13016508382944791,0.9166666666666666,8,-0.20935196297659112,1.0,True
0.0125,xy,q25_seed_isotonic,marker_first,32,-0.1310318315886902,-0.29680576561494876,-0.031836689193628843,0.78125,12,-0.1369561256771517,-0.2538698674407985,-0.07253574941191215,0.9166666666666666,8,-0.12171826074026829,1.0,True
0.0125,xy,q75_seed_isotonic,curve_first,32,-0.1431461545710046,-0.31681928064804615,0.059192934738916514,0.65625,12,-0.1243625541627937,-0.22661450695324137,-0.049157394344538176,0.75,8,-0.158232189156154,1.0,True
0.0125,xy,q75_seed_isotonic,marker_first,32,-0.02637414489946635,-0.17195600412004597,0.13343623231172608,0.5625,12,-0.029525460001915527,-0.09860428854111158,0.036253724643997225,0.5,8,-0.007750181174584342,0.625,False
0.0125,xy,seed_median_curve_first,curve_first,32,-0.16105646288615522,-0.3954665720074842,-0.001705368093673519,0.75,12,-0.19232246253514632,-0.2999142088280878,-0.1318925751534763,0.8333333333333334,8,-0.20556655891403292,1.0,True
0.0125,xy,seed_median_curve_first,marker_first,32,-0.10170068999660345,-0.25851450485012284,0.04236636249148325,0.6875,12,-0.1194979248597587,-0.22153348716742585,-0.06385456367303133,0.8333333333333334,8,-0.12993179025128326,1.0,True
0.0125,xy,seed_median_curve_isotonic,curve_first,32,-0.15543697123807482,-0.362196934877527,0.038167225807586753,0.71875,12,-0.16422621321897063,-0.21440840771743022,-0.09459569525324711,0.75,8,-0.17027675610935417,1.0,True
0.0125,xy,seed_median_curve_isotonic,marker_first,32,-0.07522639539155157,-0.1985869361037687,0.06292529222121296,0.625,12,-0.09092432228414433,-0.1704446841597918,-0.02876367452817106,0.8333333333333334,8,-0.06479045566796275,1.0,True
0.0125,xy,seed_median_curve_persistent,curve_first,32,-0.1452362229550433,-0.2808860851876231,0.038167225807586753,0.71875,12,-0.14372207719737826,-0.21094001270427074,-0.07961871783788554,0.75,8,-0.15263442577948177,1.0,True
0.0125,xy,seed_median_curve_persistent,marker_first,32,-0.08895238434993136,-0.18681564708736018,0.06351472980572331,0.65625,12,-0.09408725014462017,-0.1395370574050547,-0.03462228004978345,0.8333333333333334,8,-0.06541933428737237,1.0,True
0.0125,xyz,median_seed_isotonic,curve_first,32,-0.1564483325214629,-0.3320458188584863,-0.013060936814309781,0.84375,12,-0.16880019298359356,-0.2547035956609941,-0.09744793882827428,0.9166666666666666,8,-0.1584059155554261,0.875,True
0.0125,xyz,median_seed_isotonic,marker_first,32,-0.1344657501010401,-0.3404824448268321,-0.033964720633606116,0.8125,12,-0.14687691848722012,-0.24439116083973816,-0.08723350169185373,0.9166666666666666,8,-0.13896648201567718,0.875,True
0.0125,xyz,q25_seed_isotonic,curve_first,32,-0.19751463994361182,-0.36075444747210317,-0.033419472524799015,0.84375,12,-0.22972297350947862,-0.3141029405045885,-0.1554040731402308,0.9166666666666666,8,-0.16657386355586784,0.875,True
