scenario_id,seed,dt_ms,retained_min,retained_median
0,20260818,0.05,1.0,1.0
0,21260821,0.05,1.0,1.0
0,22260823,0.05,1.0,1.0
0,23260837,0.05,1.0,1.0
0,24260855,0.05,1.0,1.0
0,20260818,0.025,1.0,1.0
0,21260821,0.025,1.0,1.0
0,22260823,0.025,1.0,1.0
0,23260837,0.025,1.0,1.0
0,24260855,0.025,1.0,1.0
0,20260818,0.0125,1.0,1.0
0,21260821,0.0125,1.0,1.0
0,22260823,0.0125,1.0,1.0
0,23260837,0.0125,1.0,1.0
0,24260855,0.0125,1.0,1.0
1,20260818,0.05,1.0,1.0
1,21260821,0.05,1.0,1.0
1,22260823,0.05,1.0,1.0
1,23260837,0.05,1.0,1.0
1,24260855,0.05,1.0,1.0
1,20260818,0.025,1.0,1.0
1,21260821,0.025,1.0,1.0
1,22260823,0.025,1.0,1.0
1,23260837,0.025,1.0,1.0
1,24260855,0.025,1.0,1.0
1,20260818,0.0125,1.0,1.0
1,21260821,0.0125,1.0,1.0
1,22260823,0.0125,1.0,1.0
1,23260837,0.0125,1.0,1.0
1,24260855,0.0125,1.0,1.0
9,20260818,0.05,1.0,1.0
9,21260821,0.05,1.0,1.0
9,22260823,0.05,1.0,1.0
9,23260837,0.05,1.0,1.0
9,24260855,0.05,1.0,1.0
9,20260818,0.025,1.0,1.0
9,21260821,0.025,1.0,1.0
9,22260823,0.025,1.0,1.0
9,23260837,0.025,1.0,1.0
9,24260855,0.025,1.0,1.0
9,20260818,0.0125,1.0,1.0
9,21260821,0.0125,1.0,1.0
9,22260823,0.0125,1.0,1.0
9,23260837,0.0125,1.0,1.0
9,24260855,0.0125,1.0,1.0
10,20260818,0.05,1.0,1.0
10,21260821,0.05,1.0,1.0
10,22260823,0.05,1.0,1.0
10,23260837,0.05,1.0,1.0
10,24260855,0.05,1.0,1.0
10,20260818,0.025,1.0,1.0
10,21260821,0.025,1.0,1.0
10,22260823,0.025,1.0,1.0
10,23260837,0.025,1.0,1.0
10,24260855,0.025,1.0,1.0
10,20260818,0.0125,1.0,1.0
10,21260821,0.0125,1.0,1.0
10,22260823,0.0125,1.0,1.0
10,23260837,0.0125,1.0,1.0
10,24260855,0.0125,1.0,1.0
11,20260818,0.05,1.0,1.0
11,21260821,0.05,1.0,1.0
11,22260823,0.05,1.0,1.0
11,23260837,0.05,1.0,1.0
11,24260855,0.05,1.0,1.0
11,20260818,0.025,1.0,1.0
11,21260821,0.025,1.0,1.0
11,22260823,0.025,1.0,1.0
11,23260837,0.025,1.0,1.0
11,24260855,0.025,1.0,1.0
11,20260818,0.0125,1.0,1.0
11,21260821,0.0125,1.0,1.0
11,22260823,0.0125,1.0,1.0
11,23260837,0.0125,1.0,1.0
11,24260855,0.0125,1.0,1.0
12,20260818,0.05,1.0,1.0
12,21260821,0.05,1.0,1.0
12,22260823,0.05,1.0,1.0
12,23260837,0.05,1.0,1.0
12,24260855,0.05,1.0,1.0
12,20260818,0.025,1.0,1.0
12,21260821,0.025,1.0,1.0
12,22260823,0.025,1.0,1.0
12,23260837,0.025,1.0,1.0
12,24260855,0.025,1.0,1.0
12,20260818,0.0125,1.0,1.0
12,21260821,0.0125,1.0,1.0
12,22260823,0.0125,1.0,1.0
12,23260837,0.0125,1.0,1.0
12,24260855,0.0125,1.0,1.0
13,20260818,0.05,1.0,1.0
13,21260821,0.05,1.0,1.0
13,22260823,0.05,1.0,1.0
13,23260837,0.05,1.0,1.0
13,24260855,0.05,1.0,1.0
13,20260818,0.025,1.0,1.0
13,21260821,0.025,1.0,1.0
13,22260823,0.025,1.0,1.0
13,23260837,0.025,1.0,1.0
13,24260855,0.025,1.0,1.0
13,20260818,0.0125,1.0,1.0
13,21260821,0.0125,1.0,1.0
13,22260823,0.0125,1.0,1.0
13,23260837,0.0125,1.0,1.0
13,24260855,0.0125,1.0,1.0
14,20260818,0.05,1.0,1.0
14,21260821,0.05,1.0,1.0
14,22260823,0.05,1.0,1.0
14,23260837,0.05,1.0,1.0
14,24260855,0.05,1.0,1.0
14,20260818,0.025,1.0,1.0
14,21260821,0.025,1.0,1.0
14,22260823,0.025,1.0,1.0
14,23260837,0.025,1.0,1.0
14,24260855,0.025,1.0,1.0
14,20260818,0.0125,1.0,1.0
14,21260821,0.0125,1.0,1.0
14,22260823,0.0125,1.0,1.0
14,23260837,0.0125,1.0,1.0
14,24260855,0.0125,1.0,1.0
22,20260818,0.05,1.0,1.0
22,21260821,0.05,1.0,1.0
22,22260823,0.05,1.0,1.0
22,23260837,0.05,1.0,1.0
22,24260855,0.05,1.0,1.0
22,20260818,0.025,1.0,1.0
22,21260821,0.025,1.0,1.0
22,22260823,0.025,1.0,1.0
22,23260837,0.025,1.0,1.0
22,24260855,0.025,1.0,1.0
22,20260818,0.0125,1.0,1.0
22,21260821,0.0125,1.0,1.0
22,22260823,0.0125,1.0,1.0
22,23260837,0.0125,1.0,1.0
22,24260855,0.0125,1.0,1.0
23,20260818,0.05,1.0,1.0
23,21260821,0.05,1.0,1.0
23,22260823,0.05,1.0,1.0
23,23260837,0.05,1.0,1.0
23,24260855,0.05,1.0,1.0
23,20260818,0.025,1.0,1.0
23,21260821,0.025,1.0,1.0
23,22260823,0.025,1.0,1.0
23,23260837,0.025,1.0,1.0
23,24260855,0.025,1.0,1.0
23,20260818,0.0125,1.0,1.0
23,21260821,0.0125,1.0,1.0
