dt_ms,view,marker_variant,aggregation_order,omitted_animal_id,n_animal_pairs,median_kl_minus_firing_p
0.0125,xy,median_seed_isotonic,curve_first,SCA3_DD20,4,-0.2012364017782573
0.0125,xy,median_seed_isotonic,curve_first,SCA3_DD24,4,-0.18379354181979907
0.0125,xy,median_seed_isotonic,curve_first,WT_150130,6,-0.21208036164854183
0.0125,xy,median_seed_isotonic,curve_first,WT_150305,6,-0.1580561533862584
0.0125,xy,median_seed_isotonic,curve_first,WT_DD09,6,-0.21208036164854183
0.0125,xy,median_seed_isotonic,curve_first,WT_DD10,6,-0.1580561533862584
0.0125,xy,median_seed_isotonic,marker_first,SCA3_DD20,4,-0.1496370721115436
0.0125,xy,median_seed_isotonic,marker_first,SCA3_DD24,4,-0.040415655844628154
0.0125,xy,median_seed_isotonic,marker_first,WT_150130,6,-0.08312856997177806
0.0125,xy,median_seed_isotonic,marker_first,WT_150305,6,-0.06750275442045757
0.0125,xy,median_seed_isotonic,marker_first,WT_DD09,6,-0.06750275442045757
0.0125,xy,median_seed_isotonic,marker_first,WT_DD10,6,-0.062290219468446234
0.0125,xy,q25_seed_isotonic,curve_first,SCA3_DD20,4,-0.2874772673945592
0.0125,xy,q25_seed_isotonic,curve_first,SCA3_DD24,4,-0.20282059701861238
0.0125,xy,q25_seed_isotonic,curve_first,WT_150130,6,-0.25493743807248576
0.0125,xy,q25_seed_isotonic,curve_first,WT_150305,6,-0.1897613364052984
0.0125,xy,q25_seed_isotonic,curve_first,WT_DD09,6,-0.25493743807248576
0.0125,xy,q25_seed_isotonic,curve_first,WT_DD10,6,-0.1897613364052984
0.0125,xy,q25_seed_isotonic,marker_first,SCA3_DD20,4,-0.18326175159743224
0.0125,xy,q25_seed_isotonic,marker_first,SCA3_DD24,4,-0.08182938352129605
0.0125,xy,q25_seed_isotonic,marker_first,WT_150130,6,-0.16602985558257038
0.0125,xy,q25_seed_isotonic,marker_first,WT_150305,6,-0.12171826074026829
0.0125,xy,q25_seed_isotonic,marker_first,WT_DD09,6,-0.13872367128839264
0.0125,xy,q25_seed_isotonic,marker_first,WT_DD10,6,-0.08975497957542453
0.0125,xy,q75_seed_isotonic,curve_first,SCA3_DD20,4,-0.14829937413782146
0.0125,xy,q75_seed_isotonic,curve_first,SCA3_DD24,4,-0.158232189156154
0.0125,xy,q75_seed_isotonic,curve_first,WT_150130,6,-0.18637070543535833
0.0125,xy,q75_seed_isotonic,curve_first,WT_150305,6,-0.13932586656488172
0.0125,xy,q75_seed_isotonic,curve_first,WT_DD09,6,-0.18637070543535833
0.0125,xy,q75_seed_isotonic,curve_first,WT_DD10,6,-0.13932586656488172
0.0125,xy,q75_seed_isotonic,marker_first,SCA3_DD20,4,-0.061776948331103185
0.0125,xy,q75_seed_isotonic,marker_first,SCA3_DD24,4,-0.007750181174584342
0.0125,xy,q75_seed_isotonic,marker_first,WT_150130,6,-0.024157449178907775
0.0125,xy,q75_seed_isotonic,marker_first,WT_150305,6,0.005308341607054137
0.0125,xy,q75_seed_isotonic,marker_first,WT_DD09,6,-0.020160832465406814
