biological_pair_key,dt_ms,view,marker_variant,aggregation_order,n_support_scenarios,kl_balance_p,kl_balance_p_q25,kl_balance_p_q75,firing_balance_p,kl_minus_firing_p
WT_03__TO__SCA3_01,0.0125,xy,median_seed_isotonic,marker_first,8,0.5528408301672075,0.4682910923788996,0.7015272778862938,0.4187767512737397,0.13406407889346783
WT_03__TO__SCA3_01,0.0125,xy,q25_seed_isotonic,marker_first,8,0.5141468169268646,0.43169505398422875,0.6784918370499975,0.4187767512737397,0.09537006565312489
WT_03__TO__SCA3_01,0.0125,xy,q75_seed_isotonic,marker_first,8,0.6764880469736727,0.48328599777043735,0.7673381649448286,0.4187767512737397,0.257711295699933
WT_03__TO__SCA3_01,0.0125,xy,seed_median_curve_first,marker_first,8,0.5431475135076747,0.45725757275437384,0.7014530049077945,0.4187767512737397,0.12437076223393495
WT_03__TO__SCA3_01,0.0125,xy,seed_median_curve_isotonic,marker_first,8,0.5431475135076747,0.4635085832021113,0.7014530049077945,0.4187767512737397,0.12437076223393495
WT_03__TO__SCA3_01,0.0125,xy,seed_median_curve_persistent,marker_first,8,0.560047557998008,0.4724445757391445,0.7014530049077945,0.4187767512737397,0.14127080672426828
WT_03__TO__SCA3_01,0.0125,xyz,median_seed_isotonic,marker_first,8,0.5428050553243216,0.4542787433737413,0.6029573515215296,0.4187767512737397,0.12402830405058185
WT_03__TO__SCA3_01,0.0125,xyz,q25_seed_isotonic,marker_first,8,0.536803325956636,0.4346076463246973,0.5965924065399109,0.4187767512737397,0.11802657468289635
WT_03__TO__SCA3_01,0.0125,xyz,q75_seed_isotonic,marker_first,8,0.6090511833700891,0.557703724507449,0.6618044474252454,0.4187767512737397,0.19027443209634942
WT_03__TO__SCA3_01,0.0125,xyz,seed_median_curve_first,marker_first,8,0.5046580260563709,0.4229529328963752,0.5686852934599376,0.4187767512737397,0.08588127478263119
WT_03__TO__SCA3_01,0.0125,xyz,seed_median_curve_isotonic,marker_first,8,0.5448479605885387,0.4705460044123435,0.6022186329517538,0.4187767512737397,0.12607120931479898
WT_03__TO__SCA3_01,0.0125,xyz,seed_median_curve_persistent,marker_first,8,0.5513865147481967,0.5046580260563709,0.6022186329517538,0.4187767512737397,0.13260976347445697
WT_03__TO__SCA3_01,0.0125,z,median_seed_isotonic,marker_first,8,0.5711881623273527,0.44702491943620215,0.654501813823702,0.4187767512737397,0.152411411053613
WT_03__TO__SCA3_01,0.0125,z,q25_seed_isotonic,marker_first,8,0.5525328135896965,0.43706059463781066,0.6540854982182434,0.4187767512737397,0.13375606231595683
WT_03__TO__SCA3_01,0.0125,z,q75_seed_isotonic,marker_first,8,0.6545672083587641,0.5210997086721061,0.6934190560484605,0.4187767512737397,0.23579045708502444
WT_03__TO__SCA3_01,0.0125,z,seed_median_curve_first,marker_first,8,0.5193928922833806,0.2493712599675984,0.6208324663044591,0.4187767512737397,0.10061614100964089
WT_03__TO__SCA3_01,0.0125,z,seed_median_curve_isotonic,marker_first,8,0.5718950344379423,0.36957976507390716,0.65523888106422,0.4187767512737397,0.15311828316420262
WT_03__TO__SCA3_01,0.0125,z,seed_median_curve_persistent,marker_first,8,0.5718950344379423,0.5152818639554145,0.65523888106422,0.4187767512737397,0.15311828316420262
WT_03__TO__SCA3_01,0.025,xy,median_seed_isotonic,marker_first,8,0.5305340567862651,0.4883624232221977,0.7092740278440793,0.4187767512737397,0.11175730551252538
WT_03__TO__SCA3_01,0.025,xy,q25_seed_isotonic,marker_first,8,0.5204358672039451,0.44998250400917333,0.6350964011508906,0.4187767512737397,0.10165911593020538
WT_03__TO__SCA3_01,0.025,xy,q75_seed_isotonic,marker_first,8,0.6770144380189994,0.5000233534394659,0.7738666720508607,0.4187767512737397,0.2582376867452597
WT_03__TO__SCA3_01,0.025,xy,seed_median_curve_first,marker_first,8,0.5356479423887051,0.4855095510037543,0.7070243952960948,0.4187767512737397,0.11687119111496536
WT_03__TO__SCA3_01,0.025,xy,seed_median_curve_isotonic,marker_first,8,0.5356479423887051,0.4855095510037543,0.7070243952960948,0.4187767512737397,0.11687119111496536
WT_03__TO__SCA3_01,0.025,xy,seed_median_curve_persistent,marker_first,8,0.5356479423887051,0.4855095510037543,0.7070243952960948,0.4187767512737397,0.11687119111496536
WT_03__TO__SCA3_01,0.025,xyz,median_seed_isotonic,marker_first,8,0.5449334535936721,0.46186585208088426,0.5904715240340885,0.4187767512737397,0.12615670231993237
WT_03__TO__SCA3_01,0.025,xyz,q25_seed_isotonic,marker_first,8,0.5401160040809918,0.43852792241098326,0.5869639820206165,0.4187767512737397,0.12133925280725211
WT_03__TO__SCA3_01,0.025,xyz,q75_seed_isotonic,marker_first,8,0.6079383981770903,0.5591559377621088,0.6795799517601906,0.4187767512737397,0.18916164690335058
WT_03__TO__SCA3_01,0.025,xyz,seed_median_curve_first,marker_first,8,0.5120506142191346,0.43224364225165146,0.563823355519937,0.4187767512737397,0.09327386294539486
WT_03__TO__SCA3_01,0.025,xyz,seed_median_curve_isotonic,marker_first,8,0.5530252729371598,0.5120506142191346,0.5910247991462823,0.4187767512737397,0.13424852166342005
