endpoint_group_id,endpoint,representative_scenario_id,scenario_id,biological_pair_key
WT_E000,WT,0,0,WT_03__TO__SCA3_01
WT_E000,WT,0,1,WT_03__TO__SCA3_01
WT_E000,WT,0,9,WT_03__TO__SCA3_04
WT_E000,WT,0,10,WT_03__TO__SCA3_04
WT_E000,WT,0,11,WT_03__TO__SCA3_04
WT_E000,WT,0,12,WT_03__TO__SCA3_04
WT_E000,WT,0,13,WT_03__TO__SCA3_04
WT_E000,WT,0,14,WT_03__TO__SCA3_04
WT_E000,WT,0,22,WT_03__TO__SCA3_06
WT_E000,WT,0,23,WT_03__TO__SCA3_09
WT_E000,WT,0,24,WT_03__TO__SCA3_09
WT_E000,WT,0,25,WT_03__TO__SCA3_09
SCA3_E000,SCA3,0,0,WT_03__TO__SCA3_01
SCA3_E000,SCA3,0,26,WT_03__TO__SCA3_01
SCA3_E000,SCA3,0,52,WT_03__TO__SCA3_01
SCA3_E000,SCA3,0,78,WT_03__TO__SCA3_01
SCA3_E000,SCA3,0,104,WT_04__TO__SCA3_01
SCA3_E000,SCA3,0,130,WT_04__TO__SCA3_01
SCA3_E000,SCA3,0,156,WT_04__TO__SCA3_01
SCA3_E000,SCA3,0,182,WT_04__TO__SCA3_01
SCA3_E000,SCA3,0,208,WT_04__TO__SCA3_01
SCA3_E000,SCA3,0,234,WT_04__TO__SCA3_01
SCA3_E000,SCA3,0,494,WT_08__TO__SCA3_01
SCA3_E000,SCA3,0,520,WT_09__TO__SCA3_01
SCA3_E000,SCA3,0,546,WT_09__TO__SCA3_01
SCA3_E000,SCA3,0,572,WT_09__TO__SCA3_01
SCA3_E000,SCA3,0,598,WT_09__TO__SCA3_01
SCA3_E000,SCA3,0,624,WT_09__TO__SCA3_01
SCA3_E000,SCA3,0,650,WT_09__TO__SCA3_01
SCA3_E000,SCA3,0,676,WT_10__TO__SCA3_01
SCA3_E000,SCA3,0,780,WT_13__TO__SCA3_01
SCA3_E000,SCA3,0,806,WT_14__TO__SCA3_01
SCA3_E000,SCA3,0,832,WT_14__TO__SCA3_01
SCA3_E000,SCA3,0,962,WT_16__TO__SCA3_01
SCA3_E001,SCA3,1,1,WT_03__TO__SCA3_01
SCA3_E001,SCA3,1,27,WT_03__TO__SCA3_01
SCA3_E001,SCA3,1,53,WT_03__TO__SCA3_01
SCA3_E001,SCA3,1,79,WT_03__TO__SCA3_01
SCA3_E001,SCA3,1,105,WT_04__TO__SCA3_01
SCA3_E001,SCA3,1,131,WT_04__TO__SCA3_01
SCA3_E001,SCA3,1,157,WT_04__TO__SCA3_01
SCA3_E001,SCA3,1,183,WT_04__TO__SCA3_01
SCA3_E001,SCA3,1,209,WT_04__TO__SCA3_01
SCA3_E001,SCA3,1,235,WT_04__TO__SCA3_01
SCA3_E001,SCA3,1,495,WT_08__TO__SCA3_01
SCA3_E001,SCA3,1,521,WT_09__TO__SCA3_01
SCA3_E001,SCA3,1,547,WT_09__TO__SCA3_01
SCA3_E001,SCA3,1,573,WT_09__TO__SCA3_01
SCA3_E001,SCA3,1,599,WT_09__TO__SCA3_01
SCA3_E001,SCA3,1,625,WT_09__TO__SCA3_01
SCA3_E001,SCA3,1,651,WT_09__TO__SCA3_01
SCA3_E001,SCA3,1,677,WT_10__TO__SCA3_01
SCA3_E001,SCA3,1,781,WT_13__TO__SCA3_01
SCA3_E001,SCA3,1,807,WT_14__TO__SCA3_01
SCA3_E001,SCA3,1,833,WT_14__TO__SCA3_01
SCA3_E001,SCA3,1,963,WT_16__TO__SCA3_01
SCA3_E002,SCA3,9,9,WT_03__TO__SCA3_04
SCA3_E002,SCA3,9,35,WT_03__TO__SCA3_04
SCA3_E002,SCA3,9,61,WT_03__TO__SCA3_04
SCA3_E002,SCA3,9,87,WT_03__TO__SCA3_04
SCA3_E002,SCA3,9,113,WT_04__TO__SCA3_04
SCA3_E002,SCA3,9,139,WT_04__TO__SCA3_04
SCA3_E002,SCA3,9,165,WT_04__TO__SCA3_04
SCA3_E002,SCA3,9,191,WT_04__TO__SCA3_04
SCA3_E002,SCA3,9,217,WT_04__TO__SCA3_04
SCA3_E002,SCA3,9,243,WT_04__TO__SCA3_04
SCA3_E002,SCA3,9,503,WT_08__TO__SCA3_04
SCA3_E002,SCA3,9,529,WT_09__TO__SCA3_04
SCA3_E002,SCA3,9,555,WT_09__TO__SCA3_04
SCA3_E002,SCA3,9,581,WT_09__TO__SCA3_04
SCA3_E002,SCA3,9,607,WT_09__TO__SCA3_04
SCA3_E002,SCA3,9,633,WT_09__TO__SCA3_04
SCA3_E002,SCA3,9,659,WT_09__TO__SCA3_04
SCA3_E002,SCA3,9,685,WT_10__TO__SCA3_04
SCA3_E002,SCA3,9,789,WT_13__TO__SCA3_04
SCA3_E002,SCA3,9,815,WT_14__TO__SCA3_04
SCA3_E002,SCA3,9,841,WT_14__TO__SCA3_04
SCA3_E002,SCA3,9,971,WT_16__TO__SCA3_04
SCA3_E003,SCA3,10,10,WT_03__TO__SCA3_04
SCA3_E003,SCA3,10,36,WT_03__TO__SCA3_04
SCA3_E003,SCA3,10,62,WT_03__TO__SCA3_04
SCA3_E003,SCA3,10,88,WT_03__TO__SCA3_04
SCA3_E003,SCA3,10,114,WT_04__TO__SCA3_04
SCA3_E003,SCA3,10,140,WT_04__TO__SCA3_04
SCA3_E003,SCA3,10,166,WT_04__TO__SCA3_04
SCA3_E003,SCA3,10,192,WT_04__TO__SCA3_04
SCA3_E003,SCA3,10,218,WT_04__TO__SCA3_04
SCA3_E003,SCA3,10,244,WT_04__TO__SCA3_04
SCA3_E003,SCA3,10,504,WT_08__TO__SCA3_04
SCA3_E003,SCA3,10,530,WT_09__TO__SCA3_04
SCA3_E003,SCA3,10,556,WT_09__TO__SCA3_04
SCA3_E003,SCA3,10,582,WT_09__TO__SCA3_04
SCA3_E003,SCA3,10,608,WT_09__TO__SCA3_04
SCA3_E003,SCA3,10,634,WT_09__TO__SCA3_04
SCA3_E003,SCA3,10,660,WT_09__TO__SCA3_04
SCA3_E003,SCA3,10,686,WT_10__TO__SCA3_04
SCA3_E003,SCA3,10,790,WT_13__TO__SCA3_04
SCA3_E003,SCA3,10,816,WT_14__TO__SCA3_04
SCA3_E003,SCA3,10,842,WT_14__TO__SCA3_04
SCA3_E003,SCA3,10,972,WT_16__TO__SCA3_04
SCA3_E004,SCA3,11,11,WT_03__TO__SCA3_04
SCA3_E004,SCA3,11,37,WT_03__TO__SCA3_04
SCA3_E004,SCA3,11,63,WT_03__TO__SCA3_04
SCA3_E004,SCA3,11,89,WT_03__TO__SCA3_04
SCA3_E004,SCA3,11,115,WT_04__TO__SCA3_04
SCA3_E004,SCA3,11,141,WT_04__TO__SCA3_04
SCA3_E004,SCA3,11,167,WT_04__TO__SCA3_04
SCA3_E004,SCA3,11,193,WT_04__TO__SCA3_04
SCA3_E004,SCA3,11,219,WT_04__TO__SCA3_04
SCA3_E004,SCA3,11,245,WT_04__TO__SCA3_04
SCA3_E004,SCA3,11,505,WT_08__TO__SCA3_04
SCA3_E004,SCA3,11,531,WT_09__TO__SCA3_04
SCA3_E004,SCA3,11,557,WT_09__TO__SCA3_04
SCA3_E004,SCA3,11,583,WT_09__TO__SCA3_04
SCA3_E004,SCA3,11,609,WT_09__TO__SCA3_04
SCA3_E004,SCA3,11,635,WT_09__TO__SCA3_04
SCA3_E004,SCA3,11,661,WT_09__TO__SCA3_04
SCA3_E004,SCA3,11,687,WT_10__TO__SCA3_04
SCA3_E004,SCA3,11,791,WT_13__TO__SCA3_04
SCA3_E004,SCA3,11,817,WT_14__TO__SCA3_04
SCA3_E004,SCA3,11,843,WT_14__TO__SCA3_04
SCA3_E004,SCA3,11,973,WT_16__TO__SCA3_04
SCA3_E005,SCA3,12,12,WT_03__TO__SCA3_04
SCA3_E005,SCA3,12,38,WT_03__TO__SCA3_04
SCA3_E005,SCA3,12,64,WT_03__TO__SCA3_04
SCA3_E005,SCA3,12,90,WT_03__TO__SCA3_04
SCA3_E005,SCA3,12,116,WT_04__TO__SCA3_04
SCA3_E005,SCA3,12,142,WT_04__TO__SCA3_04
SCA3_E005,SCA3,12,168,WT_04__TO__SCA3_04
SCA3_E005,SCA3,12,194,WT_04__TO__SCA3_04
SCA3_E005,SCA3,12,220,WT_04__TO__SCA3_04
SCA3_E005,SCA3,12,246,WT_04__TO__SCA3_04
SCA3_E005,SCA3,12,506,WT_08__TO__SCA3_04
SCA3_E005,SCA3,12,532,WT_09__TO__SCA3_04
SCA3_E005,SCA3,12,558,WT_09__TO__SCA3_04
SCA3_E005,SCA3,12,584,WT_09__TO__SCA3_04
SCA3_E005,SCA3,12,610,WT_09__TO__SCA3_04
SCA3_E005,SCA3,12,636,WT_09__TO__SCA3_04
SCA3_E005,SCA3,12,662,WT_09__TO__SCA3_04
SCA3_E005,SCA3,12,688,WT_10__TO__SCA3_04
SCA3_E005,SCA3,12,792,WT_13__TO__SCA3_04
SCA3_E005,SCA3,12,818,WT_14__TO__SCA3_04
SCA3_E005,SCA3,12,844,WT_14__TO__SCA3_04
SCA3_E005,SCA3,12,974,WT_16__TO__SCA3_04
SCA3_E006,SCA3,13,13,WT_03__TO__SCA3_04
SCA3_E006,SCA3,13,39,WT_03__TO__SCA3_04
SCA3_E006,SCA3,13,65,WT_03__TO__SCA3_04
SCA3_E006,SCA3,13,91,WT_03__TO__SCA3_04
SCA3_E006,SCA3,13,117,WT_04__TO__SCA3_04
SCA3_E006,SCA3,13,143,WT_04__TO__SCA3_04
