group,cell_id,animal_id,animal_id_status,experiment_day_code,capacitance_pF,b,r,s,kappa_I,identifiability,cell_loss,rheobase_J_best,rheobase_pA_best,n_rheobase_alternatives,rheobase_max_srd,rheobase_secure,exp_q75_firing_rate_hz,exp_q75_mean_isi_ms,exp_q75_median_isi_ms,exp_q75_spike_count,exp_q75_train_duration_ms,model_q75_firing_rate_hz,model_q75_mean_isi_ms,model_q75_median_isi_ms,model_q75_spike_count,model_q75_train_duration_ms,parameter_identifiable_x,firing_rate_hz_secure_q75,firing_rate_hz_alt_evaluated_q75,mean_isi_ms_secure_q75,mean_isi_ms_alt_evaluated_q75,exp_q50_firing_rate_hz,exp_q50_mean_isi_ms,exp_q50_median_isi_ms,exp_q50_spike_count,exp_q50_train_duration_ms,model_q50_firing_rate_hz,model_q50_mean_isi_ms,model_q50_median_isi_ms,model_q50_spike_count,model_q50_train_duration_ms,parameter_identifiable_y,firing_rate_hz_secure_q50,firing_rate_hz_alt_evaluated_q50,mean_isi_ms_secure_q50,mean_isi_ms_alt_evaluated_q50,model_exp_srd_q75_firing_rate_hz,model_exp_srd_q75_mean_isi_ms,model_exp_srd_q50_firing_rate_hz,model_exp_srd_q50_mean_isi_ms,core_q75_secure,extended_q50_supported,extended_q50_secure
SCA3,SCA3_01,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20.0,67.8961705246914,2.87957486763608,0.0367840866590933,0.666593864674466,0.072414473059144,NONIDENTIFIABLE,0.74060225127201,7.364185581249652,500.0,1,0.04800000000000013,True,37.47955558062151,23.721350931677016,23.650000000000063,38.0,854.45,38.46565240305796,22.95967975502382,23.98280582796553,39.0,847.6328098483689,False,True,True,True,True,28.571428571428573,26.303571428571427,26.400000000000038,29.0,736.5,29.55665024630542,25.719126515305625,27.071113592432997,30.0,745.8546689438631,False,True,True,True,True,0.025968638407004224,0.032633005974745576,0.03389830508474575,0.02246884288455439,True,True,True
SCA3,SCA3_02,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20.0,56.8348273566646,3.39580213794053,0.011865463263355,1.06199021527079,0.134917346653611,NONIDENTIFIABLE,0.619018284176733,0.9278531747632068,52.73437500000001,6,0.5205479452054794,False,49.25576996326034,19.857618811720343,20.17265624999995,31.67187499999969,619.7060546874934,67.31850798908881,14.937216242447343,15.81408882409574,42.35351562499963,635.8768756730914,False,False,True,False,True,37.78606695065589,26.227001953124983,26.705273437499944,31.32812500000009,790.3933593750019,43.05344108673368,23.75333417998796,25.79569082472941,35.96484375000013,812.3926674450415,False,False,True,False,True,0.30989234234351065,0.2828237329829583,0.1303168280945386,0.09898563973435028,False,True,False
SCA3,SCA3_04,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20.0,83.5015200617284,3.1841739616986,0.0685272827706698,1.64104809448976,0.226797255112739,NONIDENTIFIABLE,0.675603056335111,2.998635531603484,250.39062499999991,5,0.1802696948190209,True,51.34150066444606,18.557606026785702,18.52050781249998,7.496093749999989,121.42753906249976,46.69813086308048,21.144482766787423,23.618006224886813,6.748046874999995,122.4235799343056,False,True,True,True,True,32.22985227593881,31.01500618027387,30.960742187500035,32.519531249999964,971.50859375,29.263775017193318,34.48258730304293,34.9874763607291,29.527343749999947,969.3475801100626,False,False,True,False,True,0.09472434216690959,0.13031438992804215,0.09646779314567307,0.10588422988860831,True,True,False
SCA3,SCA3_05,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,20.0,113.337680555556,4.57048885142292,0.0267222541757113,1.35804074575354,0.185485356173587,NONIDENTIFIABLE,0.770805777668297,2.302301394566596,260.9375,6,0.0776978417266185,True,30.954476047137284,32.057164171006946,31.2232421875,18.3046875,552.584375,55.68202762634273,18.194461714537585,18.31254594523992,32.9140625,575.8299925350367,False,False,True,False,True,28.85285735817866,34.42278180803571,33.175000000000004,16.218749999999993,524.7656249999998,45.66558572816778,21.72511477500794,21.97198553462402,25.87499999999997,534.4865067127666,False,False,True,False,True,0.570834475786324,0.5517314997148035,0.4512367052679234,0.4522935962257363,False,True,False
SCA3,SCA3_06,SCA3_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,24.0,81.4248184615385,3.32112664756946,0.000172535267681,1.80693033257445,0.113660442709963,IDENTIFIABLE,0.717729344197976,5.238728290213989,426.5625,0,,True,30.73429802955661,30.86969147005448,30.42382812499998,31.19531249999996,924.7515625,29.749076354679765,31.86810380047486,31.17176336379174,30.19531249999996,922.8303720670586,True,True,False,True,False,,,,,,,,,,,True,True,False,True,False,0.03257826418936108,0.031828097436805425,,,True,False,False
SCA3,SCA3_09,SCA3_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,24.0,123.091348765432,3.56794792056019,0.0001570401851009,1.28766365576524,0.15770178132879,NONIDENTIFIABLE,0.859791933091499,2.2595007918063086,278.1250000000001,2,0.0742898761835398,True,29.895320197044374,28.14086174242421,28.198437500000104,30.34375000000004,820.1796875000003,30.280172413793142,27.98144502491703,27.981442609472037,30.734375000000043,824.9105969711868,False,True,True,True,True,20.597290640394128,37.56001674107135,37.82499999999996,20.90625000000004,738.1812500000001,19.61206896551728,38.47050782265016,38.47096831976735,19.90625000000004,717.8588365033165,False,True,True,False,False,0.012790995139421838,0.00568104651036721,0.04900459418070433,0.0239506720965926,True,True,False
WT,WT_03,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,,211.612592592593,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,NONIDENTIFIABLE,0.492359654723775,1.6558117865631434,350.390625,3,0.09655172413793098,True,96.09752719102654,10.254144340581988,10.198437500000104,97.01562499999991,983.296875,95.35732644394558,10.231883977551352,10.28746814261121,96.2675781249999,973.2243869949202,False,True,True,True,True,83.71942284916018,11.783769772376562,11.746484374999993,84.51953124999989,983.0996093750005,78.80077527913565,12.479893245658618,12.555364439074264,79.54296874999974,975.6264842001204,False,True,True,True,True,0.007732379023330786,0.0021732238855622435,0.06052967725453645,0.057379916030372395,True,True,True
WT,WT_04,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,,526.240037037037,3.07526787577599,0.0366751221750693,0.519708187871091,0.61900642338991,NONIDENTIFIABLE,0.695298965417483,0.3807969954705221,200.390625,5,0.19999999999999996,True,63.02042877095175,15.41826681619173,15.445703125000197,63.76757812499953,964.311914062499,63.51434927075274,15.301092657440917,15.530035281262904,64.26367187499963,965.8672905077392,False,True,True,True,True,44.88396388718965,21.544656608737284,21.36113281250008,45.53515624999991,950.7308593749998,47.84121971529232,20.347524114716496,20.743632363651106,48.53515624999991,959.988973990398,False,True,True,False,True,0.007806873453212914,0.007628685021989982,0.06378538630412614,0.0571530282428368,True,True,False
WT,WT_06,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,,393.401335185185,3.00268700778274,0.0397070714073017,0.320997650843926,0.43690513909511,NONIDENTIFIABLE,0.528053725941598,0.6344904113823149,249.609375,4,0.21874999999999983,False,106.84802103425562,9.241839663362422,9.300781249999952,107.99023437500004,988.7830078125,103.87975063958572,9.404592503205745,9.46207418269425,104.99023437500004,977.980889120967,False,True,True,True,True,85.52998307894,11.41281151107594,11.403124999999855,85.97656250000004,969.801171875,87.51959152728239,11.169553757922737,11.24940175274832,87.97656250000004,971.4703074832928,False,True,True,True,True,0.028171610899621793,0.017456727205446658,0.022994664423414767,0.021544045564363498,False,True,True
WT,WT_07,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,,353.772256790124,3.20511381810753,0.0011459239565885,3.67550749934334,0.31690076561024,NONIDENTIFIABLE,0.0089541269301869,1.2731089460957787,450.390625,3,0.047417442845046565,True,2.174798473115336,15.49648437499997,15.49648437499997,2.0,15.49648437499997,6.367832293092159,21.04568239656965,18.7373656549308,5.9921874999999325,105.12135106356703,False,False,True,False,True,20.8068652912798,,,1.0039062499999665,,20.8068652912798,,,1.0039062499999665,,False,True,True,False,False,0.9816727269925828,0.30371477730144036,0.0,,False,True,False
