biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_rate_weighted_median,A_isi_weighted_median,rheobase_J_weighted_median,support_rate_hz_weighted_median,mean_isi_ms_weighted_median,J_over_rheobase_weighted_median,orth_rate_weighted_median,orth_isi_weighted_median
WT_03__TO__SCA3_01,coupled,0.0,WT_03,SCA3_01,0.119372387034539,0.09964741225882608,1.73703332347371,98.62928178674366,9.407677302795504,1.6595238095238105,1.3172957835887484,1.3629411855339095
WT_03__TO__SCA3_01,coupled,0.025,WT_03,SCA3_01,0.11785845987462819,0.10020909100052207,1.760018460670833,98.93101670789326,9.480670997659729,1.6796765520444858,1.3488954024044317,1.399490303263914
WT_03__TO__SCA3_01,coupled,0.05,WT_03,SCA3_01,0.12320428768167258,0.10527029075783145,1.7874431732551403,100.24720147431896,9.670298079732508,1.6958748604877911,1.3851980713739076,1.4282715697348487
WT_03__TO__SCA3_01,coupled,0.07500000000000001,WT_03,SCA3_01,0.13559745020053,0.11896969302503195,1.8552584472626552,100.55577409241126,9.914089289593187,1.7056881442549174,1.3810937142810797,1.4293037942185278
WT_03__TO__SCA3_01,coupled,0.1,WT_03,SCA3_01,0.15419578299827777,0.13250895411538738,1.9292919803588526,98.82855015607625,10.014933090697877,1.72210964000293,1.342255626155514,1.3948160736276938
WT_03__TO__SCA3_01,coupled,0.125,WT_03,SCA3_01,0.1656397494017615,0.14950847029263642,2.002371174942482,96.06862055731845,10.01736698918771,1.7704590476928959,1.3302146980099567,1.3865647430610828
WT_03__TO__SCA3_01,coupled,0.15000000000000002,WT_03,SCA3_01,0.18366742366400401,0.16671688190489017,2.0407703863999584,92.26636004654365,10.036641601341149,1.7918911409122111,1.3169864705111058,1.3738625662409405
WT_03__TO__SCA3_01,coupled,0.17500000000000002,WT_03,SCA3_01,0.20196688153074277,0.1866318093003008,2.044834391060896,91.52553036911267,10.07085894881501,1.7910735679640513,1.3005831107329024,1.3551997373139437
WT_03__TO__SCA3_01,coupled,0.2,WT_03,SCA3_01,0.22247930229263416,0.2014653798838136,2.0338717119407868,89.74847699187863,10.219974981511351,1.8020858577105694,1.2828830439906462,1.3330287209319167
WT_03__TO__SCA3_01,coupled,0.225,WT_03,SCA3_01,0.23721859432910977,0.21525267043287954,2.0175133391912494,87.9602778095617,10.457834286126666,1.8283612526253614,1.2618885447135186,1.3059336995742468
WT_03__TO__SCA3_01,coupled,0.25,WT_03,SCA3_01,0.2554675677595691,0.23587926041368162,1.993167479747602,86.16082763135732,10.76715662605029,1.8674973980764544,1.2375319764295263,1.2739330648922766
WT_03__TO__SCA3_01,coupled,0.275,WT_03,SCA3_01,0.2799826562805459,0.26825507482162286,1.963760133032467,84.35001993860409,11.19763024266813,1.9129749267363834,1.2097402150460626,1.2375866660063681
WT_03__TO__SCA3_01,coupled,0.30000000000000004,WT_03,SCA3_01,0.2931082602280397,0.2851072382560945,1.937409089633607,82.52774686376505,11.691806827355299,1.973179362925293,1.1484847424205848,1.1993324600136281
WT_03__TO__SCA3_01,coupled,0.325,WT_03,SCA3_01,0.31442083657631326,0.3010621437070119,1.9244051242063047,80.69389916900829,12.354599165010622,2.047056465945462,1.112710168351371,1.1551651990927705
WT_03__TO__SCA3_01,coupled,0.35000000000000003,WT_03,SCA3_01,0.328314490441296,0.31892867436880673,1.9320785817227355,74.64312002574482,12.025148387417898,2.133317961969037,0.8814976109078733,1.1083734110936323
WT_03__TO__SCA3_01,coupled,0.375,WT_03,SCA3_01,0.34427007415179967,0.3132620449139929,1.9821508894617892,72.77234908223089,12.526753963909343,2.233469649640906,0.6558032495495104,1.0584005607759388
WT_03__TO__SCA3_01,coupled,0.4,WT_03,SCA3_01,0.3734908472565818,0.3324154249066809,2.0769392124053105,69.83152771965716,13.087226585168075,2.352520658319418,0.8075990416864595,1.004529242304114
WT_03__TO__SCA3_01,coupled,0.42500000000000004,WT_03,SCA3_01,0.39416103539918673,0.38211701113410734,2.1170843469018026,67.93324358459292,13.971712616414056,2.4142554629438835,0.895718188182137,0.9326321980679069
WT_03__TO__SCA3_01,coupled,0.45,WT_03,SCA3_01,0.41591629172524175,0.4054363125303109,2.0547199515478445,67.08758985140055,14.392856418492004,2.4586072578568783,0.8379082597556454,0.8869887833490754
WT_03__TO__SCA3_01,coupled,0.47500000000000003,WT_03,SCA3_01,0.43921992001643007,0.4298651967423697,1.9913884946655522,66.23646039733791,14.875674344644402,2.5701455998515623,0.7759571073865708,0.8228199242558525
WT_03__TO__SCA3_01,coupled,0.5,WT_03,SCA3_01,0.46360454052444183,0.4549888215363092,1.9406379980527328,65.37980186562285,15.459024709869006,2.6924159194616415,0.7649293569652688,0.7567431680802567
WT_03__TO__SCA3_01,coupled,0.525,WT_03,SCA3_01,0.48907028765605454,0.4808525871097798,1.9448877820928416,62.36697486385249,15.828549180129562,2.807318309535125,0.7751041500578593,0.7350787806451479
WT_03__TO__SCA3_01,coupled,0.55,WT_03,SCA3_01,0.5151607152975912,0.5070516600445478,2.0541355157447714,60.41325621330017,16.372292264480247,2.8648606909915437,0.7451807255258487,0.7060676633256219
WT_03__TO__SCA3_01,coupled,0.5750000000000001,WT_03,SCA3_01,0.5414247695744274,0.533190234209157,2.0623157326031496,59.52906768067612,16.95372196588985,2.7408700303868434,0.6672905013330485,0.6650354226852859
WT_03__TO__SCA3_01,coupled,0.6000000000000001,WT_03,SCA3_01,0.5683268486111506,0.5597682607052927,2.099270501340314,57.553151191975466,17.508818595598704,2.6162237469591347,0.6248054838643067,0.6011245662956969
WT_03__TO__SCA3_01,coupled,0.625,WT_03,SCA3_01,0.5958732715145676,0.5868347069888554,2.1786574926009896,55.564186921716754,17.930279934264355,2.4915791235932767,0.5501693000876303,0.5754690749306506
WT_03__TO__SCA3_01,coupled,0.65,WT_03,SCA3_01,0.62339049493477,0.6137828823899425,2.2913236933971333,53.56204520204925,18.298060296730178,2.397179667190155,0.5849287454992745,0.6118201567849001
WT_03__TO__SCA3_01,coupled,0.675,WT_03,SCA3_01,0.6511154559400282,0.6408942496779729,2.4461381574117866,50.44985858504286,18.65680323183015,2.4983009067199036,0.6188480597967916,0.6474901858371674
WT_03__TO__SCA3_01,coupled,0.7000000000000001,WT_03,SCA3_01,0.6792845469160922,0.6684593046986446,2.607962729385178,48.41730871504034,18.989759908828663,2.578868926828207,0.6895642674291782,0.7133806579448613
WT_03__TO__SCA3_01,coupled,0.7250000000000001,WT_03,SCA3_01,0.707454680562004,0.6961095806371872,2.81568142514882,47.47523263680727,19.30067087024246,2.427207037572308,0.6849907934312085,0.705198566744841
WT_03__TO__SCA3_01,coupled,0.75,WT_03,SCA3_01,0.735636920736716,0.7239332324179442,3.0806128073647745,45.41904952871407,19.601179457757233,2.2754353289658185,0.5927954436251889,0.5758654366467371
WT_03__TO__SCA3_01,coupled,0.775,WT_03,SCA3_01,0.7640692061635067,0.7522495223712735,3.3731702580552216,44.46052737447207,19.874747153019243,2.1267193225078485,0.4722388245887565,0.44169350072740854
WT_03__TO__SCA3_01,coupled,0.8,WT_03,SCA3_01,0.7927632659541095,0.7811820509228959,3.6931549697478987,42.3802560633543,20.134247794456844,1.9853588165532776,0.6946566374658666,0.4013342296002962
WT_03__TO__SCA3_01,coupled,0.8250000000000001,WT_03,SCA3_01,0.8215052929030833,0.8106582369949527,4.044175212437849,41.40492727705038,20.382331997478534,1.851687424179179,0.6822658138751481,0.34454811844974836
WT_03__TO__SCA3_01,coupled,0.8500000000000001,WT_03,SCA3_01,0.8503085014516802,0.8408751986366522,4.415101281536208,39.3001007339217,20.626643596881355,1.722994283624249,0.6741389328508973,0.3809000345300174
WT_03__TO__SCA3_01,coupled,0.875,WT_03,SCA3_01,0.8815001498640144,0.872309954484817,4.819714972144476,39.43428850445653,20.865341921629135,1.6042725592633018,0.5760854637755998,0.5943826963719966
WT_03__TO__SCA3_01,coupled,0.9,WT_03,SCA3_01,0.9164233119972087,0.9049950649663269,5.261075804575567,40.69994993102405,21.114404152631437,1.494694840974461,0.4897999342769342,0.5376549444372068
WT_03__TO__SCA3_01,coupled,0.925,WT_03,SCA3_01,0.9539726409459349,0.945432374781648,5.7295790861322935,41.974313831501895,21.39615585681797,1.395393343308705,0.6190913900341029,0.6276996921433384
WT_03__TO__SCA3_01,coupled,0.9500000000000001,WT_03,SCA3_01,1.0031622286302486,0.9836210555220685,6.180921288089822,42.11911578982707,21.74757943167671,1.3126265493179718,0.6568983197617595,0.7076030808799011
WT_03__TO__SCA3_01,coupled,0.9750000000000001,WT_03,SCA3_01,1.0386979103775509,1.021519428635754,6.5879542239316375,43.40721541770479,22.263017147429917,1.2275816566646756,0.7377826653626812,0.7488169489248879
WT_03__TO__SCA3_01,coupled,1.0,WT_03,SCA3_01,1.0741463773202882,1.0576191603448704,7.016460233732713,43.558000917010546,22.465229611951617,1.1504544054275023,0.7510512405999208,0.7784495473102871
WT_03__TO__SCA3_01,drive_early,0.0,WT_03,SCA3_01,0.119372387034539,0.09964741225882608,1.73703332347371,98.62928178674366,9.407677302795504,1.6595238095238105,1.3172957835887484,1.3629411855339095
WT_03__TO__SCA3_01,drive_early,0.025,WT_03,SCA3_01,0.1360836354397092,0.11351130770203141,1.8347133527536639,99.94051687838197,9.45688324283382,1.6643324298218427,1.3801576009453425,1.418629547846204
WT_03__TO__SCA3_01,drive_early,0.05,WT_03,SCA3_01,0.15933546251238348,0.14021096047713802,1.9347036846890218,100.24720147431896,9.697575833969113,1.6625981379530095,1.464685000637769,1.5037929207591538
WT_03__TO__SCA3_01,drive_early,0.07500000000000001,WT_03,SCA3_01,0.19658621488354233,0.17611035200295674,2.085120566921193,99.54005920258892,10.038429522628217,1.6569816548513172,1.4315868093164537,1.4684536270994253
WT_03__TO__SCA3_01,drive_early,0.1,WT_03,SCA3_01,0.22396149985282363,0.20642755289811102,2.2428443589973748,95.77199705846564,10.189758470924565,1.662038033771043,1.3405026152743358,1.398182145988962
WT_03__TO__SCA3_01,drive_early,0.125,WT_03,SCA3_01,0.2500079821513906,0.23293774846630272,2.407815533378044,91.98059415062406,10.488389972053453,1.6824748191426444,1.293167298946001,1.3466314442650285
WT_03__TO__SCA3_01,drive_early,0.15000000000000002,WT_03,SCA3_01,0.2734183583085815,0.2610734635551549,2.575146673355059,87.140451155069,10.917388415223428,1.707577661907749,1.2153169647395723,1.2578832471782018
WT_03__TO__SCA3_01,drive_early,0.17500000000000002,WT_03,SCA3_01,0.30445812489377666,0.2901942351698735,2.6888423607154515,82.27013965762937,11.499376779667656,1.6991834311409517,1.0823821658162092,1.1112127163990653
WT_03__TO__SCA3_01,drive_early,0.2,WT_03,SCA3_01,0.3417496158338204,0.3223867541283825,2.758129373780492,77.36937671713675,12.160968596048214,1.670589274673193,1.4538419803532872,1.0039774633323748
WT_03__TO__SCA3_01,drive_early,0.225,WT_03,SCA3_01,0.37062399434977533,0.3545111534525485,2.8100477898955596,74.50752943868757,12.874086518274959,1.6414060376591904,1.3221328387093032,0.9404001133214669
WT_03__TO__SCA3_01,drive_early,0.25,WT_03,SCA3_01,0.40772287359504916,0.38737922684186804,2.8434467874333977,70.58959372207588,13.931913290366335,1.610743585550678,1.1640760686860347,0.963463809299401
WT_03__TO__SCA3_01,drive_early,0.275,WT_03,SCA3_01,0.4366098745150614,0.4056306418787517,2.865973715460221,61.440137979970885,12.826772228679022,1.6158773453173907,0.8601063196837564,0.8981921691838781
WT_03__TO__SCA3_01,drive_early,0.30000000000000004,WT_03,SCA3_01,0.47429329804542075,0.4357699851304478,2.8858387701557504,55.36671625037401,13.247255578683475,1.6381991483296825,0.631065368850369,0.7252134395804768
WT_03__TO__SCA3_01,drive_early,0.325,WT_03,SCA3_01,0.5030890434470189,0.4663485196270291,2.917268678819533,50.30269039107011,13.29493584729978,1.671443870393404,0.40778954657428534,0.6168423632149855
WT_03__TO__SCA3_01,drive_early,0.35000000000000003,WT_03,SCA3_01,0.5413320121225411,0.47626887538705764,2.977915790396887,45.20639663531024,13.484797672283182,1.7167112656414043,0.684191510929382,0.6120992796016542
WT_03__TO__SCA3_01,drive_early,0.375,WT_03,SCA3_01,0.5802586410506866,0.4995317170746058,3.0958031259592653,41.132197307347894,13.62554022750769,1.7760048636800114,0.9768830883259881,0.827997539205108
WT_03__TO__SCA3_01,drive_early,0.4,WT_03,SCA3_01,0.5737679804298964,0.5279079778955342,3.276479282630746,42.32213801191343,15.645758538009252,1.8461929253256906,0.8144290622997967,0.4561454592736965
WT_03__TO__SCA3_01,drive_early,0.42500000000000004,WT_03,SCA3_01,0.6000798010628822,0.5565159048339147,3.430750201650527,43.51973417137984,16.503613844541576,1.910833083502969,1.0372005731349703,0.6321125662958342
WT_03__TO__SCA3_01,drive_early,0.45,WT_03,SCA3_01,0.6388236454226153,0.5848775947694425,3.348935743799343,42.595295143746384,17.142340157723783,1.9312418579661375,1.0554023591129815,0.763763082892806
WT_03__TO__SCA3_01,drive_early,0.47500000000000003,WT_03,SCA3_01,0.6667198397529672,0.6131423927541627,3.2601613754712355,40.59654024352969,17.468149663737393,2.003074137863564,1.018830699958407,0.8358482678454703
WT_03__TO__SCA3_01,drive_early,0.5,WT_03,SCA3_01,0.6949669816277415,0.6409000091029154,3.1823450932336286,37.513001070439344,17.776810122267015,2.0829729319289276,0.9197831528216183,0.8723686196161738
WT_03__TO__SCA3_01,drive_early,0.525,WT_03,SCA3_01,0.7234254748280364,0.6675682639404179,3.1190180406314094,33.33407277205909,18.069425842310523,2.166023635455479,0.8261614084743536,0.8503049355302151
WT_03__TO__SCA3_01,drive_early,0.55,WT_03,SCA3_01,0.7649203554961497,0.742945253214264,3.0941819621889763,30.206628106650086,19.609890477283585,2.2313602716170657,0.9073038890608711,0.573421834214776
WT_03__TO__SCA3_01,drive_early,0.5750000000000001,WT_03,SCA3_01,0.8074091183930241,0.7812457431378129,3.1537284781869133,28.14101381268326,20.18806398814778,2.2744574041763137,0.984655048667775,0.5095083587540423
WT_03__TO__SCA3_01,drive_early,0.6000000000000001,WT_03,SCA3_01,0.8394023460470295,0.8263142470775918,3.3132233675500893,29.319529852515807,21.26109018346597,2.255341588251776,0.8937602207172344,0.6515963923935107
WT_03__TO__SCA3_01,drive_early,0.625,WT_03,SCA3_01,0.8815486565556312,0.8693867655656452,3.3950891724219177,30.50582811388371,22.255870676062248,2.1494243552931156,0.7944484514104642,0.7848231607000308
WT_03__TO__SCA3_01,drive_early,0.65,WT_03,SCA3_01,0.9275184087656361,0.912377472395815,3.529272343219649,27.32757408267819,23.22439180404651,2.0501381306982434,0.7689995525201165,0.7384987049080726
WT_03__TO__SCA3_01,drive_early,0.675,WT_03,SCA3_01,0.9600102520444198,0.9543308019715261,3.7070388368760963,26.321665348718017,24.16005310352161,1.9570925235033068,0.7068518448766793,0.7356939146370939
WT_03__TO__SCA3_01,drive_early,0.7000000000000001,WT_03,SCA3_01,0.9732744347584923,0.9647571178933636,3.9265918937243045,26.409441117294733,23.968013183385256,1.8699133007686413,0.7334070096161189,0.7640620078281722
WT_03__TO__SCA3_01,drive_early,0.7250000000000001,WT_03,SCA3_01,1.060263140425001,0.9651942160552247,4.176842735542998,26.49780426240406,23.444591430735354,1.7977908318462803,0.7859612686364045,0.7661469963114415
WT_03__TO__SCA3_01,drive_early,0.75,WT_03,SCA3_01,1.0331230127126134,1.0266423417487882,4.442018540803305,25.478979003912773,24.984871870703294,1.820325130274805,0.821442877921825,0.8498784440988489
WT_03__TO__SCA3_01,drive_early,0.775,WT_03,SCA3_01,1.1026946481875204,1.0594829809763548,4.726521670834765,25.564803240321442,25.612157159584616,1.719924833376665,0.8336234575313556,0.8441936187131188
WT_03__TO__SCA3_01,drive_early,0.8,WT_03,SCA3_01,1.1178068495751525,1.0791338262572583,5.019774468942763,25.65120761729339,25.777373393111663,1.6281491047353014,0.8164109858744459,0.8255655536663081
WT_03__TO__SCA3_01,drive_early,0.8250000000000001,WT_03,SCA3_01,1.1325911288659982,1.1250121534474864,5.321186815237205,27.97630221422323,27.059553619197573,1.54279900246648,0.689385789855628,0.7265538404774046
WT_03__TO__SCA3_01,drive_early,0.8500000000000001,WT_03,SCA3_01,1.1499635828892711,1.141359734463701,5.624847787194,29.19436054519898,27.19805815535176,1.4647552536130621,0.6341702501566977,0.6211032139920477
WT_03__TO__SCA3_01,drive_early,0.875,WT_03,SCA3_01,1.140372732136362,1.13223147325832,5.93187811159758,31.547430803565224,26.339635719433108,1.4093592497259215,0.5415521118033326,0.5743246514163958
WT_03__TO__SCA3_01,drive_early,0.9,WT_03,SCA3_01,1.133514486973504,1.1247827618745483,6.1781366164659905,33.916624942520045,25.644342582398252,1.3486697889379378,0.5857086710334201,0.6326706046166559
WT_03__TO__SCA3_01,drive_early,0.925,WT_03,SCA3_01,1.1698356188903973,1.1146791133319651,6.399779181408382,36.302109259677316,24.956807265544676,1.2904337747462251,0.8166909586999167,0.6854358271333061
