biological_pair_key,path_family,wt_cell_id,sca_cell_id,both_core_secure,n_support_scenarios,wt_exit_p_rate_weighted_median,wt_exit_p_rate_weighted_q25,wt_exit_p_rate_weighted_q75,wt_exit_p_rate_support_fraction,wt_exit_p_isi_weighted_median,wt_exit_p_isi_weighted_q25,wt_exit_p_isi_weighted_q75,wt_exit_p_isi_support_fraction,balance_p_rate_weighted_median,balance_p_rate_weighted_q25,balance_p_rate_weighted_q75,balance_p_rate_support_fraction,balance_p_isi_weighted_median,balance_p_isi_weighted_q25,balance_p_isi_weighted_q75,balance_p_isi_support_fraction,sca3_entry_p_rate_weighted_median,sca3_entry_p_rate_weighted_q25,sca3_entry_p_rate_weighted_q75,sca3_entry_p_rate_support_fraction,sca3_entry_p_isi_weighted_median,sca3_entry_p_isi_weighted_q25,sca3_entry_p_isi_weighted_q75,sca3_entry_p_isi_support_fraction,wt_exit_consensus_p_weighted_median,wt_exit_consensus_p_weighted_q25,wt_exit_consensus_p_weighted_q75,wt_exit_consensus_p_support_fraction,balance_consensus_p_weighted_median,balance_consensus_p_weighted_q25,balance_consensus_p_weighted_q75,balance_consensus_p_support_fraction,sca3_entry_consensus_p_weighted_median,sca3_entry_consensus_p_weighted_q25,sca3_entry_consensus_p_weighted_q75,sca3_entry_consensus_p_support_fraction,silent_fraction_weighted,projection_gap_balance_weighted_median
WT_03__TO__SCA3_01,coupled,WT_03,SCA3_01,True,8,0.0,0.0,0.11980095978277604,1.0,0.005660930060695563,0.0,0.11860791986241845,1.0,0.3995799430760284,0.37864923903182857,0.5749180281453767,1.0,0.41877675127373976,0.4006414426150113,0.590846389571292,1.0,0.7342961330819038,0.5904572036403225,0.8223904170588383,1.0,0.7586837301873212,0.6106680974027681,0.8375049966915111,1.0,0.0028304650303477815,0.0,0.11920443982259724,1.0,0.40226388673421676,0.3932153608489244,0.5828822088583343,1.0,0.7464899316346125,0.6005626505215453,0.8310112539030491,1.0,0.0,0.007798164512831995
WT_03__TO__SCA3_01,drive_early,WT_03,SCA3_01,True,8,0.0,0.0,0.049881406426989364,1.0,0.0018668143749742815,0.0,0.05511722207668926,1.0,0.2766351250315387,0.14395336919881882,0.3696116522087899,1.0,0.2849440860274784,0.14874352534486351,0.3754125657432011,1.0,0.3820829568076266,0.17757061444185246,0.581849783913562,1.0,0.5546808146852283,0.39164582779097434,0.6569608351797743,1.0,0.0009334071874871408,0.0,0.05249931425183931,1.0,0.28078960552950855,0.14634844727184115,0.3725121089759955,1.0,0.5434245538625233,0.36938159787945773,0.6183085677406619,0.75,0.06402439024390244,0.005800913534411201
WT_03__TO__SCA3_01,drive_late,WT_03,SCA3_01,True,8,0.38513670651007126,0.28371688422102365,0.5818849901213167,1.0,0.3916511499159924,0.28463404765710115,0.5823498766398054,1.0,0.7357964990113615,0.6347353874510849,0.7741517955203506,1.0,0.7445147886729129,0.6406008268658022,0.7868430287102365,1.0,0.8779434528770077,0.7803018961179671,0.9146429797885434,1.0,0.892521192817127,0.7941729111313335,0.9240215972581908,1.0,0.38839392821303187,0.2841754659390624,0.582117433380561,1.0,0.7401556438421372,0.6376681071584436,0.7804974121152936,1.0,0.8852323228470673,0.7872374036246503,0.9203659750535144,1.0,0.0,0.005627488429873151
WT_03__TO__SCA3_02,coupled,WT_03,SCA3_02,False,28,0.0410900257624108,0.0,0.816338275139551,1.0,0.041424965243427425,0.0,0.812628689345786,1.0,0.2258455852837936,0.07834507955157555,0.41286415222696327,0.5,0.3615624496713857,0.12961596195811248,0.6696420177721641,0.5,0.14213825179235567,0.042893217316196046,0.31231039890804413,0.32142857142857145,0.04627747667941287,0.039582174202867665,0.27317320365856035,0.17857142857142858,0.041257495502919114,0.0,0.8144834822426685,1.0,0.30561157984816767,0.03040759614614496,0.5025707207139332,0.39285714285714285,0.04575734335920942,0.03927861620134973,0.27009157903327113,0.17857142857142858,0.0,0.005638102895472508
WT_03__TO__SCA3_02,drive_early,WT_03,SCA3_02,False,28,0.01669055185703806,0.0,0.15280103854613253,1.0,0.017662880294194806,0.0,0.15688335992978522,1.0,0.17009325240650253,0.07009156883968518,0.3367673762548626,0.5357142857142857,0.17429577708132027,0.07622684584142106,0.3922104974134559,0.5357142857142857,0.18094586248642558,0.08154602417382444,0.38323104042850126,0.42857142857142855,0.16926050390562852,0.06865750525085172,0.4075454750100766,0.25,0.01717671607561643,0.0,0.1548421992379589,1.0,0.1463723127409407,0.060524445090893816,0.23323775373005978,0.4642857142857143,0.06928310350581247,0.06250795091874814,0.1001842583807907,0.14285714285714285,0.01916376306620209,0.006216743915063952
WT_03__TO__SCA3_02,drive_late,WT_03,SCA3_02,False,28,0.13872555312799442,0.0,0.7922447981407492,1.0,0.4485580938695778,5.2690268089563514e-05,0.8873161388372202,1.0,0.06385707036961318,0.022598948328920565,0.6779644960806632,0.39285714285714285,0.6865099192159831,0.023379172566131333,0.7442855072688481,0.39285714285714285,0.03298220868209819,0.030071855924402653,0.055540369954555135,0.21428571428571427,0.3292777653686346,0.03355553073726914,0.625,0.10714285714285714,0.003403009654011256,2.138308681657161e-05,0.8374541009957348,0.75,0.602086442621787,0.020314495386901794,0.7013625548871274,0.2857142857142857,0.033268869709683666,0.033268869709683666,0.033268869709683666,0.03571428571428571,0.03571428571428571,0.0037927873127240894
WT_03__TO__SCA3_04,coupled,WT_03,SCA3_04,True,24,0.0,0.0,0.5047203273754579,1.0,0.0014727631360093698,0.0,0.49393792536408093,1.0,0.6187609993270843,0.14221989851931655,0.781200735807613,1.0,0.6501014070438413,0.22935936029064496,0.8102745766352895,1.0,0.4611922457761841,0.11658124462299466,0.9779947450138566,0.7083333333333334,0.9500000000000001,0.33653786216127,0.9699599307765453,0.6249999999999999,0.0007363815680046849,0.0,0.4993291263697694,1.0,0.6447387757031651,0.22696754311076894,0.793842289019217,0.9166666666666666,0.9583295545628158,0.176895245578355,0.9770467188034849,0.49999999999999994,0.021341463414634148,0.00709195809542018
WT_03__TO__SCA3_04,drive_early,WT_03,SCA3_04,True,24,0.0,0.0,0.45026207867254636,1.0,0.00352952808828373,0.0,0.44653350016792803,1.0,0.24163338678141083,0.10065317707220747,0.7369872022242884,1.0,0.4345178801724434,0.13479119880374169,0.7686722825176648,1.0,0.2554613915373619,0.08775328364671467,0.8346524359625245,0.75,0.7,0.22874651077866864,0.9668817435810627,0.6666666666666667,0.001764764044141865,0.0,0.4483977894202372,1.0,0.4275638933734949,0.12380854968058094,0.7514561056998872,0.9166666666666666,0.6174101869443136,0.16965536069492387,0.9615597746877221,0.49999999999999994,0.032520325203252036,0.003644527090266303
WT_03__TO__SCA3_04,drive_late,WT_03,SCA3_04,True,24,0.16598728550787478,0.0,0.5248654390214254,1.0,0.260356148282696,9.149518434035342e-05,0.5402607598593546,1.0,0.7610712942449427,0.22926361090591302,0.8370737761870222,1.0,0.8069384610026711,0.47961293209221934,0.8446616881314055,1.0,0.7282969199007342,0.13476807760238685,0.9902935274233313,0.7083333333333334,0.9563236770133944,0.49321391908430573,0.9935823618215458,0.6249999999999999,0.2567405988460072,3.5189440045517445e-05,0.5257837028546353,0.9166666666666666,0.8031178223853734,0.43281136599375164,0.8418918163836571,0.9166666666666666,0.9708752541965749,0.3659785329122498,0.996186246243765,0.5833333333333333,0.0233739837398374,0.0066636778858194514
WT_03__TO__SCA3_05,coupled,WT_03,SCA3_05,False,28,0.0,0.0,0.3932031265134567,1.0,0.0011256062509060114,0.0,0.4458702045514257,1.0,0.5849164150745276,0.18647622444197753,0.8481876664687957,1.0,0.6128824871508491,0.20798491539194158,0.8684572928769378,1.0,0.30560793837757,0.2041942241052718,0.7825672671055395,0.6428571428571429,0.30644746671976936,0.14287935608806898,0.7775453409649602,0.2857142857142857,0.0005628031254530057,0.0,0.4195366655324412,1.0,0.606575625780396,0.19666828082782176,0.8562004820634606,0.9285714285714286,0.3019276532295997,0.12746171209767898,0.44230046710187554,0.25,0.020905923344947733,0.00426211501435747
