path_family,subset,metric,n_biological_pairs_total,n_pairs_with_marker,median,q25,q75
coupled,all_pairs,wt_exit_p_rate,72,72,0.3160207230847213,0.030496194421646545,0.4522368471996929
coupled,all_pairs,wt_exit_p_isi,72,72,0.31086432830793587,0.004613888329524015,0.4685626582458561
coupled,all_pairs,balance_p_rate,72,72,0.5752819291751986,0.3446780595872117,0.695397629262269
coupled,all_pairs,balance_p_isi,72,72,0.6359328006752079,0.39296403849749656,0.7075013937056028
coupled,all_pairs,sca3_entry_p_rate,72,69,0.6338247915503168,0.3415000420485537,0.8258463693769129
coupled,all_pairs,sca3_entry_p_isi,72,69,0.753580690953632,0.3639278560222598,0.8542529199263681
coupled,all_pairs,wt_exit_consensus_p,72,72,0.3134425256963286,0.020495670018229894,0.48632004343493085
coupled,all_pairs,balance_consensus_p,72,72,0.6033600539037636,0.3882375267213845,0.6990267180779969
coupled,all_pairs,sca3_entry_consensus_p,72,69,0.7384572809010292,0.3019276532295997,0.839974236374017
coupled,core_secure_pairs,wt_exit_p_rate,32,32,0.39050669294641605,0.1262494901887533,0.4893675871996928
coupled,core_secure_pairs,wt_exit_p_isi,32,32,0.3982858972674094,0.10519720914647361,0.48958858952520523
coupled,core_secure_pairs,balance_p_rate,32,32,0.6363322051206859,0.4825981302777973,0.7091093630889074
coupled,core_secure_pairs,balance_p_isi,32,32,0.6763803430395323,0.5901517569204451,0.7070063506652713
coupled,core_secure_pairs,sca3_entry_p_rate,32,32,0.8156145624790054,0.7257220998114279,0.8528859901311292
coupled,core_secure_pairs,sca3_entry_p_isi,32,32,0.8370168031158931,0.7732528897329751,0.8690466332889683
coupled,core_secure_pairs,wt_exit_consensus_p,32,32,0.39418422307038187,0.09059727292899716,0.49748059254891774
coupled,core_secure_pairs,balance_consensus_p,32,32,0.6442032478117008,0.5085963099463331,0.7037301996909964
coupled,core_secure_pairs,sca3_entry_consensus_p,32,32,0.8276153449134072,0.770310705620166,0.8706599891546623
drive_early,all_pairs,wt_exit_p_rate,72,72,0.2049120862203986,0.045625271598669456,0.3509034878021104
drive_early,all_pairs,wt_exit_p_isi,72,72,0.20486035382399964,0.04199983474518294,0.35572086587826723
drive_early,all_pairs,balance_p_rate,72,72,0.4056118027743012,0.2954615340756451,0.5969881281736901
drive_early,all_pairs,balance_p_isi,72,72,0.4921721901598236,0.34834748289813466,0.6294418792220289
drive_early,all_pairs,sca3_entry_p_rate,72,69,0.5718112294792711,0.35482645509686594,0.7321677025412874
drive_early,all_pairs,sca3_entry_p_isi,72,69,0.6438158613225511,0.40001433939292635,0.7492092890146164
drive_early,all_pairs,wt_exit_consensus_p,72,72,0.20442173466071473,0.0438125531719262,0.349647248048593
drive_early,all_pairs,balance_consensus_p,72,72,0.4625548982571361,0.33278250234888807,0.6090861652828563
drive_early,all_pairs,sca3_entry_consensus_p,72,69,0.5925218205221106,0.3371787972463514,0.746630802855056
drive_early,core_secure_pairs,wt_exit_p_rate,32,32,0.23333917962817052,0.15400569402219216,0.3509034878021104
drive_early,core_secure_pairs,wt_exit_p_isi,32,32,0.2335437861278234,0.14849092595686308,0.35572086587826723
drive_early,core_secure_pairs,balance_p_rate,32,32,0.4689959073677925,0.3441971194812487,0.5852839358808253
drive_early,core_secure_pairs,balance_p_isi,32,32,0.5225688807708304,0.40339964623156777,0.5987291825353644
drive_early,core_secure_pairs,sca3_entry_p_rate,32,32,0.6996427928123208,0.4960113991307274,0.7807998178035701
drive_early,core_secure_pairs,sca3_entry_p_isi,32,32,0.716867270516101,0.6168049354000142,0.8298068291386842
drive_early,core_secure_pairs,wt_exit_consensus_p,32,32,0.23344148287799696,0.1441176335784647,0.349647248048593
drive_early,core_secure_pairs,balance_consensus_p,32,32,0.5180919420245081,0.39010754762290556,0.5981615807495703
drive_early,core_secure_pairs,sca3_entry_consensus_p,32,32,0.7111252980024914,0.5960109326277367,0.823026607237211
drive_late,all_pairs,wt_exit_p_rate,72,72,0.3584596697734652,0.06527925727301412,0.6099280535775693
drive_late,all_pairs,wt_exit_p_isi,72,72,0.3858863701988334,0.026556365517353797,0.6257527017924874
drive_late,all_pairs,balance_p_rate,72,72,0.5735910810092796,0.11729250460240231,0.801505652660069
drive_late,all_pairs,balance_p_isi,72,72,0.7319411758632169,0.49494240103698683,0.8286927884735322
drive_late,all_pairs,sca3_entry_p_rate,72,71,0.5183075683779385,0.14246397235425426,0.8761841056604018
drive_late,all_pairs,sca3_entry_p_isi,72,70,0.7254679366911501,0.42057846308182184,0.9156006224663198
drive_late,all_pairs,wt_exit_consensus_p,72,72,0.3414212414697794,0.02677178075826466,0.6545457704885245
drive_late,all_pairs,balance_consensus_p,72,72,0.7577093454667752,0.5239402323924436,0.8384611888974101
drive_late,all_pairs,sca3_entry_consensus_p,72,68,0.8440998510876493,0.24607261539411784,0.9259305333842336
drive_late,core_secure_pairs,wt_exit_p_rate,32,32,0.3844521273680735,0.09884442369740024,0.6558538908773479
drive_late,core_secure_pairs,wt_exit_p_isi,32,32,0.4009454981294332,0.08124486602912477,0.6555088061554976
drive_late,core_secure_pairs,balance_p_rate,32,32,0.7552998105266243,0.5304386780226826,0.8248183164794742
drive_late,core_secure_pairs,balance_p_isi,32,32,0.7932635818327602,0.7098244011880814,0.8300397237118109
drive_late,core_secure_pairs,sca3_entry_p_rate,32,32,0.846661969067116,0.4896688874872382,0.9204871152626986
drive_late,core_secure_pairs,sca3_entry_p_isi,32,32,0.8782712431917612,0.7429357971578202,0.930381214981563
drive_late,core_secure_pairs,wt_exit_consensus_p,32,32,0.3791443708280285,0.17471109071675728,0.6568788698318024
drive_late,core_secure_pairs,balance_consensus_p,32,32,0.789831324147758,0.701169922874608,0.8298819146956551
drive_late,core_secure_pairs,sca3_entry_consensus_p,32,32,0.9184364505995449,0.8549297078684371,0.927926745490183
