group,cell_id,core_q75_secure,rheobase_J_best,exp_firing_rate_q75_hz,exp_active_rate_q75_hz,exp_mean_isi_q75_ms,exp_train_duration_q75_ms,exp_spike_count_q75,model_active_rate_q75_hz,model_mean_isi_q75_ms,model_firing_rate_q75_hz,protocol_rheobase_J,log10_x,log10_y,z0,z1,A
SCA3,SCA3_01,True,7.364185581249652,37.47955558062151,42.661643296601966,23.721350931677016,854.45,38.0,44.19297439719659,22.95967975502382,38.46565240305796,7.364185581249652,0.8671247244133349,1.6300375801546914,3.0623749474992605,-2.9566168529980685,1.0591618809283105
SCA3,SCA3_04,True,2.998635531603484,51.34150066444606,54.05645278919022,18.557606026785702,121.42753906249976,7.496093749999989,47.79180335016275,21.144482766787423,46.69813086308048,2.998635531603484,0.47692368275435926,1.7328475436818884,1.8397825285762461,-1.7906358030892626,0.6832817402871161
SCA3,SCA3_06,True,5.238728290213989,30.73429802955661,32.63410282217745,30.86969147005448,924.7515625,31.19531249999996,31.609133783233617,31.86810380047486,29.749076354679765,5.238728290213989,0.7192258740881801,1.5136716775580086,2.5989727679300034,-4.276337555431481,1.24437506513515
SCA3,SCA3_09,True,2.2595007918063086,29.895320197044374,35.7043875538767,28.14086174242421,820.1796875000003,30.34375000000004,35.94322112969503,27.98144502491703,30.280172413793142,2.2595007918063086,0.3540124978588782,1.552721587914834,1.4546726318543612,-3.833467488031338,1.013181313649423
WT,WT_03,True,1.6558117865631434,96.09752719102654,97.6491747388552,10.254144340581988,983.296875,97.01562499999991,97.88613930579908,10.231883977551352,95.35732644394558,1.6558117865631434,0.2190109697058054,1.9896685772923237,1.031680821885747,1.1220046466716673,0.03641343600495639
WT,WT_04,True,0.3807969954705221,63.02042877095175,65.0607836609911,15.41826681619173,964.311914062499,63.76757812499953,65.48730795358982,15.301092657440917,63.51434927075274,0.3807969954705221,-0.4193064869044768,1.8133192900800863,-0.968319178114253,-0.8779953533283328,0.14832934705420875
WT,WT_08,True,0.4738492234861163,78.93373624400914,126.41316385488024,7.926688326322122,84.50996093750028,11.548828125000028,112.54708908994245,8.890497594066147,71.81561471722117,0.4738492234861163,-0.3243598267326828,2.101792300938925,-0.6708287705167599,2.393614250759941,-0.4215277445857773
WT,WT_09,True,0.674460655746496,79.15236101761882,83.01436841673429,12.145059760089834,884.4409179687509,73.08593750000004,84.05818954325693,11.947495223109131,80.21640808908398,0.674460655746496,-0.17104337955851331,1.919153268087387,-0.1904519749694773,0.3222814346342854,0.02622990205270876
WT,WT_10,True,0.6489912667881883,74.10398877729645,77.00654626148032,13.048469328703726,960.02890625,74.93164062499986,75.61863130562878,13.319891588999186,73.19122834019936,0.6489912667881883,-0.1877611472847124,1.8865276457490252,-0.24283270669809726,-0.04772995417384436,0.0882428824624074
WT,WT_13,True,0.6139190612350652,59.22086657761133,80.05098766747369,12.492074364437649,487.9343749999997,40.05859374999997,102.6292188301199,9.743956204579296,75.56991407982252,0.6139190612350652,-0.21188888224001004,1.9033666946049457,-0.31843062339436135,0.1432438696744434,0.042888695488658465
WT,WT_14,True,0.8923298902068751,74.08298775671386,78.51358157636817,12.768315060399193,203.4613281250015,16.863281250000078,79.56589884766097,12.60286829241946,78.53125822801451,0.8923298902068751,-0.04947455928959144,1.8949447891462554,0.1904519749694773,0.04772995417384436,0.1268352876186963
WT,WT_16,True,0.3414059790542729,76.56545684707852,78.87651167006612,12.757339754971651,969.9179687499995,77.52734374999964,76.45354779604736,13.115508254224276,74.82488881844208,0.3414059790542729,-0.46672887734096946,1.8969476955951654,-1.1169047759085677,0.0704451744117292,-0.04741180609585877
