biological_pair_key,path_family,path_progress,wt_cell_id,sca_cell_id,A_isi_v1_1_weighted_median,A_active_weighted_median,rheobase_J_weighted_median,active_support_rate_hz_weighted_median,mean_isi_ms_weighted_median,occupancy_fraction_weighted_median
WT_03__TO__SCA3_01,coupled,0.0,WT_03,SCA3_01,0.09964741225882578,-0.027529386000945053,1.73703332347371,98.62928178674366,9.407677302795504,0.994149059631611
WT_03__TO__SCA3_01,coupled,0.025,WT_03,SCA3_01,0.1002090910005219,-0.027942733714231366,1.760018460670833,98.93101670789326,9.480670997659727,0.9953568548024228
WT_03__TO__SCA3_01,coupled,0.05,WT_03,SCA3_01,0.10527029075783127,-0.011538198487746875,1.7874431732551403,100.24720147431896,9.670298079732508,0.993236201140378
WT_03__TO__SCA3_01,coupled,0.075,WT_03,SCA3_01,0.11896969302503178,-0.0005594965346102972,1.8552584472626552,100.55577409241126,9.914089289593187,0.9956407992035644
WT_03__TO__SCA3_01,coupled,0.1,WT_03,SCA3_01,0.13250895411538735,0.019679722865239918,1.9292919803588529,98.82855015607625,10.014933090697877,0.9917978822287152
WT_03__TO__SCA3_01,coupled,0.125,WT_03,SCA3_01,0.14950847029263628,0.03979669787439405,2.002371174942482,96.06862055731844,10.01736698918771,0.9945315886681146
WT_03__TO__SCA3_01,coupled,0.15,WT_03,SCA3_01,0.16671688190489004,0.050887507636007044,2.0407703863999584,92.26636004654364,10.036641601341149,0.9965507702176596
WT_03__TO__SCA3_01,coupled,0.175,WT_03,SCA3_01,0.18663180930030093,0.0640031166482316,2.044834391060896,91.52553036911269,10.07085894881501,0.9928648294585232
WT_03__TO__SCA3_01,coupled,0.2,WT_03,SCA3_01,0.20146537988381336,0.0854055757447739,2.0338717119407868,89.74847699187863,10.219974981511353,0.9916671808450168
WT_03__TO__SCA3_01,coupled,0.225,WT_03,SCA3_01,0.21525267043287946,0.11541902412210285,2.0175133391912494,87.9602778095617,10.457834286126666,0.9938295057889116
WT_03__TO__SCA3_01,coupled,0.25,WT_03,SCA3_01,0.2358792604136815,0.14501207430802313,1.993167479747602,86.16082763135732,10.76715662605029,0.992925312313734
WT_03__TO__SCA3_01,coupled,0.275,WT_03,SCA3_01,0.26825507482162286,0.1749407914931534,1.963760133032467,84.35001993860409,11.19763024266813,0.9903337542099878
WT_03__TO__SCA3_01,coupled,0.3,WT_03,SCA3_01,0.2851072382560945,0.2156799854095294,1.937409089633607,82.52774686376505,11.6918068273553,0.9934968391277555
WT_03__TO__SCA3_01,coupled,0.325,WT_03,SCA3_01,0.30106214370701195,0.2692282980240797,1.9244051242063047,80.69389916900829,12.354599165010622,0.9910249392977012
