biological_pair_key,path_family,wt_cell_id,sca_cell_id,both_core_secure,n_support_scenarios,wt_exit_p_isi_weighted_median,wt_exit_p_isi_weighted_q25,wt_exit_p_isi_weighted_q75,wt_exit_p_isi_support_fraction,wt_exit_p_active_weighted_median,wt_exit_p_active_weighted_q25,wt_exit_p_active_weighted_q75,wt_exit_p_active_support_fraction,wt_exit_dual_consensus_p_weighted_median,wt_exit_dual_consensus_p_weighted_q25,wt_exit_dual_consensus_p_weighted_q75,wt_exit_dual_consensus_p_support_fraction,balance_p_isi_weighted_median,balance_p_isi_weighted_q25,balance_p_isi_weighted_q75,balance_p_isi_support_fraction,balance_p_active_weighted_median,balance_p_active_weighted_q25,balance_p_active_weighted_q75,balance_p_active_support_fraction,balance_dual_consensus_p_weighted_median,balance_dual_consensus_p_weighted_q25,balance_dual_consensus_p_weighted_q75,balance_dual_consensus_p_support_fraction,sca3_entry_p_isi_weighted_median,sca3_entry_p_isi_weighted_q25,sca3_entry_p_isi_weighted_q75,sca3_entry_p_isi_support_fraction,sca3_entry_p_active_weighted_median,sca3_entry_p_active_weighted_q25,sca3_entry_p_active_weighted_q75,sca3_entry_p_active_support_fraction,sca3_entry_dual_consensus_p_weighted_median,sca3_entry_dual_consensus_p_weighted_q25,sca3_entry_dual_consensus_p_weighted_q75,sca3_entry_dual_consensus_p_support_fraction,wt_exit_active_isi_gap_weighted_median,wt_exit_dual_agreement_weight,occupancy_at_wt_exit_isi_weighted_median,balance_active_isi_gap_weighted_median,balance_dual_agreement_weight,occupancy_at_balance_isi_weighted_median,sca3_entry_active_isi_gap_weighted_median,sca3_entry_dual_agreement_weight,occupancy_at_sca3_entry_isi_weighted_median
WT_03__TO__SCA3_01,coupled,WT_03,SCA3_01,True,8,0.005660930060696357,0.0,0.1186079198624186,1.0,0.21834942585008518,0.15197084115645665,0.3283984049006009,1.0,0.1684786728562519,0.1684786728562519,0.3177527446499816,0.25,0.4187767512737397,0.4006414426150113,0.590846389571292,1.0,0.4593857972374806,0.3968322121440766,0.6466598714287927,1.0,0.42474393110806125,0.4042306888412612,0.585859221133785,0.875,0.7586837301873209,0.610668097402768,0.837504996691511,1.0,0.630457250143762,0.5505918814004702,0.771816769024481,1.0,0.6917477765179938,0.5705011251715555,0.8097827822846952,0.875,0.14272122529365688,0.25,0.9950945305453378,0.028878664476997606,0.875,0.9850462952187758,0.057985424468065316,0.875,0.9899732777854106
WT_03__TO__SCA3_01,drive_early,WT_03,SCA3_01,True,8,0.0018668143749745482,0.0,0.05511722207668961,1.0,0.13371714795940565,0.05522246680305553,0.16030083323543332,1.0,0.027611233401527765,0.023676346120347535,0.09014938605762013,0.5,0.2849440860274783,0.14874352534486351,0.37541256574320103,1.0,0.2827633841791122,0.17129017168867852,0.41493684067633846,1.0,0.28385373510329526,0.160016848516771,0.38763453508072443,1.0,0.5546808146852285,0.39164582779097434,0.6569608351797741,1.0,0.33795932151814334,0.17690714219752945,0.5562908331965308,1.0,0.45503374395753315,0.3500794741044324,0.5698129953098742,0.625,0.08713552380357104,0.5,0.9954450133091727,0.022546646343815008,1.0,0.9925959274372159,0.0894054477959757,0.625,0.9747106936442076
WT_03__TO__SCA3_01,drive_late,WT_03,SCA3_01,True,8,0.3916511499159925,0.2846340476571011,0.5823498766398055,1.0,0.5724004455305243,0.30378072037977494,0.6135451440564339,1.0,0.4995866096163001,0.32585191727948865,0.6137706477815544,0.625,0.7445147886729129,0.6406008268658021,0.7868430287102366,1.0,0.7703499477943678,0.6286508623178001,0.8474565986388704,1.0,0.7687348056594459,0.6346258445918012,0.8173273319090324,1.0,0.892521192817127,0.7941729111313333,0.9240215972581908,1.0,0.8671216891967664,0.7174757837341623,0.8990256910853366,1.0,0.8844210064134579,0.8386138752021602,0.9141126837532365,0.875,0.05826873429329604,0.625,0.9927127524808902,0.031194257529479685,1.0,0.9879283620617414,0.024995906172854188,0.875,0.9860916152035365
WT_03__TO__SCA3_02,coupled,WT_03,SCA3_02,False,28,0.04142496524342754,0.0,0.812628689345786,1.0,0.16757925772667126,0.06206953270799785,0.8575351736470105,1.0,0.41468475468592464,0.026980503788210455,0.9550912607932432,0.75,0.3615624496713857,0.12961596195811245,0.6696420177721641,0.5,0.2562668926415958,0.07988221882921875,0.42567498673599447,0.5,0.3092969665333275,0.03031093168176844,0.42235246181443553,0.35714285714285715,0.04627747667941286,0.03958217420286766,0.2731732036585602,0.17857142857142858,0.14081748757167056,0.0374006130265495,0.30086722148282863,0.32142857142857145,0.0385385835904054,0.036404923953072446,0.0470489039288961,0.14285714285714285,0.055289466902100015,0.75,0.9950945305453378,0.022105331857426747,0.35714285714285715,0.9853742174857856,0.00696746583952422,0.14285714285714285,0.9805764702944435
WT_03__TO__SCA3_02,drive_early,WT_03,SCA3_02,False,28,0.017662880294194973,0.0,0.1568833599297854,1.0,0.27715505836864557,0.0577914706903883,0.48386207181542507,1.0,0.03765620952592704,0.020347296306765596,0.9830453399937211,0.6428571428571429,0.1742957770813202,0.07622684584142106,0.39221049741345587,0.5357142857142857,0.1908180040344582,0.07254002465979835,0.3327918109303284,0.5357142857142857,0.15501367464702692,0.06292605178713442,0.25571226503392486,0.4642857142857143,0.16926050390562847,0.06865750525085168,0.40754547501007654,0.25,0.19059247646485492,0.08036131953914241,0.3723213439720844,0.4642857142857143,0.06461554599546418,0.05823139349223064,0.09238266544152116,0.14285714285714285,0.05343101431914135,0.6428571428571429,0.9950945305453378,0.013430567047018963,0.4642857142857143,0.9858817481030636,0.027166307946972397,0.14285714285714285,0.5549105971715402
WT_03__TO__SCA3_02,drive_late,WT_03,SCA3_02,False,28,0.44855809386957807,5.269026808957087e-05,0.8873161388372202,1.0,0.5128556746703693,0.0450845413446484,0.898308473702284,1.0,0.5413368036489855,0.013515195664599836,0.881937358763748,0.6785714285714286,0.686509919215983,0.02337917256613133,0.7442855072688481,0.39285714285714285,0.06429892584461819,0.024487483075443506,0.6528107728460603,0.39285714285714285,0.5984959427332053,0.021255574473918938,0.721761022974847,0.2857142857142857,0.3292777653686346,0.033555530737269135,0.625,0.10714285714285714,0.054089654783528555,0.02750655182240597,0.07799186133833823,0.2857142857142857,0.03165713173288442,0.03165713173288442,0.03165713173288442,0.03571428571428571,0.043939015235269,0.6785714285714286,0.9930673937278632,0.029001473160208124,0.2857142857142857,0.9863762243291518,0.30064512309318175,0.03571428571428571,0.9791964213343265
WT_03__TO__SCA3_04,coupled,WT_03,SCA3_04,True,24,0.0014727631360095736,0.0,0.49393792536408093,1.0,0.1509382074191321,0.0493291131933358,0.5375566309588481,1.0,0.046363472417749206,0.018224163131893935,0.5487158366553128,0.7916666666666667,0.6501014070438412,0.22935936029064496,0.8102745766352892,1.0,0.6025810306668195,0.15067234613213126,0.8142105468233631,1.0,0.6309950465860577,0.23023361477322918,0.8057599582686613,0.9166666666666669,0.95,0.33653786216127013,0.9699599307765452,0.6250000000000002,0.5306044086504769,0.11571770760660051,0.8685721407244305,0.7500000000000001,0.6436892707411275,0.08201902456688234,0.9614464876095964,0.37500000000000006,0.049559115339869834,0.7916666666666667,0.9950945305453378,0.02755328870391541,0.9166666666666669,0.9803236990307213,0.05628484008569569,0.37500000000000006,0.9270443773411406
WT_03__TO__SCA3_04,drive_early,WT_03,SCA3_04,True,24,0.003529528088284225,0.0,0.4465335001679278,1.0,0.07791173058456591,0.03299419865706913,0.5027200158532623,1.0,0.028300516106952885,0.015365268282150325,0.47603150807320177,0.8333333333333335,0.43451788017244325,0.13479119880374174,0.7686722825176648,1.0,0.29828018968822595,0.10918189737717443,0.7676100831747199,1.0,0.4268147668935878,0.1262611325973259,0.7612390059201375,0.9166666666666669,0.7000000000000001,0.22874651077866845,0.9668817435810625,0.6666666666666666,0.24505372324043878,0.10333136669419384,0.7855471964403093,0.8333333333333335,0.19745326089199366,0.060959612434282884,0.9436154732435347,0.3333333333333333,0.0408557050162509,0.8333333333333335,0.9950945305453378,0.017207399640177073,0.9166666666666669,0.9811088615673894,0.09000781308020989,0.3333333333333333,0.9615074714514152
WT_03__TO__SCA3_04,drive_late,WT_03,SCA3_04,True,24,0.260356148282696,9.149518434036631e-05,0.5402607598593545,1.0,0.402650925070129,0.054732682486318504,0.5739027414658722,1.0,0.38438394311403523,0.013851976109301981,0.5746928168488826,0.6250000000000002,0.806938461002671,0.4796129320922195,0.8446616881314055,1.0,0.8066356494135082,0.19377605970777215,0.8593270221983592,1.0,0.811958964214317,0.4422098801327494,0.8527643976075387,0.9166666666666669,0.9563236770133943,0.49321391908430634,0.9935823618215457,0.6250000000000002,0.6494327272229972,0.11118591394997576,0.9087664673123472,0.7083333333333334,0.9274603273017623,0.08735743731924736,0.9709995092883661,0.41666666666666674,0.040156991157873405,0.6250000000000002,0.9903951721551981,0.0179506816351822,0.9166666666666669,0.9793840408948248,0.044743603216206934,0.41666666666666674,0.9551868554834815
WT_03__TO__SCA3_05,coupled,WT_03,SCA3_05,False,28,0.0011256062509061658,0.0,0.4458702045514257,1.0,0.10633944900898055,0.06189415378665268,0.4120745399434024,1.0,0.04600212008949357,0.024165478170525494,0.4741646708962154,0.8214285714285714,0.6128824871508491,0.20798491539194158,0.8684572928769378,1.0,0.5420086492165226,0.1910211683826978,0.8743898932334014,1.0,0.5726234969402364,0.1715593756345442,0.8649078989855803,0.8214285714285714,0.3064474667197692,0.14287935608806893,0.7775453409649601,0.2857142857142857,0.24050321880183842,0.18545245121336962,0.6319791973785281,0.6785714285714286,0.10410792831562814,0.08109522541083161,0.16933941476420122,0.10714285714285714,0.04935994361719276,0.8214285714285714,0.9937112945088108,0.024763140464506117,0.8214285714285714,0.9872780361351948,0.11826701657853661,0.10714285714285714,0.9828359517991161
