scenario_id,path_family,biological_pair_key,wt_cell_id,sca_cell_id,wt_solution_key,sca_solution_key,within_pair_support_weight,scenario_weight,biological_pair_weight,wt_exit_p_isi,balance_p_isi,sca3_entry_p_isi,start_A_isi,end_A_isi,start_inside_wt_isi,end_inside_sca3_isi,wt_exit_p_active,balance_p_active,sca3_entry_p_active,start_A_active,end_A_active,start_inside_wt_active,end_inside_sca3_active,wt_exit_active_isi_gap,wt_exit_dual_agrees,wt_exit_dual_consensus_p,balance_active_isi_gap,balance_dual_agrees,balance_dual_consensus_p,sca3_entry_active_isi_gap,sca3_entry_dual_agrees,sca3_entry_dual_consensus_p,occupancy_at_wt_exit_isi,occupancy_at_balance_isi,occupancy_at_sca3_entry_isi
0,coupled,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,best,0.125,0.0017361111111111,0.0138888888888888,0.005660930060696357,0.590846389571292,0.8450638555081469,0.13503823943179297,1.057556291133315,True,True,0.3283984049006009,0.694193491196103,0.8287820250324691,0.027263736297403803,1.0162442943375407,True,True,0.32273747483990456,False,,0.10334710162481098,False,,0.016281830475677772,True,0.836922940270308,0.9954919777301134,0.9959874335079405,0.992048467693442
0,drive_early,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,best,0.125,0.0017361111111111,0.0138888888888888,0.0018668143749745482,0.33298022225874174,0.5546808146852285,0.13503823943179297,1.0575840373427778,True,True,0.16030083323543332,0.41493684067633846,0.5358490118357863,0.027263736297403803,1.016264771796798,True,True,0.15843401886045877,False,,0.08195661841759672,True,0.3739585314675401,0.018831802849442192,True,0.5452649132605074,0.99679030385113,0.9978040075636545,0.9820043919130708
0,drive_late,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,best,0.125,0.0017361111111111,0.0138888888888888,0.32680423631208944,0.7868430287102366,0.9260889703184854,0.13503823943179297,1.0575437217581287,True,True,0.6135451440564339,0.8478116351078281,0.9179984748659251,0.027263736297403803,1.0162350177958708,True,True,0.28674090774434446,False,,0.060968606397591496,True,0.8173273319090324,0.008090495452560242,True,0.9220437225922052,0.9962996429545457,0.9887132576753702,0.9904717614703453
1,coupled,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,r_HIGH,0.125,0.0017361111111111,0.0138888888888888,0.0013470862357798184,0.5432710786540944,0.814142167465046,0.13503823943179297,1.070305105137046,True,True,0.15527421019323537,0.5814497346697794,0.7561567429969807,0.027263736297403803,1.0315190821858369,True,True,0.15392712395745556,False,,0.03817865601568504,True,0.562360406661937,0.057985424468065316,True,0.7851494552310133,0.9967826422600645,0.9948391127268169,0.9899732777854106
1,drive_early,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,r_HIGH,0.125,0.0017361111111111,0.0138888888888888,0.0012961603398491644,0.37541256574320103,0.6569608351797741,0.13503823943179297,1.0703287235920071,True,True,0.11890892595288208,0.3998565044182478,0.5675553873837984,0.027263736297403803,1.031536513249703,True,True,0.11761276561303291,False,,0.024443938675046795,True,0.38763453508072443,0.0894054477959757,True,0.6122581112817862,0.9967760908183395,0.9991088395105994,0.9918532302047638
1,drive_late,WT_03__TO__SCA3_01,WT_03,SCA3_01,best,r_HIGH,0.125,0.0017361111111111,0.0138888888888888,0.00130018877368386,0.6805140999333559,0.8836820591902118,0.13503823943179297,1.0703864909903233,True,True,0.15763891226948265,0.7162049379881797,0.8516329784887635,0.027263736297403803,1.0315791471650493,True,True,0.1563387234957988,False,,0.03569083805482387,True,0.6983595189607679,0.032049080701448296,True,0.8676575188394877,0.9963420255524781,0.9979163552221222,0.9837655054829123
2,coupled,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,best,0.0357142857142857,0.0004960317460317,0.0138888888888888,0.20190112072994398,,,0.13503823943179297,0.27384915074241417,True,False,0.6160198602794036,,,0.027263736297403803,0.27873528940012227,True,False,0.4141187395494596,False,,,False,,,False,,0.9958141065605229,,
2,drive_early,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,best,0.0357142857142857,0.0004960317460317,0.0138888888888888,0.1435284173930841,,,0.13503823943179297,0.27380607667929996,True,False,0.38620520926979085,,,0.027263736297403803,0.2787034995668606,True,False,0.24267679187670674,False,,,False,,,False,,0.9953994929030783,,
2,drive_late,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,best,0.0357142857142857,0.0004960317460317,0.0138888888888888,0.002904510756681067,,,0.13503823943179297,0.2736212716056188,True,False,0.8324234114852759,,,0.027263736297403803,0.2785671083826192,True,False,0.8295189007285948,False,,,False,,,False,,0.9963233923249073,,
3,coupled,WT_03__TO__SCA3_02,WT_03,SCA3_02,best,b_LOW,0.0357142857142857,0.0004960317460317,0.0138888888888888,6.319550606339275e-05,0.027465644081664804,0.04158595196760045,0.13503823943179297,0.46294101199602006,True,False,0.007883397806114582,0.028424314487249826,0.03549121521321035,0.027263736297403803,0.46042074513722425,True,False,0.007820202300051189,True,0.003973296656088987,0.0009586704055850222,True,0.027944979284457314,0.0060947367543900954,True,0.0385385835904054,0.9966352353475083,0.9853742174857856,0.9831143579644129
