biological_pair_key,both_core_secure,stage,A_threshold,median_drive_dominance_fraction_weighted_median,median_abs_dA_ddrive_weighted_median,median_abs_dA_dintrinsic_weighted_median,median_gradient_magnitude_weighted_median,scenario_support_with_boundary_band
WT_03__TO__SCA3_01,True,WT_exit,0.1358293233470019,0.6838924425529679,0.667388847825831,0.2589340086533617,1.0160230642359163,1.0
WT_03__TO__SCA3_01,True,balance,0.5,0.6239289265151702,1.1468062610127103,0.45920372133819426,1.337253849280217,1.0
WT_03__TO__SCA3_01,True,SCA3_entry,0.7978563373093712,0.5909092353667915,1.5324549341920595,0.8359028286594699,1.7142984819899731,1.0
WT_03__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.5474958938347493,1.0739416398193233,0.9893099879625902,1.62184852781417,1.0
WT_03__TO__SCA3_02,False,balance,0.5,0.49345543523007646,0.911619232606183,1.0085799336529966,1.5718514721336039,0.9642857142857143
WT_03__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.5131107051375845,0.8475556356626986,1.0901109504755921,1.8195931424876872,0.9285714285714286
WT_03__TO__SCA3_04,True,WT_exit,0.1358293233470019,0.3340289535264335,0.2647648837539241,0.728279813677012,1.2094887468786486,1.0
WT_03__TO__SCA3_04,True,balance,0.5,0.23903063986092757,0.41412916948777867,0.9824975449955352,1.2764486716844476,1.0
WT_03__TO__SCA3_04,True,SCA3_entry,0.7978563373093712,0.4337849570318454,0.843183647161845,0.9163312550718519,1.956006846528727,0.8333333333333335
WT_03__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.36021439405619016,0.31718742428379837,0.5884157173884541,1.1703882898127056,1.0
WT_03__TO__SCA3_05,False,balance,0.5,0.32600556753173915,0.5606342364325817,0.8817851698474681,1.4412463637354622,1.0
WT_03__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.4856301606756202,1.108502781909503,0.8887252583414034,1.7883602094253195,0.6785714285714286
WT_03__TO__SCA3_06,True,WT_exit,0.1358293233470019,0.6443888316997184,0.525193300292271,0.05616000747918183,0.6879543311530875,1.0
WT_03__TO__SCA3_06,True,balance,0.5,0.6131993692578026,1.083593230080122,0.10397781022138858,1.0838770122803378,1.0
WT_03__TO__SCA3_06,True,SCA3_entry,0.7978563373093712,0.6398212803363504,1.3466048564717605,0.19097003184818723,1.4811533033944224,1.0
WT_03__TO__SCA3_09,True,WT_exit,0.1358293233470019,0.2981631126544125,0.9495917617859604,1.6953250268683755,2.1660507025026137,1.0
WT_03__TO__SCA3_09,True,balance,0.5,0.2799647550891419,0.8362591870325535,1.4674011647188034,2.3433467748200436,1.0
WT_03__TO__SCA3_09,True,SCA3_entry,0.7978563373093712,0.37943653228674606,1.122737629103446,1.6669612602237702,2.5320765392385427,0.8333333333333334
WT_04__TO__SCA3_01,True,WT_exit,0.1358293233470019,0.7026987166774775,0.9157410191630333,0.5573743267441941,1.2141097002792232,1.0
WT_04__TO__SCA3_01,True,balance,0.5,0.750192679047909,1.4184252569481677,0.6617144305697507,1.7334277724246356,1.0
WT_04__TO__SCA3_01,True,SCA3_entry,0.7978563373093712,0.7290489038719499,1.9400491679387968,0.7908250068734952,1.975889503285937,1.0
WT_04__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.39958029923816585,1.261785156220951,1.6628009470513487,2.004620435519545,1.0
WT_04__TO__SCA3_02,False,balance,0.5,0.512895702756413,1.128997171174093,0.9788710885876608,1.7528975221403589,0.9761904761904762
WT_04__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.6156414386951975,1.120253237774706,0.9486200634915128,1.6564586332428441,0.9047619047619049
WT_04__TO__SCA3_04,True,WT_exit,0.1358293233470019,0.24933176097237908,0.8393075051559015,1.6916062971735557,1.8925366312937268,1.0
WT_04__TO__SCA3_04,True,balance,0.5,0.5033674742731482,1.1433736545676614,1.1034476837927742,1.6784710180386135,1.0
WT_04__TO__SCA3_04,True,SCA3_entry,0.7978563373093712,0.5279704481966099,1.2744214130362619,0.9621937504919389,1.7955108546102634,1.0
WT_04__TO__SCA3_05,False,WT_exit,0.1358293233470019,0.2910262292805534,0.526394117809373,1.1980244875840038,1.8046049476294281,1.0
WT_04__TO__SCA3_05,False,balance,0.5,0.40817667027101867,1.0272130684080971,1.3474637946990107,1.7084080262367192,1.0
WT_04__TO__SCA3_05,False,SCA3_entry,0.7978563373093712,0.5017945472468532,1.3551863567274585,0.9196109521866305,2.3301254645833267,0.7380952380952382
WT_04__TO__SCA3_06,True,WT_exit,0.1358293233470019,0.5357937941966032,0.6820516388682527,0.6057946978880325,1.4996623999344005,1.0
WT_04__TO__SCA3_06,True,balance,0.5,0.5705708972911808,0.9440315530010075,0.7697821767703918,1.6669459329009737,1.0
WT_04__TO__SCA3_06,True,SCA3_entry,0.7978563373093712,0.6433405134698076,1.3810480802486198,0.9842741130714829,2.2163378355592975,1.0
WT_04__TO__SCA3_09,True,WT_exit,0.1358293233470019,0.32719955209696777,1.1960902936572189,1.8331323505108177,2.0804988498603185,1.0
WT_04__TO__SCA3_09,True,balance,0.5,0.3644122482301634,1.5111784794247183,2.1097228414594698,2.396472962189929,1.0
WT_04__TO__SCA3_09,True,SCA3_entry,0.7978563373093712,0.4493477962831081,1.5498063493424055,1.6309643833051841,2.5800272411039264,0.9444444444444444
WT_06__TO__SCA3_01,False,WT_exit,0.1358293233470019,0.7255390813098724,1.2720985904537825,0.22892841009419468,1.4976757321643865,1.0
WT_06__TO__SCA3_01,False,balance,0.5,0.7495311978479005,1.7521638722092805,0.4560544034509066,1.7766057175443777,1.0
WT_06__TO__SCA3_01,False,SCA3_entry,0.7978563373093712,0.7006517301868852,2.2403772895604273,0.7953438598084539,2.302098355701615,1.0
WT_06__TO__SCA3_02,False,WT_exit,0.1358293233470019,0.5598051094386424,1.319008465236122,0.8310813283178964,1.8681761095470337,1.0
WT_06__TO__SCA3_02,False,balance,0.5,0.539847297820944,1.3536251791141711,0.8032243832859295,1.7366279617166678,0.9714285714285714
WT_06__TO__SCA3_02,False,SCA3_entry,0.7978563373093712,0.6411518994865044,2.018536174844873,0.9700843684543528,2.384377746705211,0.8285714285714285
WT_06__TO__SCA3_04,False,WT_exit,0.1358293233470019,0.36220697413718705,0.8037281923866613,1.0436813580781337,1.4552876937548622,1.0
WT_06__TO__SCA3_04,False,balance,0.5,0.48807862546832204,1.1171466415550835,0.9209232305216773,1.58149623493018,1.0
WT_06__TO__SCA3_04,False,SCA3_entry,0.7978563373093712,0.534692805534262,1.07729637202441,1.1203715207644742,2.036633371056057,0.9333333333333332
