biological_pair_key,both_core_secure,p_intrinsic,p_drive,A_isi_weighted_median,dA_dintrinsic_weighted_median,dA_ddrive_weighted_median,drive_dominance_fraction_weighted_median,gradient_magnitude_weighted_median
WT_03__TO__SCA3_01,True,0.0,0.0,0.0996474122588257,-0.38137432786398623,0.30134507338815614,0.6461787226231276,0.5965709003843511
WT_03__TO__SCA3_01,True,0.0,0.0333333333333333,0.1159718815807764,-0.40442626948628985,0.33749493217429194,0.6427818291414624,0.5974138369670675
WT_03__TO__SCA3_01,True,0.0,0.0666666666666666,0.1353625089838347,-0.38941110652357486,0.4300123850649586,0.6432505341029894,0.5823751153320658
WT_03__TO__SCA3_01,True,0.0,0.1,0.1483902576019764,-0.4107854386543355,0.5180408702019556,0.6533708812735192,0.5945951727369382
WT_03__TO__SCA3_01,True,0.0,0.1333333333333333,0.1769565779523174,-0.38816666562006313,0.5905080069496621,0.6602188855589661,0.6329901697093293
WT_03__TO__SCA3_01,True,0.0,0.1666666666666666,0.2028670146124692,-0.412780282111707,0.6487898295321377,0.6352372809985537,0.702954339483926
WT_03__TO__SCA3_01,True,0.0,0.2,0.2233181308931314,-0.4157195027158687,0.7227096325843562,0.6241554169688245,0.7468870108552436
WT_03__TO__SCA3_01,True,0.0,0.2333333333333333,0.2456372212427063,-0.10959722567481237,0.6838419314668247,0.6621267984159334,0.7655665706156065
WT_03__TO__SCA3_01,True,0.0,0.2666666666666666,0.2696884567192115,-0.1099103840857252,0.744319289257964,0.6705466060220225,0.8563397377600016
WT_03__TO__SCA3_01,True,0.0,0.3,0.2952585071932372,-0.11171032742137879,0.7947605284654129,0.6834668905002285,0.8960294330908141
WT_03__TO__SCA3_01,True,0.0,0.3333333333333333,0.2952433221464571,-0.12838986174818048,0.8470236594855692,0.6895225132968581,0.9473308858171683
WT_03__TO__SCA3_01,True,0.0,0.3666666666666666,0.3289608473632402,-0.17883036002831035,0.8974326276590776,0.6885202171053056,0.9992066319970133
WT_03__TO__SCA3_01,True,0.0,0.4,0.3639403718564473,-0.1889699245770738,0.9482977865753208,0.6911222827914886,1.0470980503534313
WT_03__TO__SCA3_01,True,0.0,0.4333333333333333,0.401187656371484,-0.19836985593418072,0.9964236066655712,0.7012227089874206,1.1001070828217527
WT_03__TO__SCA3_01,True,0.0,0.4666666666666667,0.4408628473434496,-0.12080397772602061,1.054739012016476,0.7017314424283367,1.1546183265899215
WT_03__TO__SCA3_01,True,0.0,0.5,0.4831995632342022,-0.23103865519612526,1.1163055649538502,0.6953927126734961,1.2249068818273212
WT_03__TO__SCA3_01,True,0.0,0.5333333333333333,0.5228172601177331,-0.13713287836831348,1.1714891434593722,0.6909441133760338,1.2857040949693348
WT_03__TO__SCA3_01,True,0.0,0.5666666666666667,0.5627427707328985,-0.2818575599041973,1.2328384531499623,0.6944989442554986,1.342965131252733
WT_03__TO__SCA3_01,True,0.0,0.6,0.6050064903277306,-0.314514436376826,1.3075851995770746,0.6898016016918381,1.426841682799353
WT_03__TO__SCA3_01,True,0.0,0.6333333333333333,0.6499151173713701,-0.6192618615939772,1.3882518244600885,0.6606351678058053,1.404791767343241
WT_03__TO__SCA3_01,True,0.0,0.6666666666666666,0.6980971572987946,-0.6016587618062487,1.4675842279927622,0.6864167523292588,1.505998986527847
WT_03__TO__SCA3_01,True,0.0,0.7,0.7067029983083636,-0.17871766813940984,1.5498124518599348,0.689849314596815,1.6228547374415758
WT_03__TO__SCA3_01,True,0.0,0.7333333333333333,0.7599325971818317,-0.19994641627543058,1.6493990921300303,0.6862341628149853,1.7706698853473968
WT_03__TO__SCA3_01,True,0.0,0.7666666666666666,0.8166629377836989,-0.21692410938227275,1.6427177631792698,0.681922077498954,1.8126326237661674
WT_03__TO__SCA3_01,True,0.0,0.8,0.8694471147271163,-0.5642440188322618,1.1942481543757302,0.6791319134489411,1.3989481295290132
WT_03__TO__SCA3_01,True,0.0,0.8333333333333334,0.8962794814087476,-0.3009545923409341,1.1296118948169163,0.5484153426893119,1.4632926424872836
WT_03__TO__SCA3_01,True,0.0,0.8666666666666667,0.9139895627105554,0.9782203383239054,1.1912067629292935,0.5490881727443973,1.5413917679678395
WT_03__TO__SCA3_01,True,0.0,0.9,0.7222407737118398,-0.4977561876489235,1.2618135432605813,0.5528395643429331,1.6229036835046657
WT_03__TO__SCA3_01,True,0.0,0.9333333333333332,0.7655789175686708,-0.774034707469833,1.3426717445732836,0.5570982025833889,1.7152860950634512
WT_03__TO__SCA3_01,True,0.0,0.9666666666666668,0.8117522233500587,1.1228301808041177,1.436054102555824,0.5612032212219514,1.8229094877124372
WT_03__TO__SCA3_01,True,0.0,1.0,0.861315857739059,1.181656977760517,1.4869090316700109,0.5571940234625552,1.8992660902443261
WT_03__TO__SCA3_01,True,0.0333333333333333,0.0,0.0869349346633595,-0.46415180378922605,0.2715454897420471,0.636550340044315,0.5446843475624613
WT_03__TO__SCA3_01,True,0.0333333333333333,0.0333333333333333,0.1006091153859266,-0.4660994423451421,0.322503730581192,0.6362144561198275,0.5320044692366355
WT_03__TO__SCA3_01,True,0.0333333333333333,0.0666666666666666,0.1199010598863135,-0.464426813651427,0.43126381809717446,0.6422780870726832,0.5791626993586423
WT_03__TO__SCA3_01,True,0.0333333333333333,0.1,0.1445272865670743,-0.47458823067155415,0.5186041732777396,0.6457710585120343,0.6399982011407844
