biological_pair_key,both_core_secure,path_family,WT_exit_support_weight,WT_exit_p_weighted_median,balance_support_weight,balance_p_weighted_median,SCA3_entry_support_weight,SCA3_entry_p_weighted_median
WT_03__TO__SCA3_01,True,drive_early,1.0,0.0020228875023569166,1.0,0.28358934172356404,1.0,0.6
WT_03__TO__SCA3_01,True,coupled,1.0,0.005546264004070297,1.0,0.4249021497638366,1.0,0.7587242952951655
WT_03__TO__SCA3_01,True,drive_late,1.0,0.2821592866665887,1.0,0.7444159094848862,1.0,0.8922168410826004
WT_03__TO__SCA3_02,False,drive_early,1.0,0.01807007259677997,0.5357142857142857,0.1739854176112126,0.25,0.17189647088786275
WT_03__TO__SCA3_02,False,coupled,1.0,0.041674307146757024,0.5,0.36026473956323896,0.25,0.23206684294192076
WT_03__TO__SCA3_02,False,drive_late,1.0,0.01861412061671534,0.39285714285714285,0.6863974501309439,0.14285714285714285,0.03116923599724593
WT_03__TO__SCA3_04,True,drive_early,1.0,0.003628401133349372,1.0,0.43400388602713025,0.7083333333333334,0.7457352071556194
WT_03__TO__SCA3_04,True,coupled,1.0,0.0014190887128958571,1.0,0.6511416747822978,0.6250000000000002,0.930299564214191
WT_03__TO__SCA3_04,True,drive_late,1.0,0.1253917413980753,1.0,0.8042172892996423,0.5416666666666669,0.8482195845527108
WT_03__TO__SCA3_05,False,drive_early,1.0,0.0014852745474013239,1.0,0.21021205235600937,0.5714285714285714,0.6105398846825851
WT_03__TO__SCA3_05,False,coupled,1.0,0.0011262595249652244,1.0,0.5996884154118868,0.2857142857142857,0.30653206266119326
WT_03__TO__SCA3_05,False,drive_late,1.0,0.21302624651129431,0.9642857142857143,0.7046068336088392,0.35714285714285715,0.6262063074730723
WT_03__TO__SCA3_06,True,drive_early,1.0,0.0005745543886965958,1.0,0.23512056157793826,1.0,0.46006298128191897
WT_03__TO__SCA3_06,True,coupled,1.0,0.0006761363764939933,1.0,0.3932592162198825,1.0,0.7526629826404818
WT_03__TO__SCA3_06,True,drive_late,1.0,0.0008213526238179626,1.0,0.7182408843433538,1.0,0.8714123313835258
