subset,scan,fixed_coordinate,fixed_value,projection,stage,A_threshold,crossing_coordinate,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support,q25_majority_support,q75_majority_support
all_pairs,drive,p_intrinsic,0.0,active,SCA3_entry,0.6832817402871161,p_drive,72,62,0.8611111111111112,26,0.3611111111111111,0.33333333333333337,0.5924474514425817,0.3772868706264334,0.7353582597030405,0.6326772780053243,0.5075136133741885,0.7348875598697563
all_pairs,drive,p_intrinsic,0.0,active,WT_exit,0.1483293470542087,p_drive,72,66,0.9166666666666666,43,0.5972222222222222,0.5833333333333333,0.411357671808972,0.15816863508711831,0.5432061184907209,0.4193338447938191,0.0,0.535962483592757
all_pairs,drive,p_intrinsic,0.0,active,balance,0.5,p_drive,72,62,0.8611111111111112,28,0.3888888888888889,0.38095238095238093,0.5473554732843735,0.3143726731934018,0.6447270289957742,0.5752967335004231,0.3752816512432208,0.6412557302690152
all_pairs,drive,p_intrinsic,0.0,isi,SCA3_entry,0.7978563373093712,p_drive,72,61,0.8472222222222222,21,0.2916666666666667,0.27222222222222214,0.6698044877195324,0.46083111250674913,0.7403604826236776,0.6973849263550495,0.6164194055320702,0.7248607717255953
all_pairs,drive,p_intrinsic,0.0,isi,WT_exit,0.1358293233470019,p_drive,72,68,0.9444444444444444,49,0.6805555555555556,0.6458333333333335,0.35323877782024915,0.06959043776656053,0.4835613059659172,0.349807050033129,4.528758878701128e-19,0.4736597796623547
all_pairs,drive,p_intrinsic,0.0,isi,balance,0.5,p_drive,72,61,0.8472222222222222,30,0.4166666666666667,0.430952380952381,0.5251339466533075,0.3148798723320981,0.6557769399515613,0.5318298842315076,0.3415739756527922,0.6471248428627818
all_pairs,drive,p_intrinsic,0.0333333333333333,active,SCA3_entry,0.6832817402871161,p_drive,72,61,0.8472222222222222,28,0.3888888888888889,0.39285714285714285,0.5417573882093502,0.34765185563187717,0.7010723331092341,0.6296316730266982,0.49681254285291004,0.7133555884271906
all_pairs,drive,p_intrinsic,0.0333333333333333,active,WT_exit,0.1483293470542087,p_drive,72,66,0.9166666666666666,54,0.75,0.7113095238095238,0.2617034314201803,1.1011693433222463e-17,0.4634451508103987,0.2508909009860286,0.0,0.4411735816350941
all_pairs,drive,p_intrinsic,0.0333333333333333,active,balance,0.5,p_drive,72,61,0.8472222222222222,31,0.4305555555555556,0.45833333333333337,0.5078640681682991,0.2178756412514178,0.6321565312437357,0.5557266806921662,0.3186497111670732,0.6285128723259679
all_pairs,drive,p_intrinsic,0.0333333333333333,isi,SCA3_entry,0.7978563373093712,p_drive,72,60,0.8333333333333334,21,0.2916666666666667,0.3333333333333333,0.6605715192447048,0.4635509946411678,0.7489666062803074,0.6935233328347596,0.6075238527429461,0.7623929576423636
