biological_pair_key,path_family,wt_exit_p_surface,balance_p_surface,sca3_entry_p_surface
WT_03__TO__SCA3_01,drive_early,0.046541629805329505,0.3723899354999721,0.5892381210661004
WT_03__TO__SCA3_01,coupled,0.10539993242957109,0.5433528635539401,0.8145719100371946
WT_03__TO__SCA3_01,drive_late,0.4249372926966475,0.7673632245844948,0.9038039051960174
WT_03__TO__SCA3_04,drive_early,0.019210675360019608,0.5337272961127104,
WT_03__TO__SCA3_04,coupled,0.02791645410474684,0.6868955795277831,
WT_03__TO__SCA3_04,drive_late,0.4958081544504489,0.8131188427858723,
WT_03__TO__SCA3_06,drive_early,0.03658011316292212,0.2866882999962376,0.4873128932258094
WT_03__TO__SCA3_06,coupled,0.07010744182162013,0.5069739446948595,0.7848865673887714
WT_03__TO__SCA3_06,drive_late,0.3211027806354204,0.7263927242755275,0.8742707068404398
WT_03__TO__SCA3_09,drive_early,0.028515829657265707,0.6567394102800239,0.8784740851800158
WT_03__TO__SCA3_09,coupled,0.03982981150615892,0.736944252928795,0.8650130846624271
WT_03__TO__SCA3_09,drive_late,0.29093007893934303,0.7107206936217698,0.896817281916185
WT_04__TO__SCA3_01,drive_early,0.23539801847480074,0.54398504479702,0.7593540007980061
WT_04__TO__SCA3_01,coupled,0.4956802520435338,0.7075713883984567,0.8794637740931281
WT_04__TO__SCA3_01,drive_late,0.654083147875238,0.839336163151448,0.9361776692776926
WT_04__TO__SCA3_04,drive_early,0.15904436697385632,0.5565992078779819,
WT_04__TO__SCA3_04,coupled,0.18545545279261344,0.5918602290473275,
WT_04__TO__SCA3_04,drive_late,0.059950468946376616,0.7664300525172726,
WT_04__TO__SCA3_06,drive_early,0.3109586062178595,0.5698268005973716,0.798728223492691
WT_04__TO__SCA3_06,coupled,0.6427300875246921,0.821144527602893,0.9149508989607502
WT_04__TO__SCA3_06,drive_late,0.7882530185178012,0.8896267236399931,0.9482321427558055
WT_04__TO__SCA3_09,drive_early,0.22054225138938835,0.6374473034319086,0.8501177017121359
WT_04__TO__SCA3_09,coupled,0.1389116247412727,0.7046662366127899,0.7831666611115693
WT_04__TO__SCA3_09,drive_late,0.030503384729399816,0.7899010109248947,0.8100906971097515
WT_08__TO__SCA3_01,drive_early,0.47075961152827067,0.7141659241009665,0.8670892770485968
WT_08__TO__SCA3_01,coupled,0.6549182354793104,0.8200441696535371,0.934383918498037
WT_08__TO__SCA3_01,drive_late,0.7313885888944511,0.882204073864063,0.9578750051178695
WT_08__TO__SCA3_04,drive_early,0.602013218635204,0.8484228291436509,
WT_08__TO__SCA3_04,coupled,0.5881583723667775,0.853546230178163,
WT_08__TO__SCA3_04,drive_late,0.47819539142396705,0.8589243325167253,
WT_08__TO__SCA3_06,drive_early,0.42513377553557596,0.5854176007957036,0.7137234072816163
WT_08__TO__SCA3_06,coupled,0.4963097137453625,0.6812516657057638,0.8201707273065065
WT_08__TO__SCA3_06,drive_late,0.5206036542316071,0.7541755292672626,0.8816324567629535
WT_08__TO__SCA3_09,drive_early,0.43802975197409555,0.6179275483599584,0.8274732930067347
WT_08__TO__SCA3_09,coupled,0.32040134821420024,0.5320111123094341,0.7137922284189823
WT_08__TO__SCA3_09,drive_late,0.6114959351121917,0.6222493555256661,0.6564733820519932
WT_09__TO__SCA3_01,drive_early,0.1937083601000873,0.3406374671443707,0.48624135072795915
WT_09__TO__SCA3_01,coupled,0.3789811826181219,0.6852169115823074,0.845795551069196
WT_09__TO__SCA3_01,drive_late,0.6489958934708617,0.8304742529873788,0.9317862010386143
WT_09__TO__SCA3_04,drive_early,0.2308632696174846,0.5717712739672945,
WT_09__TO__SCA3_04,coupled,0.37270080404783396,0.693770922165396,
WT_09__TO__SCA3_04,drive_late,0.5390508296079775,0.8341388411823786,
WT_09__TO__SCA3_06,drive_early,0.2040204286008209,0.42484468056010566,0.705075819594311
WT_09__TO__SCA3_06,coupled,0.4665377209058156,0.8143865379598303,0.9124487621275861
WT_09__TO__SCA3_06,drive_late,0.7990186796809574,0.8962485798985531,0.9503895570201578
WT_09__TO__SCA3_09,drive_early,0.16954177816299862,0.586610303931426,0.8516738860626337
WT_09__TO__SCA3_09,coupled,0.32134374667580023,0.592812241353938,0.8431155638275708
WT_09__TO__SCA3_09,drive_late,0.09438913546270707,0.7422621259443459,0.85910336913599
WT_10__TO__SCA3_01,drive_early,0.23852519589246912,0.4182716198360847,0.6105187192513716
WT_10__TO__SCA3_01,coupled,0.4826180568808356,0.7288872175646143,0.8878616420816146
WT_10__TO__SCA3_01,drive_late,0.7444082590054257,0.8804454424280694,0.9549462300070182
WT_10__TO__SCA3_04,drive_early,0.12825351297055146,0.29446027408078257,
WT_10__TO__SCA3_04,coupled,0.15968058257686663,0.7016881240231737,
WT_10__TO__SCA3_04,drive_late,0.02485279887964026,0.8406801179043124,
WT_10__TO__SCA3_06,drive_early,0.2060578838618685,0.39313994424818316,0.6587660183081976
WT_10__TO__SCA3_06,coupled,0.5255879006941856,0.7582177925531924,0.8787274134049571
WT_10__TO__SCA3_06,drive_late,0.7389066492298079,0.8628858754555477,0.932789604051091
WT_10__TO__SCA3_09,drive_early,0.1324671750047714,0.5611852169303834,0.8335685717879378
WT_10__TO__SCA3_09,coupled,0.0406666237348734,0.6436057347026478,0.892112823438976
WT_10__TO__SCA3_09,drive_late,0.015574092512603856,0.7928332258407681,0.9278791606223629
WT_13__TO__SCA3_01,drive_early,0.44463061647248403,0.7045861024824105,0.853531348400555
WT_13__TO__SCA3_01,coupled,0.6450328456742362,0.8110409907184932,0.9305072429979651
WT_13__TO__SCA3_01,drive_late,0.7217164229839605,0.8784001111982862,0.9564057436661816
WT_13__TO__SCA3_04,drive_early,0.5478358015015534,0.8193643348878783,
WT_13__TO__SCA3_04,coupled,0.5125386962702573,0.8062684956921916,
WT_13__TO__SCA3_04,drive_late,0.4334226182057296,0.806114973507439,
WT_13__TO__SCA3_06,drive_early,0.3605060061706552,0.5385319354029839,0.6782883563301033
WT_13__TO__SCA3_06,coupled,0.42730366047005136,0.646819903880792,0.8033562833591741
WT_13__TO__SCA3_06,drive_late,0.3648469218640995,0.7320366525057979,0.8755518335220998
WT_13__TO__SCA3_09,drive_early,0.3680398242364702,0.64538701788388,0.8267946605931928
WT_13__TO__SCA3_09,coupled,0.245610082579787,0.4859727595775769,0.7222704201770792
WT_13__TO__SCA3_09,drive_late,0.5524547450378805,0.5641482175668648,0.5741290515834198
WT_14__TO__SCA3_01,drive_early,0.34373623583988205,0.5710225860162645,0.7374244335560349
WT_14__TO__SCA3_01,coupled,0.5493110885681509,0.7129427048905501,0.8772946736565793
WT_14__TO__SCA3_01,drive_late,0.6580273904864842,0.811795153744618,0.932662546873456
WT_14__TO__SCA3_04,drive_early,0.35404275167015625,0.7665421618555575,
WT_14__TO__SCA3_04,coupled,0.5691519738640082,0.819625160134227,
WT_14__TO__SCA3_04,drive_late,0.7128589869341849,0.8699916083989377,
WT_14__TO__SCA3_06,drive_early,0.18093684941351126,0.5645506999606882,0.7190141894727228
WT_14__TO__SCA3_06,coupled,0.3261303562792258,0.6546613003007615,0.8316790761943079
WT_14__TO__SCA3_06,drive_late,0.5649561320169572,0.8052646124437932,0.9100907203747013
WT_14__TO__SCA3_09,drive_early,0.45787880681818866,0.6845017996864287,0.8652209148401662
WT_14__TO__SCA3_09,coupled,0.5335336624360867,0.6882010820077716,0.86622091596513
WT_14__TO__SCA3_09,drive_late,0.5163894806406192,0.7508574890957022,0.889297127506931
WT_16__TO__SCA3_01,drive_early,0.4614830536131299,0.6111963368666014,0.7660589524982098
WT_16__TO__SCA3_01,coupled,0.6537800641001147,0.7997486146133422,0.911946487326166
WT_16__TO__SCA3_01,drive_late,0.7855892962749911,0.8911640116215207,0.9575787906061604
WT_16__TO__SCA3_04,drive_early,0.5816616271605444,0.8011047791612615,
WT_16__TO__SCA3_04,coupled,0.6553998024609957,0.8703024290300594,
WT_16__TO__SCA3_04,drive_late,0.7136922338695076,0.9062956808576164,
WT_16__TO__SCA3_06,drive_early,0.300425547355321,0.496610502154019,0.6625551950134045
WT_16__TO__SCA3_06,coupled,0.48602368184102385,0.7234656642156052,0.865212948061465
WT_16__TO__SCA3_06,drive_late,0.6811892202883978,0.8440710639398372,0.9267305268316552
WT_16__TO__SCA3_09,drive_early,0.5299252222132108,0.7139432264859493,0.861166775059905
WT_16__TO__SCA3_09,coupled,0.4460431170973017,0.6801731052988996,0.8850512764507719
WT_16__TO__SCA3_09,drive_late,0.34293677682994617,0.7542825616094829,0.9273583212242767
