biological_pair_key,both_core_secure,projection,p_intrinsic,dA_dcombined_weighted_median,dA_dkappa_weighted_median,dA_dJ_weighted_median,interaction_gradient_residual_weighted_median
WT_03__TO__SCA3_01,True,active,0.0,,2.444854398039081,-1.999781048297478,
WT_03__TO__SCA3_01,True,active,0.0333333333333333,,2.280361292436994,-2.0076679668802577,
WT_03__TO__SCA3_01,True,active,0.0666666666666666,,2.3594929838220353,-1.9206690767910257,
WT_03__TO__SCA3_01,True,active,0.1,,2.2917302234013968,-1.7950390564824528,
WT_03__TO__SCA3_01,True,active,0.1333333333333333,,2.2397101855826573,-1.6848541511639101,
WT_03__TO__SCA3_01,True,active,0.1666666666666666,,2.2587634152645304,-1.581332511904136,
WT_03__TO__SCA3_01,True,active,0.2,,2.258795159198516,-1.5976925526769548,
WT_03__TO__SCA3_01,True,active,0.2333333333333333,,2.27200002392088,-1.5191142613083575,
WT_03__TO__SCA3_01,True,active,0.2666666666666666,,2.1560167026900006,-1.4107177959655204,
WT_03__TO__SCA3_01,True,active,0.3,,2.1734997735593553,-1.4672517089186319,
WT_03__TO__SCA3_01,True,active,0.3333333333333333,,2.2043133261599195,-1.327887779335517,
WT_03__TO__SCA3_01,True,active,0.3666666666666666,,2.2463201074167936,-1.3853017860833416,
WT_03__TO__SCA3_01,True,active,0.4,,2.154348331625219,-1.4479097878845195,
WT_03__TO__SCA3_01,True,active,0.4333333333333333,,2.0876617837093314,-1.139078080420332,
WT_03__TO__SCA3_01,True,active,0.4666666666666667,,2.2885214841385415,-1.1667248862337367,
WT_03__TO__SCA3_01,True,active,0.5,1.2860166528032118,2.363548451523497,-1.031165987411438,-0.3468122275511709
WT_03__TO__SCA3_01,True,active,0.5333333333333333,1.339050928328939,2.50302982415831,-1.2420968752058463,-0.23149327391321028
WT_03__TO__SCA3_01,True,active,0.5666666666666667,1.5801552404287793,2.6486686850558154,-1.2852755510035183,0.007322658363794976
WT_03__TO__SCA3_01,True,active,0.6,1.245972440959902,2.386915039750401,-1.1301515243246283,-0.010053676496892594
WT_03__TO__SCA3_01,True,active,0.6333333333333333,1.6182680469637638,2.671310249906377,-1.1786447695607805,-0.015141799852691706
WT_03__TO__SCA3_01,True,active,0.6666666666666666,1.6175604207600056,3.1604539986283537,-1.0826409061256916,-0.20763595089557563
WT_03__TO__SCA3_01,True,active,0.7,1.616926069393259,2.852166874561512,-1.2694341283546262,-0.00036962392250761145
WT_03__TO__SCA3_01,True,active,0.7333333333333333,1.5442573702311022,2.722264421674809,-1.0999815174185121,-0.2249776667804837
WT_03__TO__SCA3_01,True,active,0.7666666666666666,1.671364996973788,3.277503191274351,-1.1555065732628735,-0.01699454582835891
WT_03__TO__SCA3_01,True,active,0.8,1.9734295603064815,2.8111778700094554,-1.1957479859888807,-0.00046781953081220795
WT_03__TO__SCA3_01,True,active,0.8333333333333334,1.9069313648043034,3.0801747218822704,-1.1301515243246265,0.005849761162023848
WT_03__TO__SCA3_01,True,active,0.8666666666666667,1.8772123486107903,3.2434134161844694,-1.1957479859888822,-0.0005655438436225069
WT_03__TO__SCA3_01,True,active,0.9,,3.4271116049798342,-1.2694341283546253,
WT_03__TO__SCA3_01,True,active,0.9333333333333332,,3.6353886075909267,-1.6186254320117441,
WT_03__TO__SCA3_01,True,active,0.9666666666666668,,4.250083552749725,-1.667793400833452,
WT_03__TO__SCA3_01,True,active,1.0,,3.8498012541273803,-1.4860302911802539,
WT_03__TO__SCA3_01,True,isi,0.0,,2.035860597674289,-1.6052935148249075,
WT_03__TO__SCA3_01,True,isi,0.0333333333333333,,1.9953730843855235,-1.576083129690794,
WT_03__TO__SCA3_01,True,isi,0.0666666666666666,,1.9868775707376454,-1.4764964655792199,
WT_03__TO__SCA3_01,True,isi,0.1,,2.010369858362927,-1.4025411870075544,
WT_03__TO__SCA3_01,True,isi,0.1333333333333333,,2.020631145903707,-1.3434608209281182,
WT_03__TO__SCA3_01,True,isi,0.1666666666666666,,1.9966293434314266,-1.278184149281954,
WT_03__TO__SCA3_01,True,isi,0.2,,1.9654162587273034,-1.2260220732771736,
WT_03__TO__SCA3_01,True,isi,0.2333333333333333,,1.923864234932738,-1.1851018610601096,
WT_03__TO__SCA3_01,True,isi,0.2666666666666666,,1.9177258929716015,-1.147666132986509,
WT_03__TO__SCA3_01,True,isi,0.3,,1.8925381517984914,-1.1123352456913103,
WT_03__TO__SCA3_01,True,isi,0.3333333333333333,,1.8448365391102433,-0.9823930594475226,
WT_03__TO__SCA3_01,True,isi,0.3666666666666666,,1.8228215789324915,-0.9575323035527624,
WT_03__TO__SCA3_01,True,isi,0.4,,1.8424283241410326,-0.9352462237558181,
WT_03__TO__SCA3_01,True,isi,0.4333333333333333,,1.9204586353889406,-0.9822346933384404,
WT_03__TO__SCA3_01,True,isi,0.4666666666666667,,1.9111600203382724,-0.9008593775450388,
WT_03__TO__SCA3_01,True,isi,0.5,1.2364239695889228,2.0208986393853885,-0.9200017133501606,0.0013684684451944484
WT_03__TO__SCA3_01,True,isi,0.5333333333333333,1.1109936948530783,1.9585169883456497,-0.8913688952248624,0.001922079390604181
WT_03__TO__SCA3_01,True,isi,0.5666666666666667,1.1202192564101812,1.9976373616882983,-0.8745367701065192,-0.007412070200825682
WT_03__TO__SCA3_01,True,isi,0.6,1.1669565091080523,2.041762028967646,-0.8717608226270128,-0.011949231173654984
WT_03__TO__SCA3_01,True,isi,0.6333333333333333,1.3603147000329017,2.209168447988002,-0.8719790033613664,0.00031302745411576627
WT_03__TO__SCA3_01,True,isi,0.6666666666666666,1.3800364949583586,2.151086297269364,-0.8033831252814851,0.0008226102842327502
WT_03__TO__SCA3_01,True,isi,0.7,1.448561433197255,2.732248914192095,-0.8840021272399053,-0.003716335821975224
WT_03__TO__SCA3_01,True,isi,0.7333333333333333,1.4194777615496768,2.504396921813929,-0.7960363064849643,-0.0016526579741649723
WT_03__TO__SCA3_01,True,isi,0.7666666666666666,1.2668698125290245,2.5066911584296365,-0.9178588059745526,-0.004023324028701201
WT_03__TO__SCA3_01,True,isi,0.8,1.575569920048158,2.5321620431458323,-0.8422334827657604,-0.005810310715941567
WT_03__TO__SCA3_01,True,isi,0.8333333333333334,1.6148611022744204,2.55891346629034,-0.901186128597812,-0.0088277933106764
WT_03__TO__SCA3_01,True,isi,0.8666666666666667,1.3985359505364257,2.501934069080452,-1.000818891140086,-0.011097963055276602
WT_03__TO__SCA3_01,True,isi,0.9,,2.677883474753876,-1.0671648595084224,
WT_03__TO__SCA3_01,True,isi,0.9333333333333332,,3.2081479448354298,-1.1349899173583269,
WT_03__TO__SCA3_01,True,isi,0.9666666666666668,,3.373520549571773,-1.282065687507434,
WT_03__TO__SCA3_01,True,isi,1.0,,3.305303849066787,-1.4362799858260258,
WT_03__TO__SCA3_02,False,active,0.0,,1.5561789194537916,-1.9817493171260012,
WT_03__TO__SCA3_02,False,active,0.0333333333333333,,1.6237737740720344,-1.9270922751440853,
WT_03__TO__SCA3_02,False,active,0.0666666666666666,,1.602695982531227,-1.8163616870226456,
WT_03__TO__SCA3_02,False,active,0.1,,1.5085559487147633,-1.7200460593231113,
WT_03__TO__SCA3_02,False,active,0.1333333333333333,,1.63847605362999,-1.640114775915473,
WT_03__TO__SCA3_02,False,active,0.1666666666666666,,1.5209337590322227,-1.5380244230928153,
WT_03__TO__SCA3_02,False,active,0.2,,1.533484600222892,-1.4575165220234823,
WT_03__TO__SCA3_02,False,active,0.2333333333333333,,1.4320863188350472,-1.5935708532830513,
WT_03__TO__SCA3_02,False,active,0.2666666666666666,,1.4189117201305068,-1.4738144753404754,
WT_03__TO__SCA3_02,False,active,0.3,,1.4383792726939475,-1.3255987091834476,
WT_03__TO__SCA3_02,False,active,0.3333333333333333,,1.4636415850311857,-1.1620242080192256,
WT_03__TO__SCA3_02,False,active,0.3666666666666666,,1.4097828671483268,-1.078390888270211,
WT_03__TO__SCA3_02,False,active,0.4,,1.3451206858208538,-1.0576319226519129,
WT_03__TO__SCA3_02,False,active,0.4333333333333333,,1.3762030632895939,-0.8331297807984197,
WT_03__TO__SCA3_02,False,active,0.4666666666666667,,1.2347625732320222,-0.8166223522355966,
WT_03__TO__SCA3_02,False,active,0.5,0.37775816567570114,1.2637972074508848,-0.8206875593725232,0.0
WT_03__TO__SCA3_02,False,active,0.5333333333333333,0.5003187426482696,1.2788071718936371,-0.8086116072543738,-0.0005252621116693668
WT_03__TO__SCA3_02,False,active,0.5666666666666667,0.48324388981066435,1.2823371165435888,-0.7531984973907873,-3.552713678800496e-15
WT_03__TO__SCA3_02,False,active,0.6,0.6237022528735989,1.2258478895798053,-0.8730490360518842,-3.1086244689504383e-15
WT_03__TO__SCA3_02,False,active,0.6333333333333333,0.5485175839779184,1.3394134947064975,-0.8149657120574079,-1.2434497875801753e-14
WT_03__TO__SCA3_02,False,active,0.6666666666666666,0.6481286069149262,1.167212655753765,-0.6704955439174051,-0.00024237308313274086
WT_03__TO__SCA3_02,False,active,0.7,0.7194033833926705,1.3654573849218676,-0.7636649355403982,-0.00025470174454050865
