biological_pair_key,both_core_secure,projection,stage,A_threshold,median_abs_delta_combined_weighted_median,median_abs_delta_kappa_weighted_median,median_abs_delta_J_weighted_median,median_abs_interaction_weighted_median,median_signed_interaction_weighted_median,scenario_support_with_band
WT_03__TO__SCA3_01,True,active,SCA3_entry,0.6832817402871161,0.23581930945765467,0.3227344902920472,0.20192196506614546,0.04420766848552904,-0.04420766848552904,1.0
WT_03__TO__SCA3_01,True,active,WT_exit,0.1483293470542087,0.2172563698357245,0.5609990384615606,0.30117830442146953,0.08025830405513455,-0.11045979368637049,1.0
WT_03__TO__SCA3_01,True,active,balance,0.5,0.28640899997823943,0.4365220238657227,0.21016297998270284,0.04977106685822982,-0.04977106685822982,1.0
WT_03__TO__SCA3_01,True,isi,SCA3_entry,0.7978563373093712,0.18680583379974758,0.23322067825138304,0.08393179757831504,0.03120710414234848,-0.012334326297155071,1.0
WT_03__TO__SCA3_01,True,isi,WT_exit,0.1358293233470019,0.1574369858337954,0.3862086163939831,0.17081575108657648,0.06509892840770679,-0.06509892840770679,1.0
WT_03__TO__SCA3_01,True,isi,balance,0.5,0.24104874301567242,0.36054916031449435,0.13840468505000347,0.03681459172914703,-0.02570289664074965,1.0
WT_03__TO__SCA3_02,False,active,SCA3_entry,0.6832817402871161,0.23491359619882596,0.2784844438753338,0.13181664748826705,0.04026025854757698,-0.03320521936529053,0.9285714285714286
WT_03__TO__SCA3_02,False,active,WT_exit,0.1483293470542087,0.27581468909035056,0.21646773134323688,0.2045319591807313,0.031171137880857555,-0.010875898886166038,1.0
WT_03__TO__SCA3_02,False,active,balance,0.5,0.17800110678966224,0.1802008616903903,0.08228856437104233,0.04155977352220758,-0.007832986637579448,0.9642857142857143
WT_03__TO__SCA3_02,False,isi,SCA3_entry,0.7978563373093712,0.31305405546977993,0.23249680212634424,0.1317120056434783,0.02267067020581015,-0.0028965103004747195,0.9285714285714286
WT_03__TO__SCA3_02,False,isi,WT_exit,0.1358293233470019,0.19385858981828716,0.16339430313286407,0.11155158931584616,0.021513286759416626,-0.009380651263424397,1.0
WT_03__TO__SCA3_02,False,isi,balance,0.5,0.11441924575309562,0.11575828973519034,0.06205487823650274,0.00887143345641811,-0.002582254735979339,0.9642857142857143
WT_03__TO__SCA3_04,True,active,SCA3_entry,0.6832817402871161,0.08689366816552394,0.27468458132675655,0.19657840220415038,0.0611494305792008,-0.034643192806424625,1.0
WT_03__TO__SCA3_04,True,active,WT_exit,0.1483293470542087,0.17906082421451314,0.5060564240587574,0.2429134354692068,0.08044140771242747,-0.08044140771242747,0.9583333333333335
WT_03__TO__SCA3_04,True,active,balance,0.5,0.13486394567845233,0.2647213893747539,0.22448423892795183,0.06861974922441516,-0.057017584624568754,0.9583333333333335
WT_03__TO__SCA3_04,True,isi,SCA3_entry,0.7978563373093712,0.09076162326591569,0.12487771295459538,0.06557096580889504,0.05088011256459868,-5.332330595331225e-05,0.8333333333333335
WT_03__TO__SCA3_04,True,isi,WT_exit,0.1358293233470019,0.048879726678439296,0.29752362605337174,0.13710553007406026,0.02540353606818323,-0.01618810061039057,1.0
WT_03__TO__SCA3_04,True,isi,balance,0.5,0.09939931534590507,0.21907162934525964,0.12814882329639618,0.031698573656059825,-0.01441794753461667,0.9583333333333335
WT_03__TO__SCA3_05,False,active,SCA3_entry,0.6832817402871161,0.1365873423351408,0.13975956469449424,0.14973551581327915,0.020530858329652513,-0.008164911577472289,0.7857142857142857
WT_03__TO__SCA3_05,False,active,WT_exit,0.1483293470542087,0.22697741445155784,0.21919104811240486,0.15418216305080795,0.01780484157588727,-0.010292215461234211,1.0
WT_03__TO__SCA3_05,False,active,balance,0.5,0.10813870756497135,0.13897293036860958,0.13124000323521726,0.02517484982359372,-0.015791094340698975,1.0
WT_03__TO__SCA3_05,False,isi,SCA3_entry,0.7978563373093712,0.16015930496122954,0.1173235898478564,0.052865588478190007,0.03223332189165673,0.0013012799208079807,0.6785714285714286
WT_03__TO__SCA3_05,False,isi,WT_exit,0.1358293233470019,0.09814003211471084,0.18005729429213863,0.1032906771382642,0.009551120931344803,-0.003483664332184694,1.0
WT_03__TO__SCA3_05,False,isi,balance,0.5,0.07846304751037708,0.10942680326881699,0.06861676825820481,0.010744596517700988,-0.0027991786004697428,1.0
WT_03__TO__SCA3_06,True,active,SCA3_entry,0.6832817402871161,0.12486343280831391,0.28641947181903943,0.15759493471738045,0.049290284159115516,-0.06269651468899551,1.0
WT_03__TO__SCA3_06,True,active,WT_exit,0.1483293470542087,0.24388376707955622,0.5750444943340332,0.304377401576275,0.10447821858370263,-0.1706251221741853,1.0
WT_03__TO__SCA3_06,True,active,balance,0.5,0.19478287595491967,0.37966895352955277,0.2236377776787476,0.0739685055608906,-0.07886397973776899,1.0
WT_03__TO__SCA3_06,True,isi,SCA3_entry,0.7978563373093712,0.23977502112984939,0.3299047411499038,0.1369582233342445,0.05864065716024652,-0.04637208791736047,1.0
WT_03__TO__SCA3_06,True,isi,WT_exit,0.1358293233470019,0.40384020659510095,0.5206068994521253,0.14864608402795643,0.03801341539900693,-0.11350856222021954,1.0
WT_03__TO__SCA3_06,True,isi,balance,0.5,0.17807488013503991,0.3372740640385022,0.13365733939703817,0.031052065565564446,-0.05864777567973678,1.0
WT_03__TO__SCA3_09,True,active,SCA3_entry,0.6832817402871161,0.1511538167262487,0.19858552983285113,0.04991513460408663,0.024529669497438615,-0.008259062161752154,0.8333333333333334
WT_03__TO__SCA3_09,True,active,WT_exit,0.1483293470542087,0.2271161549179781,0.3154980901477717,0.13600277291684518,0.04151198523946438,-0.023504529795361898,1.0
WT_03__TO__SCA3_09,True,active,balance,0.5,0.1697459043249726,0.18844315214285523,0.06923642115335729,0.027581030555523925,-0.023136611725721543,0.9166666666666667
WT_03__TO__SCA3_09,True,isi,SCA3_entry,0.7978563373093712,0.22301435010809195,0.18291532464098226,0.055603579579641786,0.028869758727938732,-0.006577372574868346,0.8333333333333334
WT_03__TO__SCA3_09,True,isi,WT_exit,0.1358293233470019,0.1759096981121834,0.21355189408771177,0.10030329471642438,0.04535354213020352,-0.008630419683583964,1.0
WT_03__TO__SCA3_09,True,isi,balance,0.5,0.16820767728829822,0.10400127199577337,0.05577319271453203,0.024868531329688533,-0.00404975797626473,1.0
WT_04__TO__SCA3_01,True,active,SCA3_entry,0.6832817402871161,0.30155976083994446,0.35476602992054146,0.17153402439259563,0.044532770533476165,-0.058861977974988766,1.0
WT_04__TO__SCA3_01,True,active,WT_exit,0.1483293470542087,0.16035692034468635,0.3907386188373244,0.26820894532507233,0.018760862282002043,-0.0254709367128311,1.0
WT_04__TO__SCA3_01,True,active,balance,0.5,0.26467048858567804,0.4180561494444397,0.1761930868047598,0.03090019339457017,-0.03150890794228276,1.0
WT_04__TO__SCA3_01,True,isi,SCA3_entry,0.7978563373093712,0.3424699264214817,0.23392683951969173,0.14546773337120938,0.025157089539178498,-0.025157089539178508,1.0
WT_04__TO__SCA3_01,True,isi,WT_exit,0.1358293233470019,0.1500573099851456,0.424067069172858,0.23934492272322513,0.013504088170459248,-0.014352945614547315,1.0
WT_04__TO__SCA3_01,True,isi,balance,0.5,0.2519619176095058,0.3976170177008503,0.1445898742470189,0.021262954078245053,-0.027906611634833628,1.0
WT_04__TO__SCA3_02,False,active,SCA3_entry,0.6832817402871161,0.1720926900589896,0.11867993842065334,0.24240040789308467,0.032113493925254276,-0.01094224233809583,0.9523809523809523
WT_04__TO__SCA3_02,False,active,WT_exit,0.1483293470542087,0.20116339633636013,0.307511008099143,0.2082800875541733,0.026838541502469327,-0.014400095731194319,1.0
WT_04__TO__SCA3_02,False,active,balance,0.5,0.17570598282308267,0.15088362790937296,0.22435666091178974,0.04353326125573508,-0.013039103162086747,0.9761904761904762
WT_04__TO__SCA3_02,False,isi,SCA3_entry,0.7978563373093712,0.33168920385206485,0.09423318098689622,0.2554888239338932,0.043487206107897414,-0.005159033645287886,0.9047619047619049
WT_04__TO__SCA3_02,False,isi,WT_exit,0.1358293233470019,0.19920265590812833,0.20310180476630013,0.2117284396699627,0.018161582576216927,-0.0074614003009740954,1.0
WT_04__TO__SCA3_02,False,isi,balance,0.5,0.13927191073611708,0.10873943719922903,0.11985783860579423,0.01896998904174324,-0.008833720315076428,0.9523809523809523
WT_04__TO__SCA3_04,True,active,SCA3_entry,0.6832817402871161,0.28535073833578717,0.5117648899394112,0.4094116261931841,0.09701276012738624,-0.08564323128579374,0.9722222222222222
