subset,mode,p_intrinsic,projection,stage,A_threshold,n_biological_pairs_total,n_pairs_with_marker,pair_marker_fraction,n_pairs_support_ge_0_5,pair_majority_support_fraction,median_pair_crossing_support_weight,median,q25,q75,median_majority_support
all_pairs,J_only,0.0,active,SCA3_entry,0.6832817402871161,72,6,0.08333333333333333,6,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0,active,WT_exit,0.1483293470542087,72,12,0.16666666666666666,12,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0,active,balance,0.5,72,6,0.08333333333333333,6,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0,isi,SCA3_entry,0.7978563373093712,72,6,0.08333333333333333,0,0.0,0.0,0.0,0.0,0.0,
all_pairs,J_only,0.0,isi,WT_exit,0.1358293233470019,72,12,0.16666666666666666,12,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0,isi,balance,0.5,72,6,0.08333333333333333,6,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0333333333333333,active,SCA3_entry,0.6832817402871161,72,13,0.18055555555555555,6,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0333333333333333,active,WT_exit,0.1483293470542087,72,38,0.5277777777777778,15,0.20833333333333334,0.04861111111111111,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0333333333333333,active,balance,0.5,72,19,0.2638888888888889,6,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0333333333333333,isi,SCA3_entry,0.7978563373093712,72,11,0.1527777777777778,0,0.0,0.0,0.0,0.0,0.0,
all_pairs,J_only,0.0333333333333333,isi,WT_exit,0.1358293233470019,72,41,0.5694444444444444,20,0.2777777777777778,0.06904761904761902,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0333333333333333,isi,balance,0.5,72,18,0.25,6,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
all_pairs,J_only,0.0666666666666666,active,SCA3_entry,0.6832817402871161,72,29,0.4027777777777778,6,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
