subset,p_intrinsic,p_component,n_biological_pairs,delta_isi_combined_median,delta_isi_combined_q25,delta_isi_combined_q75,delta_isi_kappa_median,delta_isi_kappa_q25,delta_isi_kappa_q75,delta_isi_J_median,delta_isi_J_q25,delta_isi_J_q75,interaction_isi_median,interaction_isi_q25,interaction_isi_q75,delta_active_combined_median,delta_active_combined_q25,delta_active_combined_q75,delta_active_kappa_median,delta_active_kappa_q25,delta_active_kappa_q75,delta_active_J_median,delta_active_J_q25,delta_active_J_q75,interaction_active_median,interaction_active_q25,interaction_active_q75
all_pairs,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_pairs,0.0,0.1,72,-0.088599886408694,-0.1336731284193908,-0.03783488985129268,0.11162483463611506,0.05188283572447333,0.186929521329822,-0.18763446225603875,-0.2506161782027492,-0.1315807522864981,-0.015098913184415209,-0.04308527920272463,-0.0031800431532476832,-0.13429509395603406,-0.19290214906873518,-0.06689965502696059,0.12748588687731505,0.051246518314918076,0.22291193155530276,-0.2586734161552616,-0.34909354515963603,-0.1767508995495376,-0.020772223905609066,-0.04638187621469078,-0.006718239796395793
all_pairs,0.0,0.2,72,-0.11208026521873457,-0.1854579096242112,-0.02343755553627295,0.2055331845885217,0.08321989724115132,0.3835114644538634,-0.31572024456197534,-0.4115695639141181,-0.21692593150669062,-0.05392077905442408,-0.13801839030165217,-0.013441355168608882,-0.20502200835165904,-0.3044769842287389,-0.0998077595805942,0.26811442085885107,0.10744552262067888,0.4919804324220851,-0.43474089612842237,-0.5742945283398481,-0.3196088875247849,-0.06920694335663546,-0.19039551546883143,-0.018108929200915502
all_pairs,0.0,0.3,72,-0.12357232197364397,-0.2207836070355707,-0.029580846563684652,0.2552675885313046,0.08150498111196142,0.5123110696232311,-0.41755740038866423,-0.5321206535827867,-0.30321686626681205,-0.051059178492404995,-0.15860085627184572,-0.012345982357235219,-0.23907228252266127,-0.38981151841824846,-0.11049585704402982,0.2817898535227082,0.08662530334114643,0.6786740840903781,-0.5585109118099967,-0.7277680935877686,-0.42170040043745693,-0.07971653239925858,-0.415833783290378,-0.021983050588326704
all_pairs,0.0,0.3333333333333333,72,-0.11861090931832605,-0.22769138520349697,-0.017221706455772413,0.23892855663726467,0.049378705576748935,0.532346141188828,-0.44693235507356804,-0.565312427483083,-0.3208815630719392,-0.052220441769228576,-0.180219897211219,-0.009038067682689999,-0.23683213565782613,-0.39129820329077847,-0.08602605369298598,0.2806861950920483,0.05735805807833143,0.7123109568506423,-0.604852742028813,-0.7767876817670627,-0.4560938933835568,-0.06789492095889504,-0.4511476410877301,-0.017191055419474854
all_pairs,0.0,0.4,72,-0.11303676607873583,-0.23780439405231546,0.009916483420025182,0.193243571334425,-0.0008133427618667588,0.5468535916494172,-0.5009436171872115,-0.6256244920106917,-0.3645722557938704,-0.06934933413547942,-0.19965894807553794,-0.011084291974015144,-0.225148444759581,-0.4317265509513725,-0.05860563851968083,0.2656921319955585,0.030106166061439496,0.8193594644926341,-0.6757602520731427,-0.8546285168072093,-0.5166457839233043,-0.09376779248227239,-0.48411654602119913,-0.02108961634874748
all_pairs,0.0,0.4666666666666667,72,-0.12622881765444427,-0.27324470420468683,0.042321142929307255,0.2093531067466014,-0.02095244329723192,0.47894531884596525,-0.5507068815330715,-0.6789417005520532,-0.4049009022400431,-0.08306614815998939,-0.18713937482815524,-0.012153424707510133,-0.24720235064248144,-0.4879654462266182,-0.057532278436271275,0.26952144074669426,-0.004350162304916694,0.7515483231306385,-0.7502184938195768,-0.922666306757417,-0.5795523502790927,-0.1059635298821826,-0.44949015827602057,-0.01681078679304354
all_pairs,0.0,0.5,72,-0.12118943640040475,-0.2756927557816131,0.0790374529950452,0.19555261498373203,-0.024306368257350094,0.447765763097129,-0.5735252842848655,-0.7037392770157166,-0.42532271415695616,-0.07974706025404615,-0.19000443295667052,-0.007761794615286808,-0.2394971410826246,-0.5026049536836467,-0.025669026989229588,0.2454342002958867,-0.02233092488337287,0.6639442685693749,-0.7641125169676755,-0.9488788384857401,-0.6063779249504936,-0.11772234692712752,-0.43875699904746723,-0.01284307327042226
all_pairs,0.0,0.5333333333333333,72,-0.11527802135607171,-0.26653650355957237,0.12496498263834471,0.19001928604710477,-0.042609938883356555,0.4509921599789213,-0.5946968672845259,-0.7274423173348021,-0.4386751659675871,-0.06731475515211957,-0.15321762634662894,-0.007821760200837913,-0.23107450654341127,-0.5025590043429218,-0.01589146573120487,0.245360728930426,-0.03508112007031674,0.6361128866992533,-0.8000046883699624,-0.9784613821501278,-0.62113915776534,-0.08875522757748244,-0.2892699000404083,-0.007865769344023638
all_pairs,0.0,0.5666666666666667,72,-0.10418901128898557,-0.271009858219351,0.18262212132941086,0.18893346218895085,-0.05389618264349005,0.4117511850822755,-0.6147247731016254,-0.7499425629485174,-0.45945022219128867,-0.06008865103957045,-0.16404995578137305,-0.007843610974319543,-0.2236488130358254,-0.4997575151679259,0.002336993006252029,0.2548227550019287,-0.05484939676209319,0.6576803675989464,-0.8226601231236186,-1.010490438160244,-0.6457354369739705,-0.08568503673356664,-0.264675243610914,0.003706132143923376
all_pairs,0.0,0.6,72,-0.09121197049903934,-0.2799976191581298,0.1279586794623789,0.16905798890148147,-0.07307907132157523,0.4114394782114052,-0.6339306938424834,-0.7713759968546814,-0.4667138199932256,-0.049717934544551146,-0.12994704872010798,-0.003652053571697844,-0.2209167977383812,-0.4718005327117846,0.02340716992242302,0.21822554947546502,-0.08042290625315421,0.5833814912719447,-0.8466722450010145,-1.0348934085313917,-0.668022705567546,-0.07559224285995982,-0.2219952473214295,0.009153118104624325
all_pairs,0.0,0.6333333333333333,72,-0.08005948084323167,-0.2747925186463251,0.15339148689276327,0.15038062950672865,-0.08221833886656656,0.3742978865747305,-0.6524288797630453,-0.7918187063901962,-0.4823800597936343,-0.036201807685784224,-0.13273906459928342,0.0005803351249857869,-0.2130411642607919,-0.47790845544641286,0.07425767441221856,0.2096787611336078,-0.09656270404677969,0.5364586151485895,-0.8772094079303907,-1.05812742568761,-0.6900820128421572,-0.08166036032264015,-0.19912458137956834,0.013131908611535792
all_pairs,0.0,0.6666666666666666,72,-0.08282344148551887,-0.3023821971559094,0.17785962636887478,0.1558265304933918,-0.09053513834173343,0.3467533960035384,-0.6701979768031018,-0.8113480922495309,-0.5082102150173421,-0.031131425767900178,-0.1409428855990518,0.005309339242376809,-0.23812125668319287,-0.47994492905409636,0.09326129700903135,0.19727106632023828,-0.12255354352692949,0.47926928688303205,-0.8895807029714526,-1.0872055223857635,-0.7113170477791274,-0.05759775169047421,-0.2110196704698053,0.020858247100645155
all_pairs,0.0,0.7,72,-0.0706227170310763,-0.3098726900392001,0.20350263505728852,0.16258265852945286,-0.09640339513154345,0.39264695008601047,-0.6872978785806101,-0.8300402337536199,-0.5120948560674863,-0.039944327592265225,-0.13783740232973668,-0.006437158523958375,-0.2349587817177016,-0.5956801910829328,0.11297648630963264,0.20053611001167726,-0.12331116678036882,0.48726976525472815,-0.9185843071563211,-1.109993513395195,-0.7323696607292116,-0.05629495653452708,-0.2213553874216107,0.005235270704711387
all_pairs,0.0,0.7333333333333333,72,-0.06503882517091794,-0.3100143663782632,0.22582963462979908,0.1520358834547363,-0.09947676186476245,0.35980745831502464,-0.7037634970730012,-0.8479528884749672,-0.5263957000932009,-0.04306688310444977,-0.14872384265731492,-0.008316414895186808,-0.2268219519516182,-0.6030291310586483,0.15890777680195345,0.196679647579999,-0.13475765534287867,0.4535344306538327,-0.9398476556758406,-1.1425481978245533,-0.7526477578602164,-0.060266176646830774,-0.23392611645069775,0.005910805720182266
all_pairs,0.0,0.7666666666666666,72,-0.06269514414678967,-0.4044201306479228,0.25511041629716297,0.11112584939842304,-0.1821173628418658,0.3419925553704869,-0.7197557775804742,-0.8651064549268948,-0.5524121203798471,-0.043530752312707865,-0.1430543141804773,-0.009730143481854414,-0.22892559525960215,-0.6112380632977678,0.17107216021548616,0.17536437809867203,-0.2003861220980459,0.41392548276482855,-0.9552163110545826,-1.1528429689028121,-0.7727819693416099,-0.05248094131389419,-0.21934601171044887,0.01821616756148936
all_pairs,0.0,0.8,72,-0.04625288687582743,-0.40739563740824813,0.29159520442646364,0.11327420354730558,-0.18997936549816097,0.30917133830781873,-0.735170077229095,-0.8813013977629254,-0.5536040046512636,-0.029615818741292106,-0.14096424750496686,0.01294942068418678,-0.22216050882538563,-0.6137927528280025,0.18556896134584475,0.16732883929495662,-0.2021500373001512,0.40236290701771493,-0.9801948894588531,-1.1888941302382996,-0.7910114248728003,-0.044362816818311834,-0.17856246318218919,0.01826143086801313
all_pairs,0.0,0.8333333333333334,72,-0.034925943760876196,-0.40736820493046183,0.32521259352258775,0.10777984065059432,-0.1974568561563703,0.3245251014035845,-0.749979345479421,-0.8968923351351792,-0.5665734814170361,-0.04252106490566072,-0.1301707846285587,-0.003233981659444357,-0.21084872592472664,-0.6163730898490934,0.23273580118663606,0.18059066784339833,-0.21072615832830222,0.41948720441257586,-1.0044934774684573,-1.2085275125240218,-0.8096756695720466,-0.05003247325280702,-0.17547505596690435,0.028346606954226444
all_pairs,0.0,0.8666666666666667,72,-0.022549590233706417,-0.40523087214845893,0.34973126075747535,0.1105592317787352,-0.24078015497256408,0.3385774189538516,-0.7643092866898611,-0.9118888662224273,-0.5791959087288717,-0.03457651197635898,-0.11081227207008673,0.015516561014886784,-0.1980510203858208,-0.6468944352002814,0.24984735337726416,0.13408483419611328,-0.2141661287486364,0.4111478139407573,-1.0124950972931879,-1.2314078756411906,-0.8281007171535752,-0.043424914942367804,-0.18104374727471845,0.02303013978184848
all_pairs,0.0,0.9,72,-0.07350538681004463,-0.4567650391187311,0.3862593452621623,0.10738741916571651,-0.2516739606937078,0.3525303846375645,-0.7783940925075441,-0.9263567274457809,-0.5989877588199933,-0.029697583668148925,-0.12137413038584025,0.016815571934079704,-0.19136161353654746,-0.7389642576091758,0.2991884204227662,0.1366337293004078,-0.21594285707932448,0.42052272893468334,-1.0359795668179996,-1.2517461277412751,-0.8387761102328426,-0.05049051128385103,-0.1782828014488183,0.027808914597024142
all_pairs,0.0,1.0,72,-0.00902043537434693,-0.4410536129765702,0.29192815996305915,0.10563818332193675,-0.2788178254603808,0.32218456826246983,-0.8178522878314547,-0.9668058613280631,-0.6262140373760352,-0.033261414544375534,-0.14383893697897487,0.0003656906487693476,-0.08133245803602299,-0.5994760568140272,0.2660264925796772,0.13607857619212135,-0.3026517496957651,0.43455290527397855,-1.0885615618738604,-1.3046232682425656,-0.8887674570721407,-0.04662061803354322,-0.1922307651448633,0.0678166298818138
all_pairs,0.1,0.0,72,0.0753987836145547,0.012871158599401964,0.12442599957664388,-0.13937777187657147,-0.19355974782225657,-0.07749181468771442,0.20808364282212666,0.15226935810623252,0.28394210148334553,-0.02182466700477957,-0.03822820955360154,-0.007677831945737066,0.1375099505167146,0.04442399765063637,0.19910197074454225,-0.16033247610078508,-0.22611151550231867,-0.09177190228941651,0.29569209584977596,0.21044225538214872,0.42713514563191346,-0.0285298656371933,-0.05577781426799454,-0.011787039700140063
all_pairs,0.1,0.1,72,0.0,0.0,0.0,0.0,0.0,0.0,-3.5694474238852304e-05,-0.0002618148761542107,7.85062651894283e-05,-0.0001013074315506721,-0.0003922039732339942,1.7719517164899055e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.9829829748959064e-05,-0.00019322651861977675,4.8377965000158376e-05,-6.15611329544026e-05,-0.0002894572281378298,1.3077486901068475e-05
all_pairs,0.1,0.2,72,-0.039614914956893565,-0.08630852961409917,0.004104671919973289,0.12409324372086505,0.05570088717900102,0.18649929120763373,-0.15696382637711134,-0.19572973599977211,-0.11865491293709067,-0.013177115954515019,-0.023620546283876637,-0.0046004512342128325,-0.0755165534378066,-0.13982835872370084,-0.019886320580390963,0.13065740162059442,0.06484213810689793,0.21045573481842167,-0.2093701823700651,-0.2711367390054618,-0.16674014623622702,-0.01868508474727465,-0.03399410560108572,-0.009215973539130938
all_pairs,0.1,0.3,72,-0.049205686076800696,-0.1318171268192409,0.04033145594738875,0.2501521287462264,0.10725330115922614,0.3727070710862344,-0.2716223294616539,-0.33385029532345584,-0.21158536090117505,-0.04155080209878819,-0.09232749862656826,-0.01175607464887888,-0.10350793148071755,-0.22821920700578088,0.0023534187462265765,0.2815775716318704,0.13151367522606489,0.4783140622578138,-0.36461641893994096,-0.45604214033397417,-0.29286423563580566,-0.05023509927934641,-0.1262923629331522,-0.016188445058741677
all_pairs,0.1,0.3333333333333333,72,-0.04616430812327545,-0.14948604304406743,0.06500196434221359,0.27620408059171553,0.12251002988392116,0.44186970617725607,-0.30544852901606767,-0.37144265675590865,-0.24084945386004675,-0.0533210965927078,-0.11127718196131858,-0.02364742806421047,-0.10845822945806533,-0.2518693968682985,0.01590735125115523,0.3396535757551563,0.1510106522514583,0.5859591491755133,-0.4029782721995314,-0.5086391456882056,-0.3280303357163743,-0.07177346364629777,-0.17045640724176436,-0.02145949279105068
all_pairs,0.1,0.4,72,-0.03239464863573045,-0.16812434360134337,0.11977968415922975,0.3440537372732366,0.1271248974656156,0.5661066107626027,-0.3658085135778658,-0.4384184321452617,-0.28303572200232313,-0.07628158798031351,-0.17735871099771586,-0.026228582970892797,-0.10744590126338105,-0.29499806384803706,0.06477787719304022,0.41084331174871214,0.17503541199380684,0.8060775556609974,-0.48522409301609304,-0.6020039687472978,-0.39707630199120847,-0.10587856232107598,-0.37195590516707905,-0.028978093253395808
all_pairs,0.1,0.4666666666666667,72,-0.01251302978625941,-0.18963535765360742,0.16153181255864604,0.39135257925367517,0.15254560894558386,0.5900417226893941,-0.4195050989418698,-0.4967220477820842,-0.3284046575293152,-0.09264016213797077,-0.2194119801646447,-0.02595261900769449,-0.09921034993819805,-0.3215058632382588,0.12398247940959489,0.4562215586508195,0.16527096184874226,1.0485127242537202,-0.5533755567837807,-0.6818055576011546,-0.46092549818663975,-0.1380053228073733,-0.7015688912934608,-0.03574772149540513
all_pairs,0.1,0.5,72,-0.0011516460165866447,-0.19091620596166353,0.1819375586058622,0.4188808579278366,0.16433645505880706,0.6419906395260178,-0.44431596867222434,-0.5241037940880505,-0.34798516798263324,-0.10750167087808554,-0.17131346167383193,-0.03204665500087279,-0.08701975646094273,-0.33684002003380953,0.15263824944843285,0.4936109696871567,0.1856574395446218,1.166789588801806,-0.5863761100894846,-0.7185231475590647,-0.48858824592009015,-0.1688364543263947,-0.871799791145854,-0.04519790152864746
all_pairs,0.1,0.5333333333333333,72,-0.0073481086285561575,-0.18400962963637557,0.19784862868869385,0.45000523206982745,0.1660187454016437,0.6665850373514329,-0.4678208012953164,-0.5499724169839935,-0.3681306707848429,-0.1079254495203319,-0.24176464917358406,-0.028227537315950478,-0.0864717579110083,-0.34551313337316525,0.17432850049734844,0.4969078184004191,0.20256351429187647,1.1053893359214544,-0.6157554138256787,-0.7509649056569005,-0.5187367164585852,-0.19534529219126953,-0.7160115527403783,-0.049449240040848594
