subset,projection,stage,A_threshold,n_biological_pairs,median_abs_delta_combined_median,median_abs_delta_combined_q25,median_abs_delta_combined_q75,median_abs_delta_kappa_median,median_abs_delta_kappa_q25,median_abs_delta_kappa_q75,median_abs_delta_J_median,median_abs_delta_J_q25,median_abs_delta_J_q75,median_abs_interaction_median,median_abs_interaction_q25,median_abs_interaction_q75,median_signed_interaction_median,median_signed_interaction_q25,median_signed_interaction_q75,scenario_support_with_band_median
all_pairs,active,SCA3_entry,0.6832817402871161,72,0.23644787581889,0.16346771655636128,0.3311411837740855,0.34487186245900975,0.19711782187949559,0.5132578412137322,0.24322275233283314,0.1858300440437629,0.3450861409078227,0.06706903020520164,0.0318614086002702,0.11595225117288749,-0.08027727902793635,-0.15867538868334147,-0.03438334095172738,1.0
all_pairs,active,WT_exit,0.1483293470542087,72,0.21240382820042755,0.153667126895491,0.2707451330720925,0.35948130974525483,0.2279114551857017,0.5127016422095065,0.2705325592053057,0.18609227184437976,0.3613003907188841,0.036722912609840536,0.022827197706691046,0.07992070420701823,-0.03868760854209153,-0.08090839117625562,-0.012954970818864623,1.0
all_pairs,active,balance,0.5,72,0.2294245566632327,0.1689354465182457,0.344339927074697,0.35563331992780745,0.18200845849615102,0.5144949254012808,0.2433180569263823,0.17158400538331955,0.31764366348880513,0.05405421035769596,0.03275753810567922,0.09194945703838012,-0.05862263348387638,-0.09388132059586411,-0.028572213783136742,1.0
all_pairs,isi,SCA3_entry,0.7978563373093712,72,0.18704773642702352,0.13086267554093642,0.33376803810106803,0.23971164152728294,0.1418706513409188,0.3442507012141043,0.1621114745233499,0.12263045423481062,0.21314894787401814,0.04560517641462203,0.02857519020108633,0.06317777178759285,-0.01579704970095107,-0.04435471955442341,-0.0017955986179144512,1.0
all_pairs,isi,WT_exit,0.1358293233470019,72,0.15950696293385114,0.11970672882853207,0.23937228009499106,0.2973970779996229,0.17686680345017586,0.37267156640415283,0.19628011456097583,0.14499436037511249,0.25162483741243397,0.024167027426358123,0.015088163555269882,0.045388456254902405,-0.01625965087188839,-0.040912812141582655,-0.006912698366065916,1.0
all_pairs,isi,balance,0.5,72,0.17702868417239842,0.1140793575726147,0.24377703666413075,0.20438269209031762,0.11954886987500103,0.3622433742927174,0.14236890281427983,0.111761728577901,0.1835339232825204,0.035597717566770035,0.019093230504924022,0.048808379700731624,-0.016871148446125743,-0.0390934584248407,-0.0077998455110787875,1.0
core_secure_pairs,active,SCA3_entry,0.6832817402871161,32,0.21888150255934763,0.14830092448505278,0.3045159892784416,0.357561910610561,0.2767434972859395,0.5256506827952215,0.22320520898542967,0.16782646811576926,0.3182804679968382,0.0580567958706105,0.029358985838328158,0.1129881167175663,-0.08887931275403607,-0.1560059259825053,-0.035447742379198725,1.0
core_secure_pairs,active,WT_exit,0.1483293470542087,32,0.21483009901807604,0.1338665101198991,0.24933171957312578,0.39054734723020457,0.32142587551831736,0.4900106547745357,0.28251489161234045,0.22661228860235097,0.3612469795810819,0.05578701335291598,0.030904886753348786,0.08059706886703685,-0.07182834990726703,-0.09708818233232877,-0.039831957995672296,1.0
core_secure_pairs,active,balance,0.5,32,0.22279758309078385,0.17632912209558452,0.29505992776165985,0.4086212247792912,0.2626013795364667,0.5214412657065515,0.24524666394814032,0.19002247904622294,0.2948499347250292,0.057469245820137294,0.03007040268480861,0.08645152285323758,-0.059815922550253274,-0.09097902926538762,-0.03780356913462729,1.0
core_secure_pairs,isi,SCA3_entry,0.7978563373093712,32,0.17546043288368623,0.12355059014583775,0.24442624923473835,0.2780706202769859,0.16706661830323546,0.43406230604773094,0.15134206672774367,0.07529532885017112,0.1941776283496836,0.03283279497401673,0.01810607156696721,0.05993652160299308,-0.022195520974657827,-0.05209050029997312,-0.006757977112381533,1.0
core_secure_pairs,isi,WT_exit,0.1358293233470019,32,0.14851483242627522,0.11724257988590775,0.22691311904972486,0.308700776331425,0.1962191701560311,0.3900424473197354,0.21489853968836453,0.16058690917084556,0.2644253765484589,0.03223840092201327,0.019463293069496616,0.054679108238938776,-0.039551661209634124,-0.06002062227637451,-0.014313974440991053,1.0
core_secure_pairs,isi,balance,0.5,32,0.19807352042514853,0.15625828557426824,0.25301824513280036,0.29523775487560056,0.17135801058168545,0.38838861198485236,0.15238746128642455,0.12721140685702814,0.19301622582601705,0.031375319610812136,0.019311988030342092,0.0532835153381139,-0.025105712196101082,-0.0601664289029899,-0.0142191771526541,1.0
