scenario_id,wt_cell_id,sca_cell_id,wt_animal_id,sca_animal_id,wt_solution_key,sca_solution_key,wt_source,sca_source,wt_b,wt_r,wt_s,wt_kappa_I,sca_b,sca_r,sca_s,sca_kappa_I,wt_rheobase_J_endpoint,sca_rheobase_J_endpoint,wt_J_q75,sca_J_q75,wt_active_support_ms,sca_active_support_ms,wt_within_cell_support_weight,sca_within_cell_support_weight,biological_pair_weight,within_pair_support_weight,scenario_weight,biological_pair_key
0,WT_03,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,best,best,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,2.87957486763608,0.0367840866590933,0.666593864674466,0.072414473059144,1.6558117865631434,7.364185581249652,2.8949017104544605,8.468813418437104,993.6197265625,872.4000000000001,0.25,0.5,0.0138888888888888,0.125,0.0017361111111111,WT_03__TO__SCA3_01
1,WT_03,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,best,r_HIGH,best,r_HIGH,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,4.180844445717766,0.098238929690672,1.4104174994872096,0.0928534941582593,1.6558117865631434,7.018989382128574,2.8949017104544605,8.468813418437104,993.6197265625,872.4000000000001,0.25,0.5,0.0138888888888888,0.125,0.0017361111111111,WT_03__TO__SCA3_01
2,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,best,best,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,3.39580213794053,0.011865463263355,1.06199021527079,0.134917346653611,1.6558117865631434,0.9278531747632068,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
3,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,best,b_LOW,best,b_LOW,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,1.7012055089318403,0.0830977770474897,13.865757715128549,1.1494434320736062,1.6558117865631434,1.3608513229860368,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
4,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,best,b_HIGH,best,b_HIGH,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,5.32081129056834,0.0001379675781911,2.726334423918427,0.1138050673652359,1.6558117865631434,1.5739139038575878,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
5,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,best,r_LOW,best,r_LOW,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,5.058325048081602,0.000134353582935,2.5718417626155823,0.1190763663927034,1.6558117865631434,1.3264863905873994,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
6,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,best,r_HIGH,best,r_HIGH,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,1.7153229597754271,0.0912955123819697,12.4124105689581,1.203258733619204,1.6558117865631434,1.5807868903373152,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
7,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,best,kappa_I_LOW,best,kappa_I_LOW,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,4.208008871756549,0.0154138562600507,0.8770914021572215,0.0437782759191279,1.6558117865631434,1.2440105528306695,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
8,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,best,kappa_I_HIGH,best,kappa_I_HIGH,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,1.6938770214244712,0.0801551802327286,14.38556558178567,1.0929624914074123,1.6558117865631434,1.278375485229307,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
9,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,best,best,best,best,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,3.1841739616986,0.0685272827706698,1.64104809448976,0.226797255112739,1.6558117865631434,2.998635531603484,2.8949017104544605,6.138782334394186,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04
