group	filename	relative_path	size_bytes	sha256
WT	capa_01.abf	data/raw/WT/capa_01.abf	566272	bcbb6a61ad10358536c3a7353a901e6be73dcec9bf3c89f9e976aa76a6a64e58
WT	capa_02.abf	data/raw/WT/capa_02.abf	5527040	19109bbcd6160eb187a287ae2192a794c940049bb9fabfb1c178f973fc105abc
WT	capa_03.abf	data/raw/WT/capa_03.abf	406528	7383e18ac895392a00198cb857d33f501c56f8e597b0116534f542c60f7b8e24
WT	capa_04.abf	data/raw/WT/capa_04.abf	486400	f814e716c05647c372d70e73ed20f9ae0405b235a8dc5ea9147b2f9c07c4da3b
WT	capa_05.abf	data/raw/WT/capa_05.abf	406528	d8c3df67b00b2eb382f4620de1ffd724536131a4f2ed6c1df810d02b1c1aa202
WT	capa_06.abf	data/raw/WT/capa_06.abf	166400	b9cf400b940625f3441a005e095627a93e31965960c5ae74be7fcb020a703c5a
WT	capa_07.abf	data/raw/WT/capa_07.abf	886272	db8829512e359e8f6aa91cfcfa28d12b183b88dccc1ac38dee9c2e57126030bf
WT	capa_08.abf	data/raw/WT/capa_08.abf	806400	78f409e172a67659262a258af11de36da5ab3abda58e5127bcd9debfd94ff03a
WT	capa_09.abf	data/raw/WT/capa_09.abf	326144	ac1189d3e7c4f543cd963add8f9f840d382a1aec490d82c4ceb8b59fce32c64c
WT	capa_10.abf	data/raw/WT/capa_10.abf	486400	0c6a0d6977d22f166081cae589d61c85da9e2cdac8f39add70ebc195565687c1
WT	capa_11.abf	data/raw/WT/capa_11.abf	486400	d9de2e635ded89da05dba3be89772f1679ca7ed4c897dde69c2f79f326027902
WT	capa_12.abf	data/raw/WT/capa_12.abf	566272	01e5605baee757a7df13abd9f412a31626c008f8304e9f9636b157fdaaf78005
WT	capa_13.abf	data/raw/WT/capa_13.abf	1286144	c4dd83a96a7d3b5d0253e0f7a0e7d7ec4f806e08e35143e11789a143b8f9b59c
WT	capa_14.abf	data/raw/WT/capa_14.abf	646144	ae573b215ebfc0dd96a70d6a1a2f12ea6a846167fb28fad1accdc9485058ab4d
WT	capa_15.abf	data/raw/WT/capa_15.abf	486400	c78f1c9333d74233aa163bbce7ae352f621365177e39daf90b49d749c3474da5
WT	capa_16.abf	data/raw/WT/capa_16.abf	646144	974921efa345d14aee24be83d64b47488dd48838c2972dae0e56a8ba5ad00413
WT	cc_01.abf	data/raw/WT/cc_01.abf	1046528	b69d187daab379364b8eb8704622fa72e92b29d1a482f5859212a33bd89c2fbe
WT	cc_02.abf	data/raw/WT/cc_02.abf	1046528	a4ce2179d86a96eccab07eaa0a30ab8ad1a823aea8c1a4d4636ba28036f70e78
WT	cc_03.abf	data/raw/WT/cc_03.abf	1206272	f725e9872e430efe9e1d5ec64c2a683241578474beeef75f596059b957088b0c
WT	cc_04.abf	data/raw/WT/cc_04.abf	1206272	4634ebd8ae3bb3c8b31d98e60b6368a8b515105b75c7380d8f3a0eefbf9f8953
WT	cc_05.abf	data/raw/WT/cc_05.abf	1446400	58132e9a2bebfd1d00554904294a6f9941b839dd1745f82af0172c99328836f5
WT	cc_06.abf	data/raw/WT/cc_06.abf	1446400	0999bf3c9016314c216ad788340fadff28760e2bfff0a80b6d9926e703892525
WT	cc_07.abf	data/raw/WT/cc_07.abf	1446400	145ba3916bc3af4a3056a9b521e2e8d26bd44f6b301ef5c65c5cabdb8fabb412
WT	cc_08.abf	data/raw/WT/cc_08.abf	1046528	fbcdde2d587be47be7ecbf6b39323cd7b179f067b8d43fdbdcecf9a9258dc7e9
WT	cc_09.abf	data/raw/WT/cc_09.abf	1046528	5ac0ebc90f188925cac26ca05f9ce60d65b433030c5a38f246cc34479e8f9871
WT	cc_10.abf	data/raw/WT/cc_10.abf	1046528	a10241a99daed21389fbfdbc9a9c98fdaeb2f96e910bce2d8a4a596e3c8ebbf8
WT	cc_11.abf	data/raw/WT/cc_11.abf	1046528	f8327d38cd6efe1c410b999893a935562cc698bef502ff2edcbb7f64c4c228a5
WT	cc_12.abf	data/raw/WT/cc_12.abf	1046528	91af066741dcde65eb7f4e2bdad03fd112e47e12b9baf39c2755e8693e90f516
WT	cc_13.abf	data/raw/WT/cc_13.abf	1046528	04e27d458afa30435b02b6da02be4860daf0f5e6bd10f042fa5c92fa862aaaed
WT	cc_14.abf	data/raw/WT/cc_14.abf	1046528	7d28cc7f3a76abd0a0d1d774a9ace02c0787a5aa4069d4fd6c9a0d19b013d935
WT	cc_15.abf	data/raw/WT/cc_15.abf	1046528	0dc5d83c32022248d62e113444410033ca3229f03d76e1fddd2dfc233bc10975
WT	cc_16.abf	data/raw/WT/cc_16.abf	1046528	5f2ecc0033c0916410b748a7efa72f0e4683ccb623f550d3277e0bff522b53cc
SCA3	capa_01.abf	data/raw/SCA3/capa_01.abf	134144	fc838ebe8276ea9d57ed456a982be23143b7074ef6a3130eafe8f127e7fd1726
SCA3	capa_02.abf	data/raw/SCA3/capa_02.abf	134144	d53bcca91fb79e3788eb4aeae64b6c612cafd88331bd8f03657eae8d4502e4e9
SCA3	capa_03.abf	data/raw/SCA3/capa_03.abf	102400	ecbfd4b06eca3063e9ca964579ed71502f607f95ba6c3c1aff686b96ea2ede0e
SCA3	capa_04.abf	data/raw/SCA3/capa_04.abf	166400	a6c6a2e943a567cb232f59398875e51e1f3917f618b060b8d8c939de1b5f5463
SCA3	capa_05.abf	data/raw/SCA3/capa_05.abf	422400	525fd28c4ec09a18695d7d8f330a441d34caff5fa0684df8151fb997821ece70
SCA3	capa_06.abf	data/raw/SCA3/capa_06.abf	102400	73705174aca9047febfd6ccbee4f17f1d04402a7957951c92457aeafc3a12cbd
SCA3	capa_07.abf	data/raw/SCA3/capa_07.abf	134144	cbd87edb76168a7fd57b6207ebe4fb1c337b3414aa7e06e8238a90fb8996aef1
SCA3	capa_08.abf	data/raw/SCA3/capa_08.abf	134144	ca84a1ccd46dbeaac32fc66b1ad6c7196b6e220633232c5ef969484f9c24c6d0
SCA3	capa_09.abf	data/raw/SCA3/capa_09.abf	358400	742ecb10c9d569c813828237fc18adf0b8802930f2aa2c045882a89a271e616c
SCA3	cc_01.abf	data/raw/SCA3/cc_01.abf	1046528	35db37e1f2aaa87a43cce5b2010390807f83d775cb3fa94bf032d7d0531f0dc1
SCA3	cc_02.abf	data/raw/SCA3/cc_02.abf	1046528	28cdfd95fe7877666f99e7f18154f5401e0e64bbb0d9656e253985811a320611
SCA3	cc_03.abf	data/raw/SCA3/cc_03.abf	1046528	3c03d005e4cb15e9aa62210e748cb5dc62d15f97a604324ed214e5faa1d32040
SCA3	cc_04.abf	data/raw/SCA3/cc_04.abf	1046528	6b018d8d7acc9c837f9990c75145b0ae3436c2b452bedd7749c2644204faee90
SCA3	cc_05.abf	data/raw/SCA3/cc_05.abf	1046528	f69e5389427b3632bb5be89b2aafd6090c2a6c29bf199b3aba331d6473b93923
SCA3	cc_06.abf	data/raw/SCA3/cc_06.abf	1046528	67469eef9e978ce8b4ae58acbdb70944b38c588f9e2f7592cd72cd5d28bb6142
SCA3	cc_07.abf	data/raw/SCA3/cc_07.abf	1046528	de588c84544d096560d7cc72a88ba52af86303e2100647bb12c81969ca9ff812
SCA3	cc_08.abf	data/raw/SCA3/cc_08.abf	1046528	70f59934739b17fa13d7aa801305fb1b903d85277a3129a6224b5ce72a393442
SCA3	cc_09.abf	data/raw/SCA3/cc_09.abf	1046528	b30b9bdcd85925d34ee77596d72c62d33b9f4e813a007035def7ada39ddde651
