variable,n_sca3_cells,n_wt_cells,median_sca3_cells,median_wt_cells,median_difference_sca3_minus_wt,median_ratio_sca3_over_wt,cliffs_delta_cell_level_descriptive,n_sca3_animals,n_wt_animals,median_sca3_animal_medians,median_wt_animal_medians,animal_median_ratio_sca3_over_wt,animal_median_directional_separation,inference_note
b,6,12,3.358464392754995,3.0038405258613,0.35462386689369474,1.1180568222049712,0.6111111111111112,2,2,3.367262666942195,2.9987734029158473,1.1228799960904177,SCA3_GT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
r,6,12,0.019293858719533152,0.020901583210168048,-0.0016077244906348952,0.9230812099509869,-0.19444444444444445,2,2,0.015958979071896626,0.012487951927437874,1.277950072568136,ANIMAL_MEDIANS_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
s,6,12,1.32285220075939,0.5457399487748325,0.7771122519845575,2.4239607229215085,0.5277777777777778,2,2,1.378656237341005,0.6377053947356305,2.1619014810319204,SCA3_GT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
kappa_I,6,12,0.1463095639912005,0.5102655114095395,-0.363955947418339,0.28673222218574035,-1.0,2,2,0.14794123171648774,0.5671644146612822,0.26084364232343477,SCA3_LT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
kappa_over_Cm,6,12,0.00151623352695605,0.0012122688901613,0.00030396463679475006,1.2507402765687616,0.3055555555555556,2,2,0.00167187342916475,0.001572883941874975,1.062935023147209,ANIMAL_MEDIANS_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
capacitance_pF,6,12,82.46316926163345,393.3276855959165,-310.86451633428305,0.20965513560708676,-1.0,2,2,88.97846445334757,394.4496850947295,0.225576208615755,SCA3_LT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
cell_loss,6,12,0.729165797734993,0.519922129083432,0.20924366865156097,1.4024519383709162,0.9166666666666666,2,2,0.7484316462241489,0.5245844500003289,1.4267133656433766,SCA3_GT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
median_circle_f1,6,12,0.8851770719240599,0.982234840606908,-0.0970577686828481,0.9011867990521721,-0.6666666666666666,2,2,0.905062731487073,0.9723831851114888,0.9307675670916736,SCA3_LT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
median_count_error_fraction,6,12,0.18282988871224148,0.0268308080808081,0.1559990806314334,6.814177499298595,0.7222222222222222,2,2,0.16775225646929487,0.032440129315129296,5.1711340247666415,SCA3_GT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
rheobase_pA,6,12,300.0,300.0,0.0,1.0,0.1111111111111111,2,2,337.5,275.0,1.2272727272727273,ANIMAL_MEDIANS_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
rheobase_J,6,12,3.1198531298095076,0.7018971913580856,2.417955938451422,4.444886185928414,0.9444444444444444,2,2,3.550872775202575,0.6951694556113517,5.107924041455241,SCA3_GT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
max_exp_spikes,6,12,38.5,78.5,-40.0,0.49044585987261147,-0.6666666666666666,2,2,38.5,72.0,0.5347222222222222,SCA3_LT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
depol_block_index,6,12,0.0,0.17188428769566078,-0.17188428769566078,0.0,-0.1111111111111111,2,2,0.19078947368421054,0.1846938775510204,1.0330037801686538,ANIMAL_MEDIANS_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
median_exp_latency_ms,6,12,37.17499999999999,37.22499999999999,-0.04999999999999716,0.9986568166554736,-0.027777777777777776,2,2,69.9875,37.26249999999998,1.8782287822878236,ANIMAL_MEDIANS_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
median_exp_train_duration_ms,6,12,641.9000000000001,946.275,-304.3749999999999,0.678344033182743,-0.3888888888888889,2,2,670.7249999999999,772.8875,0.8678171143924567,ANIMAL_MEDIANS_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
median_abs_last_spike_error_ms,6,12,12.3029660743627,5.8005942283388165,6.502371846023884,2.1209837458128913,0.3611111111111111,2,2,45.48052839259617,7.036051717434464,6.463927529114241,SCA3_GT_WT_NO_OVERLAP,DESCRIPTIVE_ONLY: animal n is insufficient for reliable population inference
