group,cell_id,current_key_pA,conclusion,qc_note
SCA3,SCA3_01,0,ok,ok
SCA3,SCA3_01,50,ok,ok
SCA3,SCA3_01,100,все rejected,все rejected
SCA3,SCA3_01,150,все rejected,все rejected
SCA3,SCA3_01,200,ok,ok
SCA3,SCA3_01,250,ok,ok
SCA3,SCA3_01,300,все rejected,все rejected
SCA3,SCA3_01,350,ok,ok
SCA3,SCA3_01,400,ok,ok
SCA3,SCA3_01,450,ok,ok
SCA3,SCA3_01,500,detected около 500 мс – rejected,detected около 500 мс - rejected
SCA3,SCA3_01,550,ok,ok
SCA3,SCA3_01,600,ok,ok
SCA3,SCA3_02,0,ok,ok
SCA3,SCA3_02,50,ok,ok
SCA3,SCA3_02,100,ok,ok
SCA3,SCA3_02,150,ok,ok
SCA3,SCA3_02,200,ok,ok
SCA3,SCA3_02,250,последний detected – rejected ,последний detected - rejected
SCA3,SCA3_02,300,ok,ok
SCA3,SCA3_02,350,последний detected – rejected ,последний detected - rejected
SCA3,SCA3_02,400,ok,ok
SCA3,SCA3_02,450,ok,ok
SCA3,SCA3_02,500,последний detected – rejected ,последний detected - rejected
SCA3,SCA3_02,550,ok,ok
SCA3,SCA3_02,600,последний detected – rejected ,последний detected - rejected
SCA3,SCA3_03,0,ok,ok
SCA3,SCA3_03,50,ok,ok
SCA3,SCA3_03,100,все rejected,все rejected
SCA3,SCA3_03,150,ok,ok
SCA3,SCA3_03,200,ok,ok
SCA3,SCA3_03,250,ok,ok
SCA3,SCA3_03,300,ok,ok
SCA3,SCA3_03,350,ok,ok
SCA3,SCA3_03,400,ok,ok
SCA3,SCA3_03,450,ok,ok
SCA3,SCA3_03,500,ok,ok
SCA3,SCA3_03,550,ok,ok
SCA3,SCA3_03,600,ok,ok
SCA3,SCA3_04,0,ok,ok
SCA3,SCA3_04,50,ok,ok
SCA3,SCA3_04,100,ok,ok
SCA3,SCA3_04,150,все rejected,все rejected
SCA3,SCA3_04,200,ok,ok
SCA3,SCA3_04,250,все rejected,все rejected
SCA3,SCA3_04,300,ok,ok
SCA3,SCA3_04,350,ok,ok
SCA3,SCA3_04,400,ok,ok
SCA3,SCA3_04,450,ok,ok
SCA3,SCA3_04,500,ok,ok
SCA3,SCA3_04,550,последний detected – rejected ,последний detected - rejected
SCA3,SCA3_04,600,ok,ok
SCA3,SCA3_05,0,ok,ok
SCA3,SCA3_05,50,все rejected,все rejected
SCA3,SCA3_05,100,ok,ok
SCA3,SCA3_05,150,ok,ok
SCA3,SCA3_05,200,ok,ok
SCA3,SCA3_05,250,все rejected,все rejected
SCA3,SCA3_05,300,ok,ok
SCA3,SCA3_05,350,ok,ok
SCA3,SCA3_05,400,2 последних detected – rejected ,2 последних detected - rejected
SCA3,SCA3_05,450,ok,ok
SCA3,SCA3_05,500,ok,ok
SCA3,SCA3_05,550,последний detected – rejected ,последний detected - rejected
SCA3,SCA3_05,600,ok,ok
SCA3,SCA3_06,0,ok,ok
SCA3,SCA3_06,50,ok,ok
SCA3,SCA3_06,100,ok,ok
SCA3,SCA3_06,150,ok,ok
SCA3,SCA3_06,200,ok,ok
SCA3,SCA3_06,250,ok,ok
SCA3,SCA3_06,300,ok,ok
SCA3,SCA3_06,350,ok,ok
SCA3,SCA3_06,400,ok,ok
