group,cell_id,animal_id,animal_id_status,b,r,s,kappa_I,kappa_over_Cm,capacitance_pF,rheobase_pA,rheobase_J,cell_loss,median_circle_f1,median_count_error_fraction,identifiability,id_b,id_r,id_s,id_kappa_I
SCA3,SCA3_01,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,2.87957486763608,0.0367840866590933,0.666593864674466,0.072414473059144,0.0010665472367518,67.8961705246914,500,7.364185581249652,0.74060225127201,0.878787878787879,0.275862068965517,NONIDENTIFIABLE,IDENTIFIABLE,NONIDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE
SCA3,SCA3_02,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,3.39580213794053,0.011865463263355,1.06199021527079,0.134917346653611,0.0023738498545432,56.8348273566646,100,1.7594845388102291,0.619018284176733,0.891566265060241,0.189189189189189,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,IDENTIFIABLE,NONIDENTIFIABLE
SCA3,SCA3_04,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,3.1841739616986,0.0685272827706698,1.64104809448976,0.226797255112739,0.0027160853472497,83.5015200617284,300,3.5927489676622097,0.675603056335111,0.933333333333333,0.0571428571428571,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE
SCA3,SCA3_05,SCA3_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,4.57048885142292,0.0267222541757113,1.35804074575354,0.185485356173587,0.0016365727202496,113.337680555556,300,2.6469572919568054,0.770805777668297,0.713553979511426,0.615686274509804,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE
SCA3,SCA3_06,SCA3_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,3.32112664756946,0.000172535267681,1.80693033257445,0.113660442709963,0.0013958943336625,81.4248184615385,450,5.52657050396201,0.717729344197976,0.985031917235307,0.0294871794871795,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE
SCA3,SCA3_09,SCA3_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,3.56794792056019,0.0001570401851009,1.28766365576524,0.15770178132879,0.0012811768082037,123.091348765432,300,2.437214337229276,0.859791933091499,0.864864864864865,0.176470588235294,NONIDENTIFIABLE,NONIDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,NONIDENTIFIABLE
WT,WT_03,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,2.86810838929218,0.0855030713389898,0.760137165765994,0.386966213496606,0.0018286539981182,211.612592592593,400,1.89024667719137,0.492359654723775,0.985396825396825,0.0246521476104053,NONIDENTIFIABLE,IDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE
WT,WT_04,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,3.07526787577599,0.0366751221750693,0.519708187871091,0.61900642338991,0.0011762815062023,526.240037037037,250,0.4750683764154662,0.695298965417483,0.972616380383371,0.0563157894736842,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE
WT,WT_06,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,3.00268700778274,0.0397070714073017,0.320997650843926,0.43690513909511,0.0011105837729031,393.401335185185,250,0.6354833541231323,0.528053725941598,0.9867849069727,0.0263888888888889,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,IDENTIFIABLE
WT,WT_07,NA_NOT_RECOVERABLE,UNRESOLVED_NOT_IN_PROVIDED_ARCHIVE,3.20511381810753,0.0011459239565885,3.67550749934334,0.31690076561024,0.0008957761936607,353.772256790124,500,1.413338639204334,0.0089541269301869,1.0,0.0,NONIDENTIFIABLE,IDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,IDENTIFIABLE
WT,WT_08,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,2.96491156494738,0.0051280442452668,0.108035818424331,0.583625883723969,0.000927876434903,628.990953719971,300,0.4769543953307174,0.453947357573908,0.970843183609141,0.056547619047619,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE
WT,WT_09,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,3.00499404393986,0.0044079110035059,0.31659710626319,0.377275581008005,0.0009593686179018,393.254036006648,300,0.7628656606970677,0.652188374619166,0.942028985507246,0.123076923076923,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE
WT,WT_10,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,2.87849103010525,0.0756322387263896,1.19184381052622,1.14094020461274,0.0027274506266565,418.317454938272,300,0.7171586948105447,0.412251257742729,0.983337605742118,0.0159708249496982,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE
WT,WT_11,WT_AN01,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,3.13770292391716,0.0002385028325333,2.31472251602244,0.431752800316632,0.0020401679109788,211.626110769231,400,1.890125932693544,0.592695649623918,0.929070929070929,0.0272727272727273,NONIDENTIFIABLE,IDENTIFIABLE,NONIDENTIFIABLE,NONIDENTIFIABLE,IDENTIFIABLE
WT,WT_13,WT_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,2.93333766919004,0.0030284877134034,0.215780361615529,0.587583929838755,0.0008965691019269,655.369372618234,450,0.6866356879056266,0.539904260578224,0.841121495327103,0.377777777777778,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE
WT,WT_14,WT_AN02,RECOVERED_FROM_EXACT_ABF_MATCH_AND_DAY_CODE,2.98381256769243,0.0373873647475754,0.470608952474538,0.385782970373697,0.0012482562741203,309.057505555556,300,0.9706931383553542,0.544194069721595,1.0,0.0,NONIDENTIFIABLE,IDENTIFIABLE,NONIDENTIFIABLE,IDENTIFIABLE,IDENTIFIABLE
