scope,parameter,n_evaluable,n_identifiable,fraction_identifiable
ALL,all_four,18,5,0.2777777777777778
ALL,b,18,11,0.6111111111111112
ALL,r,18,6,0.3333333333333333
ALL,s,18,9,0.5
ALL,kappa_I,18,10,0.5555555555555556
WT,all_four,12,4,0.3333333333333333
WT,b,12,9,0.75
WT,r,12,4,0.3333333333333333
WT,s,12,5,0.4166666666666667
WT,kappa_I,12,8,0.6666666666666666
SCA3,all_four,6,1,0.16666666666666666
SCA3,b,6,2,0.3333333333333333
SCA3,r,6,2,0.3333333333333333
SCA3,s,6,4,0.6666666666666666
SCA3,kappa_I,6,2,0.3333333333333333
