group,cell_id,best_rheobase_J,J_min_observed,J_max_observed,q_min_observed,q_max_observed,n_observed_spiking_currents,q_0.25_supported,q_0.5_supported,q_0.75_supported
SCA3,SCA3_01,7.364185581249652,7.36418558124966,8.83702269749959,5.427352209627929e-15,1.0,3,True,True,True
SCA3,SCA3_02,0.9278531747632068,1.75948453881023,10.5569072328614,0.08636688079942885,1.0,11,True,True,True
SCA3,SCA3_04,2.998635531603484,4.79033195688295,7.18549793532442,0.42793296089385563,1.0,5,False,True,True
SCA3,SCA3_05,2.302301394566596,2.64695729195682,5.29391458391363,0.11520737327189359,1.0,6,True,True,True
SCA3,SCA3_06,5.238728290213989,6.75469728262024,7.36876067194935,0.7117117117117132,1.0,2,False,False,True
SCA3,SCA3_09,2.2595007918063086,3.2496191163057,4.87442867445855,0.3786407766990288,1.0,5,False,True,True
WT,WT_03,1.6558117865631434,2.1265275118403,3.3079316850849,0.28491620111732346,1.0,6,False,True,True
WT,WT_04,0.38079699547052215,0.57008205169856,1.23517777868021,0.22154648132059193,1.0,8,True,True,True
WT,WT_06,0.6344904113823149,0.762580024947759,2.16064340401865,0.08392973324658443,1.0,12,True,True,True
WT,WT_07,1.2731089460957787,1.41333863920434,2.40267568664737,0.12414467253177466,1.0,8,True,True,True
WT,WT_08,0.47384922348611636,0.556446794552504,0.953908790661435,0.17205692108667606,1.0,6,True,True,True
WT,WT_09,0.674460655746496,0.890009937479913,1.52573132139414,0.25320886814469024,1.0,5,False,True,True
WT,WT_10,0.6489912667881883,0.717158694810545,1.43431738962109,0.0868014268727707,1.0,6,True,True,True
WT,WT_11,1.79414297517395,1.89012593269355,2.83518889904032,0.09219858156028912,1.0,4,True,True,True
WT,WT_13,0.6139190612350652,0.686635687905627,0.915514250540836,0.2411067193675904,1.0,3,True,True,True
WT,WT_14,0.8923298902068751,1.13247532808125,1.94138627671071,0.22891566265060534,1.0,6,True,True,True
WT,WT_15,0.4820998968182255,0.76752222379021,1.8420533370965,0.20987654320987723,1.0,8,True,True,True
WT,WT_16,0.34140597905427295,0.681038420555017,1.36207684111003,0.3327541268462219,1.0,7,False,True,True
