feature,family,current_pA,n_WT,n_SCA3,median_WT,median_SCA3,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,cliffs_delta_SCA3_vs_WT,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
external_work_signed_fJ,electrical_work,0.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
external_work_signed_fJ,electrical_work,50.0,13,7,482.15660095214844,483.2207489013672,1.06414794921875,-3.314208984375057,2.7581024169921307,0.05494505494505497,exact,77520,0.8179566563467492,0.9961254329767342,0.9968846749226006,0.9961254329767342
external_work_signed_fJ,electrical_work,100.0,13,7,1925.9843444824219,1925.4673767089844,-0.5169677734375,-11.478576660155795,6.08154296875,0.05494505494505497,exact,77520,0.8179566563467492,0.9961254329767342,0.9968846749226006,0.9961254329767342
external_work_signed_fJ,electrical_work,150.0,13,7,4329.575729370117,4335.661697387695,6.085968017578125,-20.730514526367188,24.280929565429688,0.01098901098901095,exact,77520,0.3910216718266254,0.6870809376382132,0.7261831048208757,0.6870809376382132
external_work_signed_fJ,electrical_work,200.0,13,7,7705.1141357421875,7706.7620849609375,1.64794921875,-59.27856445312591,19.6820068359375,-0.1208791208791209,exact,77520,1.0,1.0,1.0,1.0
external_work_signed_fJ,electrical_work,250.0,13,7,12022.09701538086,12044.297409057617,22.200393676757812,-15.276718139648438,108.57048034667969,0.40659340659340665,exact,77520,0.1956140350877193,0.5351981351981352,0.535797213622291,0.5351981351981352
external_work_signed_fJ,electrical_work,300.0,13,7,17199.793395996083,17309.465332031272,109.67193603518899,-57.352752685546875,973.1771850586556,0.3406593406593406,exact,77520,0.19109907120743033,0.5351981351981352,0.535797213622291,0.5351981351981352
external_work_signed_fJ,electrical_work,350.0,13,7,23137.433700561403,23583.541107177705,446.1074066163019,-77.10350036621094,1945.3630828858404,0.4285714285714286,exact,77520,0.21981424148606812,0.5424739656628201,0.535797213622291,0.5424739656628201
external_work_signed_fJ,electrical_work,400.0,13,7,30205.275268554688,30786.59118652343,581.3159179687427,-50.074462890625,2544.6795654296257,0.4285714285714286,exact,77520,0.0989938080495356,0.39278188355138316,0.4798417612659099,0.39278188355138316
external_work_signed_fJ,electrical_work,450.0,13,7,38411.69952392598,38988.411026001006,576.711502075028,-1.132965087897901,3194.1547393799483,0.47252747252747257,exact,77520,0.09646542827657378,0.39278188355138316,0.4798417612659099,0.39278188355138316
external_work_signed_fJ,electrical_work,500.0,13,7,47838.980865478625,48038.25073242189,199.2698669432648,-148.9547729492333,3913.04931640625,0.3406593406593406,exact,77520,0.29711042311661506,0.6300790007473044,0.6437392500859993,0.6300790007473044
external_work_signed_fJ,electrical_work,550.0,13,7,58002.729263305664,58066.3339233398,63.60466003413603,-414.15832519539254,4111.334762573446,0.25274725274725274,exact,77520,0.5094943240454076,0.7833475232198143,0.8279282765737874,0.7833475232198143
external_work_signed_fJ,electrical_work,600.0,13,7,69065.94177246094,69100.072631836,34.13085937505821,-856.6988067627532,3597.969360351257,0.1208791208791209,exact,77520,1.0,1.0,1.0,1.0
external_work_positive_fJ,electrical_work,0.0,13,7,0.0,0.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
external_work_positive_fJ,electrical_work,50.0,13,7,482.15660095214844,483.2207489013672,1.06414794921875,-3.3126068115234943,2.762451171874943,0.05494505494505497,exact,77520,0.8179566563467492,0.9961254329767342,0.9968846749226006,0.9961254329767342
external_work_positive_fJ,electrical_work,100.0,13,7,1925.9877014160156,1925.4673767089844,-0.52032470703125,-11.48422241210892,9.070587158203352,0.07692307692307687,exact,77520,0.8179566563467492,0.9961254329767342,0.9968846749226006,0.9961254329767342
external_work_positive_fJ,electrical_work,150.0,13,7,4329.575729370117,4337.934036254883,8.358306884765625,-23.754959106445312,25.080642700195312,0.01098901098901095,exact,77520,0.358875128998968,0.6688127404071676,0.7261831048208757,0.6688127404071676
external_work_positive_fJ,electrical_work,200.0,13,7,7740.413513183594,7706.7791748046875,-33.63433837890625,-102.54302978515716,38.1036376953125,-0.40659340659340665,exact,77520,0.5513931888544892,0.7978983791659078,0.8601733746130031,0.7978983791659078
external_work_positive_fJ,electrical_work,250.0,13,7,12084.097671508789,12048.876571655273,-35.221099853515625,-458.3286285400427,93.52798461914062,-0.23076923076923078,exact,77520,0.8179566563467492,0.9961254329767342,0.9968846749226006,0.9961254329767342
