feature,family,n_WT,n_SCA3,median_WT,median_SCA3,median_difference_SCA3_minus_WT,difference_ci95_low,difference_ci95_high,cliffs_delta_SCA3_vs_WT,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
capacitance_pF,capacitance,13,7,393.4013351851852,83.50152006172839,-309.8998151234568,-421.77189264957275,-212.3857867929725,-1.0,exact,77520,0.00108359133126935,0.0018575851393188858,0.0014447884416924665,0.0018575851393188858
capacitance_10ms_pF,capacitance,13,7,289.4769456790124,86.00838425925927,-203.4685614197531,-236.8706083333334,-110.40397132193733,-0.956043956043956,exact,77520,0.00108359133126935,0.0018575851393188858,0.0014447884416924665,0.0018575851393188858
capacitance_20ms_pF,capacitance,13,7,393.4013351851852,83.50152006172839,-309.8998151234568,-421.77189264957275,-212.3857867929725,-1.0,exact,77520,0.00108359133126935,0.0018575851393188858,0.0014447884416924665,0.0018575851393188858
capacitance_50ms_pF,capacitance,13,7,500.8840969135802,67.93234259259259,-432.9517543209876,-616.7924462962214,-263.7538490740742,-1.0,exact,77520,0.004695562435500516,0.007043343653250774,0.004695562435500516,0.007043343653250774
rheobase_lower_nonspiking_pA,rheobase,13,7,250.0,250.0,0.0,-100.0,250.0,0.2637362637362638,exact,77520,1.0,1.0,1.0,1.0
rheobase_upper_spiking_pA,rheobase,13,7,300.0,300.0,0.0,-100.0,250.0,0.2637362637362638,exact,77520,1.0,1.0,1.0,1.0
rheobase_midpoint_pA,rheobase,13,7,275.0,275.0,0.0,-100.0,250.0,0.2637362637362638,exact,77520,1.0,1.0,1.0,1.0
rheobase_bracket_width_pA,rheobase,13,7,50.0,50.0,0.0,0.0,0.0,0.0,exact,77520,1.0,1.0,1.0,1.0
rheobase_midpoint_pA_per_pF,rheobase,13,7,0.6484892607997588,2.426377517627081,1.7778882568273224,1.413476725842847,4.682273252644309,0.9340659340659341,exact,77520,0.00108359133126935,0.0018575851393188858,0.0021671826625387,0.0018575851393188858
rheobase_midpoint_pA_per_10ms_pF,rheobase,13,7,0.8954090586743648,2.7100479186746145,1.8146388600002497,1.072129173396012,4.319166106260227,0.8461538461538463,exact,77520,0.00108359133126935,0.0018575851393188858,0.0021671826625387,0.0018575851393188858
rheobase_midpoint_pA_per_20ms_pF,rheobase,13,7,0.6484892607997588,2.426377517627081,1.7778882568273224,1.4117475851709698,4.647603790586638,0.9340659340659341,exact,77520,0.00108359133126935,0.0018575851393188858,0.0021671826625387,0.0018575851393188858
rheobase_midpoint_pA_per_50ms_pF,rheobase,13,7,0.5304879347746809,2.48604692214068,1.9555589873659989,1.5377237413351335,5.788252609579425,0.9780219780219781,exact,77520,0.00108359133126935,0.0018575851393188858,0.0021671826625387,0.0018575851393188858
