feature,family,n_WT_cells,n_SCA3_cells,n_shared_current_levels,shared_current_min_pA,shared_current_max_pA,signed_curve_difference_SCA3_minus_WT,absolute_curve_difference,maximum_absolute_difference,permutation_mode,valid_labelings,permutation_p,fdr_q_global,fdr_q_family,fdr_q
external_work_signed_fJ,electrical_work,13,7,13,0.0,600.0,168.6856842040882,168.7718454996611,581.3159179687427,exact,77520,0.2820304437564499,0.3100440581090736,0.2820304437564499,0.3100440581090736
external_work_positive_fJ,electrical_work,13,7,13,0.0,600.0,-1385.6490929921401,1387.2195021311377,4443.350219726475,exact,77520,0.04923890608875129,0.10551194161875277,0.14771671826625388,0.10551194161875277
mean_power_signed_fW,electrical_work,13,7,13,0.0,600.0,169.07182403852045,169.15799395108462,581.3159179687427,exact,77520,0.2818111455108359,0.3100440581090736,0.2820304437564499,0.3100440581090736
work_per_spike_fJ,electrical_efficiency,12,7,5,400.0,600.0,1699.7875375525568,1699.7875375525568,2966.262758570598,exact,50388,0.0357227911407478,0.08930697785186949,0.0357227911407478,0.08930697785186949
permutation_entropy_norm,information_dynamics,12,7,5,400.0,600.0,0.05872577181887295,0.065439068969906,0.10766907941325699,exact,50388,0.21707549416527744,0.3100440581090736,0.26030007144558226,0.3100440581090736
spectral_entropy_norm,information_dynamics,12,7,5,400.0,600.0,0.01818548874219794,0.03791171077148042,0.07195758656476536,exact,50388,0.26030007144558226,0.3100440581090736,0.26030007144558226,0.3100440581090736
predictive_information_nats,information_dynamics,12,7,5,400.0,600.0,-0.09657235484218568,0.09657235484218568,0.12469083372067002,exact,50388,0.0002976899261728983,0.004465348892593475,0.000893069778518695,0.004465348892593475
path_kl_rate_excess_nats_s,observable_irreversibility,12,7,5,400.0,600.0,7.532921362565851,121.11405953405789,181.05981458262818,exact,50388,0.008335317932841153,0.04167658966420577,0.008335317932841153,0.04167658966420577
firing_rate_hz,electrophysiology,13,7,13,0.0,600.0,-14.958333333333334,14.958333333333334,49.0,exact,77520,0.08702270381836945,0.1450378396972824,0.12183178534571723,0.1450378396972824
sustained_rate_hz,electrophysiology,13,7,13,0.0,600.0,-15.48821548821549,15.48821548821549,50.505050505050505,exact,77520,0.08001805985552116,0.1450378396972824,0.12183178534571723,0.1450378396972824
first_spike_latency_ms,electrophysiology,13,7,5,400.0,600.0,-0.7062499999999966,36.431250000000006,71.45000000000002,exact,77519,0.025580825346044195,0.07674247603813258,0.05968859247410312,0.07674247603813258
mean_isi_ms,electrophysiology,12,7,5,400.0,600.0,14.19776276842575,14.19776276842575,17.144428595301754,exact,50388,0.0016869095816464238,0.01265182186234818,0.011808367071524967,0.01265182186234818
cv_isi,electrophysiology,12,7,5,400.0,600.0,0.06803189701164011,0.06803189701164011,0.11377428779205806,exact,50388,0.28937445423513536,0.3100440581090736,0.33760352994099124,0.3100440581090736
adaptation_ratio,electrophysiology,12,7,5,400.0,600.0,0.17535938273233298,0.17535938273233298,0.38860516535470246,exact,50387,0.01605572866017028,0.06020898247563856,0.05619505031059598,0.06020898247563856
baseline_voltage_mV,electrophysiology,13,7,13,0.0,600.0,-1.0236104329427083,1.0236104329427083,1.28173828125,exact,77520,0.49938080495356035,0.49938080495356035,0.49938080495356035,0.49938080495356035
