robust_z_threshold,minimum_domains_available,consensus_min_domains,WT_calls,SCA3_calls,WT_false_positive_fraction,SCA3_call_fraction
1.5,2,1,1,7,0.07692307692307693,1.0
1.5,2,2,0,7,0.0,1.0
1.5,2,3,0,5,0.0,0.7142857142857143
1.5,3,1,1,7,0.07692307692307693,1.0
1.5,3,2,0,7,0.0,1.0
1.5,3,3,0,5,0.0,0.7142857142857143
1.5,4,1,1,7,0.07692307692307693,1.0
1.5,4,2,0,7,0.0,1.0
1.5,4,3,0,5,0.0,0.7142857142857143
1.5,5,1,0,5,0.0,0.7142857142857143
1.5,5,2,0,5,0.0,0.7142857142857143
1.5,5,3,0,5,0.0,0.7142857142857143
1.75,2,1,1,7,0.07692307692307693,1.0
1.75,2,2,0,7,0.0,1.0
1.75,2,3,0,5,0.0,0.7142857142857143
1.75,3,1,1,7,0.07692307692307693,1.0
1.75,3,2,0,7,0.0,1.0
1.75,3,3,0,5,0.0,0.7142857142857143
1.75,4,1,1,7,0.07692307692307693,1.0
1.75,4,2,0,7,0.0,1.0
1.75,4,3,0,5,0.0,0.7142857142857143
1.75,5,1,0,5,0.0,0.7142857142857143
1.75,5,2,0,5,0.0,0.7142857142857143
1.75,5,3,0,5,0.0,0.7142857142857143
2.0,2,1,0,7,0.0,1.0
2.0,2,2,0,6,0.0,0.8571428571428571
2.0,2,3,0,4,0.0,0.5714285714285714
2.0,3,1,0,7,0.0,1.0
2.0,3,2,0,6,0.0,0.8571428571428571
2.0,3,3,0,4,0.0,0.5714285714285714
2.0,4,1,0,7,0.0,1.0
2.0,4,2,0,6,0.0,0.8571428571428571
2.0,4,3,0,4,0.0,0.5714285714285714
2.0,5,1,0,5,0.0,0.7142857142857143
2.0,5,2,0,5,0.0,0.7142857142857143
2.0,5,3,0,4,0.0,0.5714285714285714
2.25,2,1,0,5,0.0,0.7142857142857143
2.25,2,2,0,4,0.0,0.5714285714285714
2.25,2,3,0,2,0.0,0.2857142857142857
2.25,3,1,0,5,0.0,0.7142857142857143
2.25,3,2,0,4,0.0,0.5714285714285714
2.25,3,3,0,2,0.0,0.2857142857142857
2.25,4,1,0,5,0.0,0.7142857142857143
2.25,4,2,0,4,0.0,0.5714285714285714
2.25,4,3,0,2,0.0,0.2857142857142857
2.25,5,1,0,3,0.0,0.42857142857142855
2.25,5,2,0,3,0.0,0.42857142857142855
2.25,5,3,0,2,0.0,0.2857142857142857
2.5,2,1,0,4,0.0,0.5714285714285714
2.5,2,2,0,4,0.0,0.5714285714285714
2.5,2,3,0,2,0.0,0.2857142857142857
2.5,3,1,0,4,0.0,0.5714285714285714
2.5,3,2,0,4,0.0,0.5714285714285714
2.5,3,3,0,2,0.0,0.2857142857142857
2.5,4,1,0,4,0.0,0.5714285714285714
2.5,4,2,0,4,0.0,0.5714285714285714
2.5,4,3,0,2,0.0,0.2857142857142857
2.5,5,1,0,3,0.0,0.42857142857142855
2.5,5,2,0,3,0.0,0.42857142857142855
2.5,5,3,0,2,0.0,0.2857142857142857
2.75,2,1,0,1,0.0,0.14285714285714285
2.75,2,2,0,1,0.0,0.14285714285714285
2.75,2,3,0,0,0.0,0.0
2.75,3,1,0,1,0.0,0.14285714285714285
2.75,3,2,0,1,0.0,0.14285714285714285
2.75,3,3,0,0,0.0,0.0
2.75,4,1,0,1,0.0,0.14285714285714285
2.75,4,2,0,1,0.0,0.14285714285714285
2.75,4,3,0,0,0.0,0.0
2.75,5,1,0,1,0.0,0.14285714285714285
2.75,5,2,0,1,0.0,0.14285714285714285
2.75,5,3,0,0,0.0,0.0
3.0,2,1,0,1,0.0,0.14285714285714285
3.0,2,2,0,1,0.0,0.14285714285714285
3.0,2,3,0,0,0.0,0.0
3.0,3,1,0,1,0.0,0.14285714285714285
3.0,3,2,0,1,0.0,0.14285714285714285
3.0,3,3,0,0,0.0,0.0
3.0,4,1,0,1,0.0,0.14285714285714285
3.0,4,2,0,1,0.0,0.14285714285714285
3.0,4,3,0,0,0.0,0.0
3.0,5,1,0,1,0.0,0.14285714285714285
3.0,5,2,0,1,0.0,0.14285714285714285
3.0,5,3,0,0,0.0,0.0
3.25,2,1,0,0,0.0,0.0
3.25,2,2,0,0,0.0,0.0
3.25,2,3,0,0,0.0,0.0
3.25,3,1,0,0,0.0,0.0
3.25,3,2,0,0,0.0,0.0
3.25,3,3,0,0,0.0,0.0
3.25,4,1,0,0,0.0,0.0
3.25,4,2,0,0,0.0,0.0
3.25,4,3,0,0,0.0,0.0
3.25,5,1,0,0,0.0,0.0
3.25,5,2,0,0,0.0,0.0
3.25,5,3,0,0,0.0,0.0
3.5,2,1,0,0,0.0,0.0
3.5,2,2,0,0,0.0,0.0
3.5,2,3,0,0,0.0,0.0
3.5,3,1,0,0,0.0,0.0
3.5,3,2,0,0,0.0,0.0
3.5,3,3,0,0,0.0,0.0
3.5,4,1,0,0,0.0,0.0
3.5,4,2,0,0,0.0,0.0
3.5,4,3,0,0,0.0,0.0
3.5,5,1,0,0,0.0,0.0
3.5,5,2,0,0,0.0,0.0
3.5,5,3,0,0,0.0,0.0
