surrogate_family,lag_ms,n_surrogates,observed_expected_direction_AUC_difference_WT_minus_SCA3,exact_p_AUC_expected_direction,exact_p_AUC_two_sided
shuffle,4,50,0.1484247588524759,0.008875128998968008,0.02239422084623323
shuffle,8,50,0.1401498989836716,0.006746646026831785,0.019504643962848296
shuffle,16,50,0.04742887277390206,0.03481682146542828,0.08334623323013415
shuffle,32,50,0.028125053104005725,0.028973168214654284,0.10635964912280702
shuffle,4,100,0.14793964989036762,0.009184726522187823,0.022961816305469555
shuffle,8,100,0.1399619091392302,0.006720846233230134,0.019517543859649124
shuffle,16,100,0.047258502715875804,0.03502321981424149,0.08357843137254901
shuffle,32,100,0.028360076335035313,0.026947884416924663,0.10196078431372549
shuffle,4,250,0.1480217325026674,0.009146026831785345,0.022897316821465428
shuffle,8,250,0.1399785410747753,0.006669246646026832,0.019478844169246647
shuffle,16,250,0.04746377590975029,0.034636222910216716,0.08277863777089783
shuffle,32,250,0.028204206990885074,0.026973684210526316,0.10354747162022704
shuffle,4,500,0.1478476925869092,0.009184726522187823,0.023013415892672858
shuffle,8,500,0.13996579553833893,0.006669246646026832,0.01940144478844169
shuffle,16,500,0.04761937716054669,0.033978328173374615,0.0813467492260062
shuffle,32,500,0.028643814552594488,0.02497420020639835,0.09671052631578947
fourier,4,50,0.13642953801906116,0.009713622291021672,0.024522703818369452
fourier,8,50,0.12456663994618075,0.007920536635706915,0.020536635706914344
fourier,16,50,0.04277462556499385,0.043550051599587206,0.09614293085655315
fourier,32,50,0.028240925168074117,0.024316305469556244,0.08088235294117647
fourier,4,100,0.1362365623387865,0.009713622291021672,0.024509803921568627
fourier,8,100,0.12437162711100855,0.007856037151702787,0.020472136222910216
fourier,16,100,0.04274727504739341,0.04407894736842105,0.0972265221878225
fourier,32,100,0.027963082028055985,0.02587719298245614,0.08454592363261094
fourier,4,250,0.13647859754446043,0.009610423116615066,0.02435500515995872
fourier,8,250,0.12451432261652357,0.0076367389060887515,0.0201109391124871
fourier,16,250,0.04288519154337456,0.04356295149638803,0.0961687306501548
fourier,32,250,0.027684814311478106,0.027579979360165117,0.08811919504643963
fourier,4,500,0.13650280082578178,0.009597523219814242,0.024342105263157894
fourier,8,500,0.12458749398544068,0.007649638802889577,0.020123839009287926
fourier,16,500,0.04288243506730024,0.043691950464396286,0.09641382868937048
fourier,32,500,0.027660088152104485,0.027657378740970073,0.08831269349845201
