marker,noise_condition,n_pairs,median_shift_p,median_abs_shift_p,q90_abs_shift_p
fisher_interior_peak_p_median,half,31,0.0,0.06666666666666665,0.3666666666666667
fisher_interior_peak_p_median,double,32,0.0,0.04166666666666677,0.3600000000000001
entropy_peak_p_median,half,32,0.0,0.0,0.12999999999999995
entropy_peak_p_median,double,32,0.0,0.0,0.0666666666666666
kl_balance_p_median,half,32,0.009704467734228506,0.026706018452407804,0.14024243897794672
kl_balance_p_median,double,32,0.002730720521600692,0.02473156205069893,0.210565225311801
epr_onset_p_median,half,31,0.0,0.03333333333333344,0.1333333333333334
epr_onset_p_median,double,30,0.016666666666666698,0.04166666666666674,0.30666666666666675
epr_peak_p_median,half,32,0.0,0.033333333333333215,0.2233333333333336
epr_peak_p_median,double,32,0.0,0.0,0.25666666666666665
