mode,p_intrinsic,stage,median_majority_support
J_only,0.0,SCA3_entry,
J_only,0.0,WT_exit,
J_only,0.0,balance,
J_only,0.0333333333333333,SCA3_entry,
J_only,0.0333333333333333,WT_exit,0.0
J_only,0.0333333333333333,balance,
J_only,0.0666666666666666,SCA3_entry,
J_only,0.0666666666666666,WT_exit,0.0
J_only,0.0666666666666666,balance,
J_only,0.1,SCA3_entry,
J_only,0.1,WT_exit,0.0
J_only,0.1,balance,0.0
J_only,0.1333333333333333,SCA3_entry,0.0
J_only,0.1333333333333333,WT_exit,0.0
J_only,0.1333333333333333,balance,0.0
J_only,0.1666666666666666,SCA3_entry,0.0
J_only,0.1666666666666666,WT_exit,0.0
J_only,0.1666666666666666,balance,0.0
J_only,0.2,SCA3_entry,0.0
J_only,0.2,WT_exit,0.0
J_only,0.2,balance,0.0
J_only,0.2333333333333333,SCA3_entry,0.0
J_only,0.2333333333333333,WT_exit,0.0
J_only,0.2333333333333333,balance,0.0
J_only,0.2666666666666666,SCA3_entry,0.0
J_only,0.2666666666666666,WT_exit,0.0
J_only,0.2666666666666666,balance,0.0
J_only,0.3,SCA3_entry,5.551115123125776e-18
J_only,0.3,WT_exit,0.0
J_only,0.3,balance,0.0
J_only,0.3333333333333333,SCA3_entry,1.3820329505534103e-17
J_only,0.3333333333333333,WT_exit,0.0
J_only,0.3333333333333333,balance,0.0
J_only,0.3666666666666666,SCA3_entry,1.322969894795434e-17
J_only,0.3666666666666666,WT_exit,0.0
J_only,0.3666666666666666,balance,2.2204460492503104e-17
J_only,0.4,SCA3_entry,0.0333333333333333
J_only,0.4,WT_exit,0.0011401510002576
J_only,0.4,balance,0.0129080256395572
J_only,0.4333333333333333,SCA3_entry,0.0292827053128821
J_only,0.4333333333333333,WT_exit,0.0249999999999999
J_only,0.4333333333333333,balance,0.0253003309100012
J_only,0.4666666666666667,SCA3_entry,0.0333333333333333
J_only,0.4666666666666667,WT_exit,0.0261607363764933
J_only,0.4666666666666667,balance,0.0349445277285592
J_only,0.5,SCA3_entry,0.0517118840745306
J_only,0.5,WT_exit,0.0499999999999999
J_only,0.5,balance,0.0459259842513924
J_only,0.5333333333333333,SCA3_entry,0.0666666666666666
J_only,0.5333333333333333,WT_exit,0.0416666666666666
J_only,0.5333333333333333,balance,0.0393219928987605
J_only,0.5666666666666667,SCA3_entry,0.0783472481615527
J_only,0.5666666666666667,WT_exit,0.0594807759272341
J_only,0.5666666666666667,balance,0.0618068512558118
J_only,0.6,SCA3_entry,0.1
J_only,0.6,WT_exit,0.0754925920603138
J_only,0.6,balance,0.0771935107918033
J_only,0.6333333333333333,SCA3_entry,0.1112116644863461
J_only,0.6333333333333333,WT_exit,0.0932064489699592
J_only,0.6333333333333333,balance,0.1036009481968305
J_only,0.6666666666666666,SCA3_entry,0.1333333333333333
J_only,0.6666666666666666,WT_exit,0.1333333333333332
J_only,0.6666666666666666,balance,0.1333333333333333
J_only,0.7,SCA3_entry,0.1666666666666666
J_only,0.7,WT_exit,0.1666666666666665
J_only,0.7,balance,0.1666666666666665
J_only,0.7333333333333333,SCA3_entry,0.2053472575692357
J_only,0.7333333333333333,WT_exit,0.1999999999999999
J_only,0.7333333333333333,balance,0.203864082257846
J_only,0.7666666666666666,SCA3_entry,0.2666666666666666
J_only,0.7666666666666666,WT_exit,0.2333333333333333
J_only,0.7666666666666666,balance,0.2499999999999999
J_only,0.8,SCA3_entry,0.3
J_only,0.8,WT_exit,0.2999999999999999
J_only,0.8,balance,0.3
J_only,0.8333333333333334,SCA3_entry,0.3333333333333333
J_only,0.8333333333333334,WT_exit,0.3333333333333333
J_only,0.8333333333333334,balance,0.3333333333333333
J_only,0.8666666666666667,SCA3_entry,0.4
J_only,0.8666666666666667,WT_exit,0.3833333333333333
J_only,0.8666666666666667,balance,0.3833333333333333
J_only,0.9,SCA3_entry,0.4581284973008589
J_only,0.9,WT_exit,0.4349188501044991
J_only,0.9,balance,0.4385180410688745
J_only,0.9333333333333332,SCA3_entry,0.5166666666666666
J_only,0.9333333333333332,WT_exit,0.5083333333333333
J_only,0.9333333333333332,balance,0.5120403644452096
J_only,0.9666666666666668,SCA3_entry,0.6
J_only,0.9666666666666668,WT_exit,0.6
J_only,0.9666666666666668,balance,0.6
J_only,1.0,SCA3_entry,0.7333333333333333
J_only,1.0,WT_exit,0.7333333333333333
J_only,1.0,balance,0.7333333333333333
combined,0.0,SCA3_entry,0.7088395582632395
combined,0.0,WT_exit,0.375905041515461
combined,0.0,balance,0.5847686879023001
combined,0.0333333333333333,SCA3_entry,0.6968707837546096
combined,0.0333333333333333,WT_exit,0.3166010475441015
combined,0.0333333333333333,balance,0.5832341591508041
combined,0.0666666666666666,SCA3_entry,0.700404004255944
combined,0.0666666666666666,WT_exit,0.3211772244524856
combined,0.0666666666666666,balance,0.5467084839189684
combined,0.1,SCA3_entry,0.7036626334359326
combined,0.1,WT_exit,0.0855215688360319
combined,0.1,balance,0.549696577856434
combined,0.1333333333333333,SCA3_entry,0.7048129019292039
combined,0.1333333333333333,WT_exit,0.0776433549155208
combined,0.1333333333333333,balance,0.5429765604678033
combined,0.1666666666666666,SCA3_entry,0.7054948961729346
combined,0.1666666666666666,WT_exit,0.1
combined,0.1666666666666666,balance,0.5316274168219111
combined,0.2,SCA3_entry,0.7053041141899161
combined,0.2,WT_exit,0.1666666666666666
combined,0.2,balance,0.5573285458728583
combined,0.2333333333333333,SCA3_entry,0.7100957117695479
combined,0.2333333333333333,WT_exit,0.1666666666666666
combined,0.2333333333333333,balance,0.5149367576800002
combined,0.2666666666666666,SCA3_entry,0.709758325349399
combined,0.2666666666666666,WT_exit,0.1420752304071487
combined,0.2666666666666666,balance,0.5047839869849392
combined,0.3,SCA3_entry,0.7054472957745298
combined,0.3,WT_exit,0.15
combined,0.3,balance,0.5141711688648135
combined,0.3333333333333333,SCA3_entry,0.7092364536100315
combined,0.3333333333333333,WT_exit,0.1546921961476315
combined,0.3333333333333333,balance,0.5198125893645272
combined,0.3666666666666666,SCA3_entry,0.7189629721153714
combined,0.3666666666666666,WT_exit,0.1406524888304853
combined,0.3666666666666666,balance,0.5588639816620078
combined,0.4,SCA3_entry,0.6806845853788714
combined,0.4,WT_exit,0.1594840356456235
combined,0.4,balance,0.5395852045883199
combined,0.4333333333333333,SCA3_entry,0.6997512126853609
combined,0.4333333333333333,WT_exit,0.0860344090360286
combined,0.4333333333333333,balance,0.4554625288492274
combined,0.4666666666666667,SCA3_entry,0.7090736147611135
combined,0.4666666666666667,WT_exit,0.1012192970528552
combined,0.4666666666666667,balance,0.4420105436103586
combined,0.5,SCA3_entry,0.7147707866736916
combined,0.5,WT_exit,0.1095102603921347
combined,0.5,balance,0.4754043160419751
combined,0.5333333333333333,SCA3_entry,0.7167022648285082
combined,0.5333333333333333,WT_exit,0.0925474510978882
combined,0.5333333333333333,balance,0.4868521674042865
combined,0.5666666666666667,SCA3_entry,0.721141145774067
combined,0.5666666666666667,WT_exit,0.1125369059417747
combined,0.5666666666666667,balance,0.5044845027088325
combined,0.6,SCA3_entry,0.7251539423012838
combined,0.6,WT_exit,0.1430653042304332
combined,0.6,balance,0.4821778112293393
combined,0.6333333333333333,SCA3_entry,0.6711874158115012
combined,0.6333333333333333,WT_exit,0.1583333333333334
combined,0.6333333333333333,balance,0.497531082789477
combined,0.6666666666666666,SCA3_entry,0.6614018310065893
combined,0.6666666666666666,WT_exit,0.1286554700137487
combined,0.6666666666666666,balance,0.5139530201411137
combined,0.7,SCA3_entry,0.6787118048671954
combined,0.7,WT_exit,0.1233227502465665
combined,0.7,balance,0.5286116925532034
combined,0.7333333333333333,SCA3_entry,0.5583333333333333
combined,0.7333333333333333,WT_exit,0.1404028415329576
combined,0.7333333333333333,balance,0.5483085910828435
combined,0.7666666666666666,SCA3_entry,0.6144000420226507
combined,0.7666666666666666,WT_exit,0.1631871611502998
combined,0.7666666666666666,balance,0.5579189446352186
combined,0.8,SCA3_entry,0.6
combined,0.8,WT_exit,0.188824626210345
combined,0.8,balance,0.5644847745243611
combined,0.8333333333333334,SCA3_entry,0.648227565566019
combined,0.8333333333333334,WT_exit,0.2121643690958585
combined,0.8333333333333334,balance,0.5303798089633942
combined,0.8666666666666667,SCA3_entry,0.7102126824373921
combined,0.8666666666666667,WT_exit,0.2557364277348175
combined,0.8666666666666667,balance,0.5315615180497777
combined,0.9,SCA3_entry,0.7585080708490682
combined,0.9,WT_exit,0.35
combined,0.9,balance,0.5499382298090009
combined,0.9333333333333332,SCA3_entry,0.779365271180549
combined,0.9333333333333332,WT_exit,0.3525264295028613
combined,0.9333333333333332,balance,0.6006515487908255
combined,0.9666666666666668,SCA3_entry,0.7573613631263587
combined,0.9666666666666668,WT_exit,0.3469203074034651
combined,0.9666666666666668,balance,0.6000000000000002
combined,1.0,SCA3_entry,0.7705939495263803
combined,1.0,WT_exit,0.3326778921112195
combined,1.0,balance,0.650801180702743
kappa_only,0.0,SCA3_entry,0.2500437054502027
kappa_only,0.0,WT_exit,0.0325347944107104
kappa_only,0.0,balance,0.1743803444853428
kappa_only,0.0333333333333333,SCA3_entry,0.3018383223685486
kappa_only,0.0333333333333333,WT_exit,0.073962577332874
kappa_only,0.0333333333333333,balance,0.2282967233591117
kappa_only,0.0666666666666666,SCA3_entry,0.3687378630707247
kappa_only,0.0666666666666666,WT_exit,0.1186279189203071
kappa_only,0.0666666666666666,balance,0.2660247292370298
kappa_only,0.1,SCA3_entry,0.4164035061728419
kappa_only,0.1,WT_exit,0.1492363760699097
kappa_only,0.1,balance,0.2883068344254102
kappa_only,0.1333333333333333,SCA3_entry,0.436315121457152
kappa_only,0.1333333333333333,WT_exit,0.1879893064702879
kappa_only,0.1333333333333333,balance,0.3269205836074549
kappa_only,0.1666666666666666,SCA3_entry,0.4796632762041438
kappa_only,0.1666666666666666,WT_exit,0.2199575590316659
kappa_only,0.1666666666666666,balance,0.359092402174621
kappa_only,0.2,SCA3_entry,0.4872505303440907
kappa_only,0.2,WT_exit,0.2489653382707534
kappa_only,0.2,balance,0.3882315751046491
kappa_only,0.2333333333333333,SCA3_entry,0.5005112351850095
kappa_only,0.2333333333333333,WT_exit,0.2779257161503912
kappa_only,0.2333333333333333,balance,0.3992594452738743
kappa_only,0.2666666666666666,SCA3_entry,0.5373530475378208
kappa_only,0.2666666666666666,WT_exit,0.3078826742334856
kappa_only,0.2666666666666666,balance,0.4164031472118292
kappa_only,0.3,SCA3_entry,0.5531150039249462
kappa_only,0.3,WT_exit,0.3296944297979402
kappa_only,0.3,balance,0.4489596797983818
kappa_only,0.3333333333333333,SCA3_entry,0.60565724593745
kappa_only,0.3333333333333333,WT_exit,0.344460655840874
kappa_only,0.3333333333333333,balance,0.4816166005008216
kappa_only,0.3666666666666666,SCA3_entry,0.5920705677911183
kappa_only,0.3666666666666666,WT_exit,0.3773647437220842
kappa_only,0.3666666666666666,balance,0.5028458523884893
kappa_only,0.4,SCA3_entry,0.6088536146115212
kappa_only,0.4,WT_exit,0.3913196081815848
kappa_only,0.4,balance,0.5277622174420922
kappa_only,0.4333333333333333,SCA3_entry,0.6314358153815446
kappa_only,0.4333333333333333,WT_exit,0.3874678748120741
kappa_only,0.4333333333333333,balance,0.5474514630400896
kappa_only,0.4666666666666667,SCA3_entry,0.6503540802150463
kappa_only,0.4666666666666667,WT_exit,0.4144039055117329
kappa_only,0.4666666666666667,balance,0.5736264863666067
kappa_only,0.5,SCA3_entry,0.6789087959958819
kappa_only,0.5,WT_exit,0.4167519595390301
kappa_only,0.5,balance,0.598887570287024
kappa_only,0.5333333333333333,SCA3_entry,0.7001859696118783
kappa_only,0.5333333333333333,WT_exit,0.4212269809691862
kappa_only,0.5333333333333333,balance,0.6131873610988562
kappa_only,0.5666666666666667,SCA3_entry,0.6989224677427318
kappa_only,0.5666666666666667,WT_exit,0.4027424556315653
kappa_only,0.5666666666666667,balance,0.6310559754930171
kappa_only,0.6,SCA3_entry,0.7235423599726203
kappa_only,0.6,WT_exit,0.4152132875044413
kappa_only,0.6,balance,0.6325198694468939
kappa_only,0.6333333333333333,SCA3_entry,0.7453132452845939
kappa_only,0.6333333333333333,WT_exit,0.4288305218735143
kappa_only,0.6333333333333333,balance,0.6397667642339766
kappa_only,0.6666666666666666,SCA3_entry,0.7644119972552577
kappa_only,0.6666666666666666,WT_exit,0.4422287322276129
kappa_only,0.6666666666666666,balance,0.6506506409987339
kappa_only,0.7,SCA3_entry,0.7833828975661252
kappa_only,0.7,WT_exit,0.4599657286444981
kappa_only,0.7,balance,0.6648177143581692
kappa_only,0.7333333333333333,SCA3_entry,0.8011345624086021
kappa_only,0.7333333333333333,WT_exit,0.4775142521948723
kappa_only,0.7333333333333333,balance,0.6782828644075372
kappa_only,0.7666666666666666,SCA3_entry,0.8107196429227792
kappa_only,0.7666666666666666,WT_exit,0.4823671802829805
kappa_only,0.7666666666666666,balance,0.687077731585413
kappa_only,0.8,SCA3_entry,0.8250028947255351
kappa_only,0.8,WT_exit,0.4936121392320485
kappa_only,0.8,balance,0.6994644307905398
kappa_only,0.8333333333333334,SCA3_entry,0.8349889662188663
kappa_only,0.8333333333333334,WT_exit,0.4967586110884461
kappa_only,0.8333333333333334,balance,0.7039014744477252
kappa_only,0.8666666666666667,SCA3_entry,0.8459927168870209
kappa_only,0.8666666666666667,WT_exit,0.4924891566853215
kappa_only,0.8666666666666667,balance,0.7126864942086683
kappa_only,0.9,SCA3_entry,0.8572559021664936
kappa_only,0.9,WT_exit,0.4902721255278411
kappa_only,0.9,balance,0.714591091651444
kappa_only,0.9333333333333332,SCA3_entry,0.8651255878670567
kappa_only,0.9333333333333332,WT_exit,0.4969682018361303
kappa_only,0.9333333333333332,balance,0.7229665655809796
kappa_only,0.9666666666666668,SCA3_entry,0.8769139036817758
kappa_only,0.9666666666666668,WT_exit,0.4985417257416987
kappa_only,0.9666666666666668,balance,0.7384917322645708
kappa_only,1.0,SCA3_entry,0.868546938828046
kappa_only,1.0,WT_exit,0.5378098732640072
kappa_only,1.0,balance,0.7421314654028064
